#	startTime:1578468504640
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5c	FloorName:地下一层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	type:35	name:BMI160 Accelerometer Uncalibrated	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:16	name:BMI160 Gyroscope Uncalibrated	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:14	name:AK09911 Magnetometer Uncalibrated	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20191120-nightly-9-gde3748b	VersionCode:424	
1578468504657	TYPE_WAYPOINT	119.89201	126.656334
1578468504767	TYPE_WIFI	b7e6027447eb1f81327d66cfd3adbe557aabf26c	ea3d7658ba111873e2e3fe46e0fcb623e44a3145	-39	5745	1578468488925
1578468504767	TYPE_WIFI	7182afc4e5c212133d5d7d76eb3df6c24618302b	edb3277abc1f17edca96cda4e60fb49a4d5414fe	-39	5745	1578468488926
1578468504767	TYPE_WIFI	d839a45ebe64ab48b60a407d837fb01d3c0dfef9	2d20c6807e6ceb43096b8acf731e7c7846a0741b	-40	5745	1578468488922
1578468504767	TYPE_WIFI	b6ffe5619e02871fcd04f61c9bb4b5c53a3f46b7	baaa88fc50a5e7908f2958235f90beed1282f440	-41	5745	1578468488924
1578468504767	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	be37481b4900bb1022c867ef163e78ae60af0d84	-42	5745	1578468488927
1578468504767	TYPE_WIFI	e64ad596c6282259c27ead9d75cb226b69112d6d	b710e05e90e027ac2d0bc5a5fc8fa06d4a2bab2e	-50	2427	1578468488052
1578468504767	TYPE_WIFI	b7e6027447eb1f81327d66cfd3adbe557aabf26c	01c325eeb378ebe2ab3212fe86bf0060f71ced22	-56	2437	1578468488155
1578468504767	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	e322455fc20fb4346840f63affb9d4ef11888a1a	-56	2437	1578468488156
1578468504767	TYPE_WIFI	d839a45ebe64ab48b60a407d837fb01d3c0dfef9	d231e52142a3f2199414850dae56cf484d27becc	-58	5825	1578468504181
1578468504767	TYPE_WIFI	b6ffe5619e02871fcd04f61c9bb4b5c53a3f46b7	6d7e5ea1f46f0e838e0fe589afea70af714f293e	-58	5825	1578468504182
1578468504767	TYPE_WIFI	7182afc4e5c212133d5d7d76eb3df6c24618302b	d73000724c487cf2bf1b9c59b432c4fb70d1a98c	-58	5825	1578468504182
1578468504767	TYPE_WIFI	b7e6027447eb1f81327d66cfd3adbe557aabf26c	03431cb0601b5e991132d134135ccffecec83e97	-58	5825	1578468504182
1578468504767	TYPE_WIFI	b9f0208be00bd8b337be7f12e02e3a3ce846e22b	4c4d8e9e0bbfc4634b03c6f69499bc2f77234b63	-58	5825	1578468504183
1578468504767	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	ef75dcdaa0954384042414e8cea6c2b613f2aa16	-58	5825	1578468504183
1578468504767	TYPE_WIFI	216c141e8b225f85b2c9ec3c40bfd446e94d36ab	3e79cd042c0a01f152fdb78e6b513926fb999000	-59	2442	1578468488230
1578468504767	TYPE_WIFI	5731b8e08abc69d4c4d685c58164059207c93310	c8f3983a40e3c462cdfd155f3d0c77868a717ffd	-62	2412	1578468487858
1578468504767	TYPE_WIFI	7182afc4e5c212133d5d7d76eb3df6c24618302b	569878b7f574a738d49e365f45c49f44b81936f2	-62	2412	1578468487857
1578468504767	TYPE_WIFI	d839a45ebe64ab48b60a407d837fb01d3c0dfef9	db85cb1371261046f2b711ac8dcceeb06b7ca724	-62	2437	1578468483035
1578468504767	TYPE_WIFI	b7e6027447eb1f81327d66cfd3adbe557aabf26c	599fa96d549ed870671d6bc1927aaa8bbaacca12	-62	2437	1578468483043
1578468504767	TYPE_WIFI	b7e6027447eb1f81327d66cfd3adbe557aabf26c	add8b64585688391c11f2e0d1ca9039b70c802e5	-63	2412	1578468487857
1578468504767	TYPE_WIFI	b6ffe5619e02871fcd04f61c9bb4b5c53a3f46b7	e57024faa1bfe6de5d71e1b779bff11e72e97e1d	-63	2412	1578468487856
1578468504767	TYPE_WIFI	ddd398e886ae315d0ebea7ec261dc32feab667cc	5801b845fce3d8a846cc6a498f027295fb18f87f	-63	2437	1578468503187
1578468504767	TYPE_WIFI	ddd398e886ae315d0ebea7ec261dc32feab667cc	9b6daff1b84e5a4dc2b9429508812ab36362aaad	-63	2437	1578468503188
1578468504767	TYPE_WIFI	da39a3ee5e6b4b0d3255bfef95601890afd80709	8042d979cc57ba2f991b91a1525e98b23ef45616	-66	5765	1578468488990
1578468504767	TYPE_WIFI	8aed75f7c344e6a3d4916750029dd4ee47c1e7c5	1f37bbb3f42125f665b83584d0376b21ec3eb43c	-67	2457	1578468485263
1578468504767	TYPE_WIFI	7182afc4e5c212133d5d7d76eb3df6c24618302b	53a65f2ceb68d4fab8fe912e36b2ca5d410a61be	-67	2437	1578468485027
1578468504767	TYPE_WIFI	2ce029b3a3dea973a44bf0587be5e2b93a74e5f1	b2b0ddbb5a2aadfc6ab2f388db584b6c280d3f82	-67	2447	1578468485139
