#	startTime:1561460769503
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5e	FloorName:二层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561460769503	TYPE_WAYPOINT	90.70835	108.13022
1561460769629	TYPE_ACCELEROMETER	-0.8759613	1.5647736	9.968521
1561460769629	TYPE_MAGNETIC_FIELD	32.78656	-4.672241	-29.86908
1561460769629	TYPE_GYROSCOPE	-0.19430542	0.09617615	0.10160828
1561460769629	TYPE_ROTATION_VECTOR	0.025265943	0.0844835	0.70861524
1561460769629	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-80.07202	-391.38794
1561460769629	TYPE_GYROSCOPE_UNCALIBRATED	-0.1934967	0.09762573	0.10255432
1561460769629	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9017029	1.5755463	9.955948
1561460769649	TYPE_ACCELEROMETER	-0.80114746	1.5378418	9.929016
1561460769649	TYPE_MAGNETIC_FIELD	31.417847	-4.672241	-27.871704
1561460769649	TYPE_GYROSCOPE	-0.16874695	0.12919617	0.08988953
1561460769649	TYPE_ROTATION_VECTOR	0.023400664	0.084385194	0.7090166
1561460769649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-80.07202	-389.39056
1561460769649	TYPE_GYROSCOPE_UNCALIBRATED	-0.1934967	0.09762573	0.10255432
1561460769649	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8442383	1.5522003	9.967926
1561460769669	TYPE_ACCELEROMETER	-0.7059784	1.463623	9.961945
1561460769669	TYPE_MAGNETIC_FIELD	31.417847	-4.672241	-28.536987
1561460769669	TYPE_GYROSCOPE	-0.15969849	0.15368652	0.07019043
1561460769669	TYPE_ROTATION_VECTOR	0.022176843	0.08390415	0.7095048
1561460769669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-80.07202	-390.05585
1561460769669	TYPE_GYROSCOPE_UNCALIBRATED	-0.15888977	0.15513611	0.071136475
1561460769669	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75146484	1.5055237	9.908066
1561460769689	TYPE_ACCELEROMETER	-0.65689087	1.4444733	10.170822
1561460769689	TYPE_MAGNETIC_FIELD	33.470154	-3.9871216	-29.86908
1561460769689	TYPE_GYROSCOPE	-0.1655426	0.12173462	0.038223267
1561460769689	TYPE_ROTATION_VECTOR	0.021045282	0.082530946	0.710237
1561460769689	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-79.3869	-391.38794
1561460769689	TYPE_GYROSCOPE_UNCALIBRATED	-0.16473389	0.123184204	0.03916931
1561460769689	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6784363	1.4594421	10.063095
1561460769708	TYPE_ACCELEROMETER	-0.6227722	1.3660583	10.240265
1561460769708	TYPE_MAGNETIC_FIELD	32.10144	-4.672241	-29.86908
1561460769708	TYPE_GYROSCOPE	-0.14956665	0.056228638	0.005722046
1561460769708	TYPE_ROTATION_VECTOR	0.020402454	0.080606736	0.7106024
1561460769708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-80.07202	-391.38794
1561460769708	TYPE_GYROSCOPE_UNCALIBRATED	-0.16473389	0.123184204	0.03916931
1561460769708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6425171	1.3941956	10.228287
1561460769728	TYPE_ACCELEROMETER	-0.5814667	1.3678589	10.273193
1561460769728	TYPE_MAGNETIC_FIELD	30.732727	-6.0409546	-29.86908
1561460769728	TYPE_GYROSCOPE	-0.09577942	0.040237427	-0.018234253
1561460769728	TYPE_ROTATION_VECTOR	0.019893449	0.07852462	0.71113616
1561460769728	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-81.440735	-391.38794
1561460769728	TYPE_GYROSCOPE_UNCALIBRATED	-0.0949707	0.04168701	-0.017288208
1561460769728	TYPE_ACCELEROMETER_UNCALIBRATED	-0.597641	1.3642578	10.268997
1561460769748	TYPE_ACCELEROMETER	-0.6185913	1.4492645	10.133713
1561460769748	TYPE_MAGNETIC_FIELD	32.10144	-3.3035278	-29.20227
1561460769748	TYPE_GYROSCOPE	-0.037719727	0.033325195	-0.027832031
1561460769748	TYPE_ROTATION_VECTOR	0.019913735	0.077063024	0.7116401
1561460769748	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-78.70331	-390.72113
1561460769748	TYPE_GYROSCOPE_UNCALIBRATED	-0.0949707	0.04168701	-0.017288208
1561460769748	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5904541	1.3989868	10.226501
1561460769768	TYPE_ACCELEROMETER	-0.5718994	1.4815826	9.994858
1561460769768	TYPE_MAGNETIC_FIELD	31.417847	-4.672241	-29.20227
1561460769768	TYPE_GYROSCOPE	-0.028671265	0.007217407	-0.03048706
1561460769768	TYPE_ROTATION_VECTOR	0.020471325	0.07647256	0.711058
1561460769768	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-80.07202	-390.72113
1561460769768	TYPE_GYROSCOPE_UNCALIBRATED	-0.027862549	0.008666992	-0.029541016
1561460769768	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6090088	1.4743958	10.033157
