#	startTime:1561460817000
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5e	FloorName:二层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561460817001	TYPE_WAYPOINT	81.77355	102.46896
1561460817128	TYPE_ACCELEROMETER	-0.8478241	2.6242065	9.615982
1561460817128	TYPE_MAGNETIC_FIELD	-30.175781	4.9087524	-35.194397
1561460817128	TYPE_GYROSCOPE	-0.37753296	0.094573975	-0.19560242
1561460817128	TYPE_ROTATION_VECTOR	0.12702984	-0.049408358	-0.5505705
1561460817128	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-128.66211	-70.49103	-396.71326
1561460817128	TYPE_GYROSCOPE_UNCALIBRATED	-0.3730011	-0.014770508	-0.2351532
1561460817128	TYPE_ACCELEROMETER_UNCALIBRATED	-0.676651	2.6289978	9.379547
1561460817148	TYPE_ACCELEROMETER	-1.0974274	2.633789	9.78537
1561460817148	TYPE_MAGNETIC_FIELD	-31.544495	4.2251587	-34.527588
1561460817148	TYPE_GYROSCOPE	-0.2758026	0.21708679	-0.15353394
1561460817148	TYPE_ROTATION_VECTOR	0.12698184	-0.044277873	-0.5525917
1561460817148	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-130.03082	-71.17462	-396.04645
1561460817148	TYPE_GYROSCOPE_UNCALIBRATED	-0.37672424	0.09602356	-0.19465637
1561460817148	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98609924	2.618225	9.730896
1561460817168	TYPE_ACCELEROMETER	-1.2362823	2.6242065	9.794952
1561460817168	TYPE_MAGNETIC_FIELD	-29.492188	4.9087524	-32.53174
1561460817168	TYPE_GYROSCOPE	-0.16075134	0.32254028	-0.121032715
1561460817168	TYPE_ROTATION_VECTOR	0.12862219	-0.038234003	-0.5546844
1561460817168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-70.49103	-394.0506
1561460817168	TYPE_GYROSCOPE_UNCALIBRATED	-0.2749939	0.21853638	-0.15258789
1561460817168	TYPE_ACCELEROMETER_UNCALIBRATED	-1.178833	2.6367798	9.808716
1561460817188	TYPE_ACCELEROMETER	-1.2303009	2.610443	9.756638
1561460817188	TYPE_MAGNETIC_FIELD	-29.492188	5.593872	-35.194397
1561460817188	TYPE_GYROSCOPE	-0.108551025	0.3427887	-0.10240173
1561460817188	TYPE_ROTATION_VECTOR	0.13372849	-0.027984925	-0.55622053
1561460817188	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-69.80591	-396.71326
1561460817188	TYPE_GYROSCOPE_UNCALIBRATED	-0.10774231	0.34423828	-0.10145569
1561460817188	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2584381	2.61763	9.773392
1561460817208	TYPE_ACCELEROMETER	-1.1554871	2.5200653	9.8667755
1561460817208	TYPE_MAGNETIC_FIELD	-30.175781	6.9625854	-33.862305
1561460817208	TYPE_GYROSCOPE	-0.0947113	0.3081665	-0.08482361
1561460817208	TYPE_ROTATION_VECTOR	0.13467611	-0.024551485	-0.55643296
1561460817208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-128.66211	-68.437195	-395.38116
1561460817208	TYPE_GYROSCOPE_UNCALIBRATED	-0.09390259	0.3096161	-0.08387756
1561460817208	TYPE_ACCELEROMETER_UNCALIBRATED	-1.191391	2.5733337	9.785965
1561460817227	TYPE_ACCELEROMETER	-1.1417236	2.4655914	9.920044
1561460817227	TYPE_MAGNETIC_FIELD	-27.438354	4.9087524	-34.527588
1561460817227	TYPE_GYROSCOPE	-0.03186035	0.3044281	-0.060317993
