#	startTime:1561461416180
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5e	FloorName:二层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561461416180	TYPE_WAYPOINT	101.60817	93.13725
1561461416303	TYPE_ACCELEROMETER	-0.86398315	2.1459656	9.976303
1561461416303	TYPE_MAGNETIC_FIELD	21.836853	2.1713257	-25.874329
1561461416303	TYPE_GYROSCOPE	-0.21188354	0.051971436	-0.08428955
1561461416303	TYPE_ROTATION_VECTOR	0.075276345	0.09455541	0.5402423
1561461416303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.649475	-73.228455	-387.3932
1561461416303	TYPE_GYROSCOPE_UNCALIBRATED	-0.3383789	-0.033416748	-0.045532227
1561461416303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75505066	2.1220245	9.924225
1561461416323	TYPE_ACCELEROMETER	-1.0136261	2.2686768	9.6483
1561461416323	TYPE_MAGNETIC_FIELD	22.520447	4.9087524	-25.874329
1561461416323	TYPE_GYROSCOPE	-0.09736633	0.09136963	-0.1194458
1561461416323	TYPE_ROTATION_VECTOR	0.07299978	0.096856326	0.5374394
1561461416323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-70.49103	-387.3932
1561461416323	TYPE_GYROSCOPE_UNCALIBRATED	-0.09655762	0.092819214	-0.118499756
1561461416323	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93281555	2.2016296	9.849411
1561461416343	TYPE_ACCELEROMETER	-1.1949921	2.3686218	9.43103
1561461416343	TYPE_MAGNETIC_FIELD	21.836853	3.540039	-24.543762
1561461416343	TYPE_GYROSCOPE	-0.12773132	0.08818054	-0.1391449
1561461416343	TYPE_ROTATION_VECTOR	0.07137331	0.10022282	0.53340113
1561461416343	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.649475	-71.85974	-386.06262
1561461416343	TYPE_GYROSCOPE_UNCALIBRATED	-0.1269226	0.08963013	-0.13819885
1561461416343	TYPE_ACCELEROMETER_UNCALIBRATED	-1.120758	2.3321228	9.481903
1561461416363	TYPE_ACCELEROMETER	-1.273407	2.372223	9.732086
1561461416363	TYPE_MAGNETIC_FIELD	23.205566	2.8564453	-25.209045
1561461416363	TYPE_GYROSCOPE	-0.2230835	0.04397583	-0.14820862
1561461416363	TYPE_ROTATION_VECTOR	0.07137331	0.10022282	0.53340113
1561461416363	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-72.543335	-386.7279
1561461416363	TYPE_GYROSCOPE_UNCALIBRATED	-0.1269226	0.08963013	-0.13819885
1561461416363	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2362976	2.3841858	9.537567
1561461416382	TYPE_ACCELEROMETER	-1.3476257	2.324936	10.058304
1561461416382	TYPE_MAGNETIC_FIELD	23.205566	2.8564453	-25.209045
1561461416382	TYPE_GYROSCOPE	-0.24331665	0.00881958	-0.154068
1561461416382	TYPE_ROTATION_VECTOR	0.06596867	0.1027027	0.5284973
1561461416382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-72.543335	-386.7279
1561461416382	TYPE_GYROSCOPE_UNCALIBRATED	-0.22227478	0.045425415	-0.14726257
1561461416382	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3111115	2.3351135	9.926025
1561461416402	TYPE_ACCELEROMETER	-1.3182983	2.2884216	10.049332
1561461416402	TYPE_MAGNETIC_FIELD	23.88916	3.540039	-24.543762
1561461416402	TYPE_GYROSCOPE	-0.17300415	0.022659302	-0.14981079
1561461416402	TYPE_ROTATION_VECTOR	0.06384673	0.10332797	0.52680695
1561461416402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.59717	-71.85974	-386.06262
1561461416402	TYPE_GYROSCOPE_UNCALIBRATED	-0.24250793	0.010269165	-0.15312195
1561461416402	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3578033	2.3195496	10.097214
1561461416422	TYPE_ACCELEROMETER	-1.1387329	2.2273712	9.8398285
1561461416422	TYPE_MAGNETIC_FIELD	22.520447	4.2251587	-25.209045
1561461416422	TYPE_GYROSCOPE	-0.09577942	0.06315613	-0.15193176
1561461416422	TYPE_ROTATION_VECTOR	0.06384673	0.10332797	0.52680695
1561461416422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-71.17462	-386.7279
1561461416422	TYPE_GYROSCOPE_UNCALIBRATED	-0.17219543	0.024108887	-0.14886475
1561461416422	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2344971	2.246521	9.94577
1561461416442	TYPE_ACCELEROMETER	-1.0184174	2.2662811	9.573471
1561461416442	TYPE_MAGNETIC_FIELD	23.205566	3.540039	-25.874329
1561461416442	TYPE_GYROSCOPE	-0.033981323	0.11694336	-0.16897583
1561461416442	TYPE_ROTATION_VECTOR	0.06274412	0.10372893	0.52525264
1561461416442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-71.85974	-387.3932
1561461416442	TYPE_GYROSCOPE_UNCALIBRATED	-0.033172607	0.118392944	-0.16802979
1561461416442	TYPE_ACCELEROMETER_UNCALIBRATED	-1.060318	2.2465363	9.723114
1561461416462	TYPE_ACCELEROMETER	-1.0591278	2.2136078	9.315506
1561461416462	TYPE_MAGNETIC_FIELD	23.205566	4.9087524	-24.543762
1561461416462	TYPE_GYROSCOPE	-0.02067566	0.16540527	-0.19187927
1561461416462	TYPE_ROTATION_VECTOR	0.062000092	0.10617901	0.52172595
1561461416462	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-70.49103	-386.06262
1561461416462	TYPE_GYROSCOPE_UNCALIBRATED	-0.019866943	0.16685486	-0.19093323
1561461416462	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0190125	2.2477264	9.426834
1561461416482	TYPE_ACCELEROMETER	-1.2937622	2.2417297	9.288574
1561461416482	TYPE_MAGNETIC_FIELD	22.520447	3.540039	-25.209045
1561461416482	TYPE_GYROSCOPE	-0.054763794	0.18991089	-0.21957397
1561461416482	TYPE_ROTATION_VECTOR	0.062000092	0.10617901	0.52172595
1561461416482	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-71.85974	-386.7279
1561461416482	TYPE_GYROSCOPE_UNCALIBRATED	-0.053955078	0.19136047	-0.21862793
1561461416482	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1519012	2.210617	9.278397
1561461416501	TYPE_ACCELEROMETER	-1.4978638	2.329132	9.43103
1561461416501	TYPE_MAGNETIC_FIELD	23.205566	3.540039	-25.874329
1561461416501	TYPE_GYROSCOPE	-0.09577942	0.16647339	-0.23236084
1561461416501	TYPE_ROTATION_VECTOR	0.060729917	0.10842985	0.51928383
1561461416501	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-71.85974	-387.3932
1561461416501	TYPE_GYROSCOPE_UNCALIBRATED	-0.053955078	0.19136047	-0.21862793
1561461416501	TYPE_ACCELEROMETER_UNCALIBRATED	-1.415268	2.2806396	9.341248
1561461416521	TYPE_ACCELEROMETER	-1.5852509	2.491333	9.475311
1561461416521	TYPE_MAGNETIC_FIELD	23.205566	4.9087524	-25.209045
1561461416521	TYPE_GYROSCOPE	-0.0867157	0.10362244	-0.21957397
1561461416521	TYPE_ROTATION_VECTOR	0.059183173	0.110719495	0.5164149
1561461416521	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-70.49103	-386.7279
1561461416521	TYPE_GYROSCOPE_UNCALIBRATED	-0.0949707	0.16792297	-0.2314148
1561461416521	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5679016	2.4063416	9.507034
1561461416541	TYPE_ACCELEROMETER	-1.4409943	2.4817657	9.042557
1561461416541	TYPE_MAGNETIC_FIELD	23.205566	4.2251587	-23.878479
1561461416541	TYPE_GYROSCOPE	-0.049438477	0.059417725	-0.17802429
1561461416541	TYPE_ROTATION_VECTOR	0.058742404	0.11426016	0.5100904
1561461416541	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-71.17462	-385.39734
1561461416541	TYPE_GYROSCOPE_UNCALIBRATED	-0.04862976	0.06086731	-0.17707825
1561461416541	TYPE_ACCELEROMETER_UNCALIBRATED	-1.533783	2.5170746	9.295746
1561461416561	TYPE_ACCELEROMETER	-1.2961578	2.3404999	8.794754
1561461416561	TYPE_MAGNETIC_FIELD	23.205566	3.540039	-23.878479
1561461416561	TYPE_GYROSCOPE	-0.05369568	0.06793213	-0.14553833
1561461416561	TYPE_ROTATION_VECTOR	0.05874078	0.11530109	0.50834876
1561461416561	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.28076	-71.85974	-385.39734
1561461416561	TYPE_GYROSCOPE_UNCALIBRATED	-0.052886963	0.069381714	-0.14459229
1561461416561	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3542023	2.4266968	8.856415
1561461416581	TYPE_ACCELEROMETER	-1.2835846	2.1723175	8.930634
1561461416581	TYPE_MAGNETIC_FIELD	23.88916	4.2251587	-25.209045
1561461416581	TYPE_GYROSCOPE	-0.09098816	0.075927734	-0.13861084
1561461416581	TYPE_ROTATION_VECTOR	0.05789386	0.11581005	0.50714517
1561461416581	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.59717	-71.17462	-386.7279
1561461416581	TYPE_GYROSCOPE_UNCALIBRATED	-0.09017944	0.07737732	-0.1376648
1561461416581	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2758026	2.2327576	8.817505
1561461416600	TYPE_ACCELEROMETER	-1.3913116	2.1304016	9.252655
1561461416600	TYPE_MAGNETIC_FIELD	22.520447	5.593872	-24.543762
1561461416600	TYPE_GYROSCOPE	-0.096832275	0.061019897	-0.14927673
1561461416600	TYPE_ROTATION_VECTOR	0.056784187	0.116107605	0.5055632
1561461416600	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-69.80591	-386.06262
1561461416600	TYPE_GYROSCOPE_UNCALIBRATED	-0.09602356	0.062469482	-0.14833069
1561461416600	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3135071	2.146576	9.107208
1561461416620	TYPE_ACCELEROMETER	-1.4918823	2.2525177	9.161667
1561461416620	TYPE_MAGNETIC_FIELD	22.520447	5.593872	-23.21167
