#	startTime:1561461496852
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5e	FloorName:二层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561461496852	TYPE_WAYPOINT	96.121086	72.61715
1561461496975	TYPE_ACCELEROMETER	-1.7486572	2.2195892	9.726105
1561461496975	TYPE_MAGNETIC_FIELD	7.4645996	-34.10034	-20.550537
1561461496975	TYPE_GYROSCOPE	-0.5319977	-0.28945923	0.20014954
1561461496975	TYPE_ROTATION_VECTOR	-0.10509453	0.13810922	0.9846581
1561461496975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-91.02173	-109.50012	-382.0694
1561461496975	TYPE_GYROSCOPE_UNCALIBRATED	-0.5072174	-0.32955933	0.1680603
1561461496975	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8899231	2.2794495	9.678223
1561461496995	TYPE_ACCELEROMETER	-1.707962	2.3195496	9.641113
1561461496995	TYPE_MAGNETIC_FIELD	8.148193	-34.783936	-19.218445
1561461496995	TYPE_GYROSCOPE	-0.4318695	-0.28945923	0.13623047
1561461496995	TYPE_ROTATION_VECTOR	-0.09732473	0.13009714	0.986476
1561461496995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-90.338135	-110.183716	-380.7373
1561461496995	TYPE_GYROSCOPE_UNCALIBRATED	-0.31866455	-0.19267273	0.11373901
1561461496995	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6816254	2.2351532	9.709351
1561461497015	TYPE_ACCELEROMETER	-1.8408356	2.49971	9.162872
1561461497015	TYPE_MAGNETIC_FIELD	8.148193	-32.04651	-19.218445
1561461497015	TYPE_GYROSCOPE	-0.19697571	-0.08493042	0.10533142
1561461497015	TYPE_ROTATION_VECTOR	-0.094925486	0.12784696	0.9869861
1561461497015	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-90.338135	-107.44629	-380.7373
1561461497015	TYPE_GYROSCOPE_UNCALIBRATED	-0.09390259	0.01133728	0.1164093
1561461497015	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8019257	2.412918	9.466934
1561461497035	TYPE_ACCELEROMETER	-1.5978241	2.51828	8.616394
1561461497035	TYPE_MAGNETIC_FIELD	8.833313	-30.677795	-19.218445
1561461497035	TYPE_GYROSCOPE	-0.03504944	0.08125305	0.13569641
1561461497035	TYPE_ROTATION_VECTOR	-0.09481587	0.12948279	0.9867857
1561461497035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-89.653015	-106.077576	-380.7373
1561461497035	TYPE_GYROSCOPE_UNCALIBRATED	-0.024658203	0.12850952	0.15315247
1561461497035	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7426758	2.5452118	8.8354645
1561461497055	TYPE_ACCELEROMETER	-1.5391693	2.405136	8.642731
1561461497055	TYPE_MAGNETIC_FIELD	8.833313	-34.10034	-19.883728
1561461497055	TYPE_GYROSCOPE	-0.059020996	0.13771057	0.1538086
1561461497055	TYPE_ROTATION_VECTOR	-0.094078586	0.13062042	0.9866952
1561461497055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-89.653015	-109.50012	-381.4026
1561461497055	TYPE_GYROSCOPE_UNCALIBRATED	-0.122665405	0.11413574	0.14622498
1561461497055	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5176239	2.4662018	8.543976
1561461497074	TYPE_ACCELEROMETER	-1.6277466	2.277649	9.120972
1561461497074	TYPE_MAGNETIC_FIELD	6.77948	-31.362915	-21.21582
1561461497074	TYPE_GYROSCOPE	-0.19750977	0.0652771	0.13729858
1561461497074	TYPE_ROTATION_VECTOR	-0.09322609	0.12893316	0.98700505
1561461497074	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-91.70685	-106.762695	-382.73468
1561461497074	TYPE_GYROSCOPE_UNCALIBRATED	-0.25634766	0.010803223	0.13557434
1561461497074	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5918427	2.3357086	8.883347
1561461497094	TYPE_ACCELEROMETER	-1.64151	2.1489563	9.50824
1561461497094	TYPE_MAGNETIC_FIELD	6.77948	-32.73163	-20.550537
1561461497094	TYPE_GYROSCOPE	-0.29284668	-0.040725708	0.13676453
1561461497094	TYPE_ROTATION_VECTOR	-0.09160328	0.12530902	0.98763144
1561461497094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-91.70685	-108.13141	-382.0694
1561461497094	TYPE_GYROSCOPE_UNCALIBRATED	-0.25634766	0.010803223	0.13557434
1561461497094	TYPE_ACCELEROMETER_UNCALIBRATED	-1.649292	2.2058258	9.323883
1561461497114	TYPE_ACCELEROMETER	-1.5409546	2.1657257	9.694977
1561461497114	TYPE_MAGNETIC_FIELD	6.77948	-32.04651	-20.550537
1561461497114	TYPE_GYROSCOPE	-0.28433228	-0.09718323	0.14794922
1561461497114	TYPE_ROTATION_VECTOR	-0.08923803	0.12154402	0.98832214
1561461497114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-91.70685	-107.44629	-382.0694
1561461497114	TYPE_GYROSCOPE_UNCALIBRATED	-0.24409485	-0.11117554	0.14942932
1561461497114	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6049957	2.1417847	9.637527
1561461497134	TYPE_ACCELEROMETER	-1.3260803	2.2016296	9.58725
1561461497134	TYPE_MAGNETIC_FIELD	6.77948	-31.362915	-17.887878
1561461497134	TYPE_GYROSCOPE	-0.18951416	-0.11529541	0.13890076
1561461497134	TYPE_ROTATION_VECTOR	-0.08613344	0.119248286	0.98886317
1561461497134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-91.70685	-106.762695	-379.40674
1561461497134	TYPE_GYROSCOPE_UNCALIBRATED	-0.12373352	-0.109054565	0.1164093
1561461497134	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4272308	2.1890564	9.687805
1561461497153	TYPE_ACCELEROMETER	-1.3751678	2.4584198	9.182022
