#	startTime:1561368762837
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561368762838	TYPE_WAYPOINT	78.21819	38.999737
1561368763033	TYPE_ACCELEROMETER	-0.45457458	1.818573	8.115402
1561368763033	TYPE_MAGNETIC_FIELD	-3.42865	-28.37677	-22.109985
1561368763033	TYPE_GYROSCOPE	0.15971375	0.045822144	0.107055664
1561368763033	TYPE_ROTATION_VECTOR	0.049658883	-0.08551604	-0.9886361
1561368763033	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-117.7124	-418.013
1561368763033	TYPE_GYROSCOPE_UNCALIBRATED	0.20439148	-0.07815552	0.038635254
1561368763033	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45458984	1.8299255	8.892929
1561368763053	TYPE_ACCELEROMETER	-0.9831085	1.9747925	8.44162
1561368763053	TYPE_MAGNETIC_FIELD	-2.7450562	-29.06189	-23.440552
1561368763053	TYPE_GYROSCOPE	0.07128906	0.23916626	0.14167786
1561368763053	TYPE_ROTATION_VECTOR	0.05380046	-0.09314039	-0.9872108
1561368763053	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.29138	-118.39752	-419.34357
1561368763053	TYPE_GYROSCOPE_UNCALIBRATED	0.07281494	0.23930359	0.14250183
1561368763053	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45457458	1.818573	8.115402
1561368763073	TYPE_ACCELEROMETER	-1.557724	2.1340027	9.262238
1561368763073	TYPE_MAGNETIC_FIELD	-2.7450562	-27.693176	-24.105835
1561368763073	TYPE_GYROSCOPE	0.029754639	0.27590942	0.15979004
1561368763073	TYPE_ROTATION_VECTOR	0.05380046	-0.09314039	-0.9872108
1561368763073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.29138	-117.02881	-420.00885
1561368763073	TYPE_GYROSCOPE_UNCALIBRATED	0.07281494	0.23930359	0.14250183
1561368763073	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9831085	1.9747925	8.44162
1561368763093	TYPE_ACCELEROMETER	-1.8492126	2.2644806	9.476517
1561368763093	TYPE_MAGNETIC_FIELD	-3.42865	-27.008057	-22.109985
1561368763093	TYPE_GYROSCOPE	9.765625E-4	0.111328125	0.15286255
1561368763093	TYPE_ROTATION_VECTOR	0.06981652	-0.09461943	-0.98403794
1561368763093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-116.34369	-418.013
1561368763093	TYPE_GYROSCOPE_UNCALIBRATED	0.031280518	0.27604675	0.16061401
1561368763093	TYPE_ACCELEROMETER_UNCALIBRATED	-1.557724	2.1340027	9.262238
1561368763112	TYPE_ACCELEROMETER	-1.6552887	2.202835	9.266418
1561368763112	TYPE_MAGNETIC_FIELD	-3.42865	-28.37677	-22.775269
1561368763112	TYPE_GYROSCOPE	-0.10395813	-0.083618164	0.11663818
1561368763112	TYPE_ROTATION_VECTOR	0.06981652	-0.09461943	-0.98403794
1561368763112	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-117.7124	-418.67828
1561368763112	TYPE_GYROSCOPE_UNCALIBRATED	0.0025024414	0.111465454	0.15368652
1561368763112	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8492126	2.2644806	9.476517
1561368763132	TYPE_ACCELEROMETER	-1.2398834	2.1106567	9.180832
1561368763132	TYPE_MAGNETIC_FIELD	-3.42865	-27.693176	-23.440552
1561368763132	TYPE_GYROSCOPE	-0.25042725	-0.20452881	0.06285095
1561368763132	TYPE_ROTATION_VECTOR	0.072796084	-0.09446113	-0.9831149
1561368763132	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-117.02881	-419.34357
1561368763132	TYPE_GYROSCOPE_UNCALIBRATED	-0.10243225	-0.083480835	0.11746216
1561368763132	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6552887	2.202835	9.266418
1561368763152	TYPE_ACCELEROMETER	-0.8226929	1.9909515	8.989288
1561368763152	TYPE_MAGNETIC_FIELD	-2.7450562	-28.37677	-23.440552
1561368763152	TYPE_GYROSCOPE	-0.30795288	-0.17736816	0.031417847
1561368763152	TYPE_ROTATION_VECTOR	0.06844449	-0.09144325	-0.9835301
1561368763152	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.29138	-117.7124	-419.34357
1561368763152	TYPE_GYROSCOPE_UNCALIBRATED	-0.306427	-0.17723083	0.03224182
1561368763152	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2398834	2.1106567	9.180832
1561368763172	TYPE_ACCELEROMETER	-0.515625	1.9939423	9.150894
1561368763172	TYPE_MAGNETIC_FIELD	-4.7973633	-27.008057	-22.109985
1561368763172	TYPE_GYROSCOPE	-0.24136353	0.06340027	0.012771606
1561368763172	TYPE_ROTATION_VECTOR	0.066412985	-0.09020391	-0.9839831
1561368763172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-116.34369	-418.013
