#	startTime:1561369059753
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561369059753	TYPE_WAYPOINT	99.77094	82.163605
1561369059885	TYPE_ACCELEROMETER	-1.2793884	1.5785522	9.961334
1561369059885	TYPE_MAGNETIC_FIELD	19.155884	21.582031	-34.091187
1561369059885	TYPE_GYROSCOPE	-0.24189758	-0.009048462	-0.3121338
1561369059885	TYPE_ROTATION_VECTOR	0.06421386	0.075941615	0.25901815
1561369059885	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-92.39044	-67.7536	-429.9942
1561369059885	TYPE_GYROSCOPE_UNCALIBRATED	-0.2403717	-0.008911133	-0.3113098
1561369059885	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2662201	1.54982	10.007431
1561369059905	TYPE_ACCELEROMETER	-1.1351318	1.6557617	9.765015
1561369059905	TYPE_MAGNETIC_FIELD	19.839478	21.582031	-32.759094
1561369059905	TYPE_GYROSCOPE	-0.17585754	-0.15446472	-0.24821472
1561369059905	TYPE_ROTATION_VECTOR	0.06154419	0.07625875	0.25504357
1561369059905	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-91.70685	-67.7536	-428.6621
1561369059905	TYPE_GYROSCOPE_UNCALIBRATED	-0.2403717	-0.008911133	-0.3113098
1561369059905	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2177429	1.6264343	9.827866
1561369059925	TYPE_ACCELEROMETER	-1.2153473	1.7503357	9.668045
1561369059925	TYPE_MAGNETIC_FIELD	17.78717	21.582031	-31.428528
1561369059925	TYPE_GYROSCOPE	-0.082107544	-0.23648071	-0.1768341
1561369059925	TYPE_ROTATION_VECTOR	0.06180982	0.07459924	0.2520472
1561369059925	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-67.7536	-427.33154
1561369059925	TYPE_GYROSCOPE_UNCALIBRATED	-0.080581665	-0.23634338	-0.17601013
1561369059925	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1405182	1.6868896	9.732697
1561369059945	TYPE_ACCELEROMETER	-1.0543213	1.8592682	9.532181
1561369059945	TYPE_MAGNETIC_FIELD	18.470764	20.898438	-32.09381
1561369059945	TYPE_GYROSCOPE	0.030288696	-0.31105042	-0.066589355
1561369059945	TYPE_ROTATION_VECTOR	0.06366082	0.07359672	0.24883868
1561369059945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.07556	-68.437195	-427.99683
1561369059945	TYPE_GYROSCOPE_UNCALIBRATED	-0.080581665	-0.23634338	-0.17601013
1561369059945	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2147369	1.8460999	9.619568
1561369059964	TYPE_ACCELEROMETER	-0.6000366	1.8191681	9.304138
1561369059964	TYPE_MAGNETIC_FIELD	18.470764	20.898438	-32.759094
1561369059964	TYPE_GYROSCOPE	0.1288147	-0.42823792	-0.049545288
1561369059964	TYPE_ROTATION_VECTOR	0.06738436	0.07109999	0.24706967
1561369059964	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.07556	-68.437195	-428.6621
1561369059964	TYPE_GYROSCOPE_UNCALIBRATED	0.031814575	-0.3109131	-0.06576538
1561369059964	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7867737	1.783844	9.404083
1561369059984	TYPE_ACCELEROMETER	-0.5413666	2.2058258	8.911484
1561369059984	TYPE_MAGNETIC_FIELD	17.78717	19.529724	-32.09381
1561369059984	TYPE_GYROSCOPE	0.24440002	-0.4159851	-0.07723999
1561369059984	TYPE_ROTATION_VECTOR	0.07189681	0.06586276	0.24735542
1561369059984	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-69.80591	-427.99683
1561369059984	TYPE_GYROSCOPE_UNCALIBRATED	0.2459259	-0.41584778	-0.076416016
1561369059984	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5617218	2.0196838	9.13295
1561369060004	TYPE_ACCELEROMETER	-0.60302734	2.3889923	8.198013
1561369060004	TYPE_MAGNETIC_FIELD	16.418457	20.213318	-32.09381
1561369060004	TYPE_GYROSCOPE	0.32003784	-0.27430725	-0.05593872
1561369060004	TYPE_ROTATION_VECTOR	0.079230554	0.062815264	0.24593124
1561369060004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-69.122314	-427.99683
1561369060004	TYPE_GYROSCOPE_UNCALIBRATED	0.32156372	-0.27416992	-0.055114746
1561369060004	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5431671	2.3111725	8.610413
1561369060024	TYPE_ACCELEROMETER	-0.9765167	2.460205	8.071716
1561369060024	TYPE_MAGNETIC_FIELD	16.418457	21.582031	-33.424377
1561369060024	TYPE_GYROSCOPE	0.15278625	-0.15019226	-0.033569336
1561369060024	TYPE_ROTATION_VECTOR	0.08634293	0.062095337	0.24341314
1561369060024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-67.7536	-429.3274
1561369060024	TYPE_GYROSCOPE_UNCALIBRATED	0.15431213	-0.15005493	-0.03274536
1561369060024	TYPE_ACCELEROMETER_UNCALIBRATED	-0.747879	2.4422607	8.031021
1561369060044	TYPE_ACCELEROMETER	-1.1297455	2.4248962	8.904297
1561369060044	TYPE_MAGNETIC_FIELD	16.418457	19.529724	-33.424377
1561369060044	TYPE_GYROSCOPE	-0.06506348	0.0660553	0.003189087
1561369060044	TYPE_ROTATION_VECTOR	0.09033434	0.06376064	0.24003692
1561369060044	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-69.80591	-429.3274
1561369060044	TYPE_GYROSCOPE_UNCALIBRATED	-0.0635376	0.06619263	0.0040130615
1561369060044	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1441193	2.4662018	8.256668
1561369060063	TYPE_ACCELEROMETER	-0.88972473	2.0472107	10.169037
1561369060063	TYPE_MAGNETIC_FIELD	15.049744	19.529724	-34.091187
1561369060063	TYPE_GYROSCOPE	-0.089035034	0.16352844	0.07829285
1561369060063	TYPE_ROTATION_VECTOR	0.09123333	0.0668224	0.23782308
1561369060063	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-96.49658	-69.80591	-429.9942
1561369060063	TYPE_GYROSCOPE_UNCALIBRATED	-0.087509155	0.16366577	0.07911682
1561369060063	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0058441	2.2704773	9.632141
1561369060083	TYPE_ACCELEROMETER	-0.9489746	1.7545166	10.782547
1561369060083	TYPE_MAGNETIC_FIELD	15.733337	18.16101	-33.424377
1561369060083	TYPE_GYROSCOPE	-0.040039062	0.13850403	0.041534424
1561369060083	TYPE_ROTATION_VECTOR	0.08984429	0.06792803	0.2389439
1561369060083	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.81299	-71.17462	-429.3274
1561369060083	TYPE_GYROSCOPE_UNCALIBRATED	-0.087509155	0.16366577	0.07911682
1561369060083	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8693695	1.8484955	10.608368
1561369060103	TYPE_ACCELEROMETER	-0.941803	1.720398	10.975281
1561369060103	TYPE_MAGNETIC_FIELD	15.733337	19.529724	-33.424377
1561369060103	TYPE_GYROSCOPE	-0.027786255	0.057540894	-0.004272461
1561369060103	TYPE_ROTATION_VECTOR	0.08754256	0.068404704	0.23997143
1561369060103	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.81299	-69.80591	-429.3274
1561369060103	TYPE_GYROSCOPE_UNCALIBRATED	-0.038513184	0.13864136	0.0423584
1561369060103	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9998627	1.7389526	10.850189
1561369060123	TYPE_ACCELEROMETER	-0.72154236	1.708435	10.882507
1561369060123	TYPE_MAGNETIC_FIELD	17.10205	19.529724	-33.424377
1561369060123	TYPE_GYROSCOPE	-0.05708313	-0.26312256	-0.024505615
1561369060123	TYPE_ROTATION_VECTOR	0.08554987	0.06707148	0.2406852
1561369060123	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.444275	-69.80591	-429.3274
1561369060123	TYPE_GYROSCOPE_UNCALIBRATED	-0.05555725	-0.26298523	-0.02368164
1561369060123	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8256836	1.6982574	11.023163
1561369060143	TYPE_ACCELEROMETER	-0.5096588	1.4582367	10.209137
1561369060143	TYPE_MAGNETIC_FIELD	15.049744	20.213318	-33.424377
1561369060143	TYPE_GYROSCOPE	-0.13591003	-0.45965576	-0.014923096
1561369060143	TYPE_ROTATION_VECTOR	0.08443312	0.062117256	0.24102333
1561369060143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-96.49658	-69.122314	-429.3274
1561369060143	TYPE_GYROSCOPE_UNCALIBRATED	-0.13438416	-0.45951843	-0.014099121
1561369060143	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006317	1.649765	10.51799
1561369060162	TYPE_ACCELEROMETER	-0.74427795	1.1595612	10.765793
1561369060162	TYPE_MAGNETIC_FIELD	17.10205	20.213318	-32.759094
1561369060162	TYPE_GYROSCOPE	-0.2695923	-0.3126526	-0.10067749
1561369060162	TYPE_ROTATION_VECTOR	0.08196694	0.056951284	0.24164602
1561369060162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.444275	-69.122314	-428.6621
1561369060162	TYPE_GYROSCOPE_UNCALIBRATED	-0.2680664	-0.31251526	-0.099853516
