#	startTime:1561375501862
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561375501866	TYPE_WAYPOINT	50.123775	56.300995
1561375502002	TYPE_ACCELEROMETER	-1.4894867	1.3570862	9.969116
1561375502002	TYPE_MAGNETIC_FIELD	-18.86139	-28.860474	-22.958374
1561375502002	TYPE_GYROSCOPE	-0.24082947	0.076171875	-0.041015625
1561375502002	TYPE_ROTATION_VECTOR	0.07560626	-0.04666957	-0.93400925
1561375502002	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.293396	-117.7124	-405.365
1561375502002	TYPE_GYROSCOPE_UNCALIBRATED	-0.06993103	0.2211914	-0.027420044
1561375502002	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1985779	1.3774261	9.644104
1561375502022	TYPE_ACCELEROMETER	-2.0910187	1.3355255	10.415634
1561375502022	TYPE_MAGNETIC_FIELD	-19.546509	-28.860474	-25.621033
1561375502022	TYPE_GYROSCOPE	-0.25575256	-0.0154418945	-0.03517151
1561375502022	TYPE_ROTATION_VECTOR	0.08341432	-0.0396932	-0.9321425
1561375502022	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-117.7124	-408.02765
1561375502022	TYPE_GYROSCOPE_UNCALIBRATED	-0.23930359	0.076309204	-0.04019165
1561375502022	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8061066	1.3247528	10.26062
1561375502042	TYPE_ACCELEROMETER	-2.356186	1.4642181	10.234879
1561375502042	TYPE_MAGNETIC_FIELD	-19.546509	-27.49176	-23.625183
1561375502042	TYPE_GYROSCOPE	-0.06506348	0.034103394	0.0021209717
1561375502042	TYPE_ROTATION_VECTOR	0.09187001	-0.03619059	-0.9297529
1561375502042	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-116.34369	-406.0318
1561375502042	TYPE_GYROSCOPE_UNCALIBRATED	-0.25422668	-0.015304565	-0.034347534
1561375502042	TYPE_ACCELEROMETER_UNCALIBRATED	-2.278366	1.3750305	10.394684
1561375502062	TYPE_ACCELEROMETER	-2.3436127	1.9203186	9.233505
1561375502062	TYPE_MAGNETIC_FIELD	-19.546509	-28.17688	-23.625183
1561375502062	TYPE_GYROSCOPE	0.20285034	0.15553284	0.06338501
1561375502062	TYPE_ROTATION_VECTOR	0.10206256	-0.038684227	-0.92634976
1561375502062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-117.02881	-406.0318
1561375502062	TYPE_GYROSCOPE_UNCALIBRATED	-0.0635376	0.034240723	0.0029449463
1561375502062	TYPE_ACCELEROMETER_UNCALIBRATED	-2.3903046	1.6599426	9.8715515
1561375502081	TYPE_ACCELEROMETER	-2.1029968	2.3273315	7.7059937
1561375502081	TYPE_MAGNETIC_FIELD	-18.86139	-28.17688	-24.290466
1561375502081	TYPE_GYROSCOPE	0.2806244	0.29029846	0.13156128
1561375502081	TYPE_ROTATION_VECTOR	0.11310254	-0.044465423	-0.92208344
1561375502081	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.293396	-117.02881	-406.69708
1561375502081	TYPE_GYROSCOPE_UNCALIBRATED	0.20437622	0.15567017	0.064208984
1561375502081	TYPE_ACCELEROMETER_UNCALIBRATED	-2.2083435	2.16214	8.457779
1561375502101	TYPE_ACCELEROMETER	-2.0736694	2.451828	7.1708984
1561375502101	TYPE_MAGNETIC_FIELD	-18.86139	-28.17688	-24.95575
1561375502101	TYPE_GYROSCOPE	0.04359436	0.53263855	0.16404724
1561375502101	TYPE_ROTATION_VECTOR	0.1245158	-0.047345128	-0.917579
1561375502101	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.293396	-117.02881	-407.36237
