#	startTime:1561375582505
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561375582506	TYPE_WAYPOINT	78.469894	30.721445
1561375582640	TYPE_ACCELEROMETER	-0.3959198	2.4141235	10.025986
1561375582640	TYPE_MAGNETIC_FIELD	4.4067383	-35.020447	-33.60901
1561375582640	TYPE_GYROSCOPE	0.21084595	0.07884216	-0.11772156
1561375582640	TYPE_ROTATION_VECTOR	-0.0065807677	0.11515581	0.99276197
1561375582640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.02527	-123.872375	-416.01562
1561375582640	TYPE_GYROSCOPE_UNCALIBRATED	0.21716309	0.036895752	-0.1179657
1561375582640	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3552246	2.4272919	9.815887
1561375582660	TYPE_ACCELEROMETER	-0.7388916	2.546997	10.412643
1561375582660	TYPE_MAGNETIC_FIELD	0.30059814	-33.651733	-35.606384
1561375582660	TYPE_GYROSCOPE	0.27156067	0.1640625	-0.11772156
1561375582660	TYPE_ROTATION_VECTOR	-0.01093974	0.11723156	0.9925853
1561375582660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.13141	-122.50366	-418.013
1561375582660	TYPE_GYROSCOPE_UNCALIBRATED	0.22888184	0.12371826	-0.12010193
1561375582660	TYPE_ACCELEROMETER_UNCALIBRATED	-0.515625	2.4422607	10.310898
1561375582680	TYPE_ACCELEROMETER	-1.0543213	2.6361847	10.143295
1561375582680	TYPE_MAGNETIC_FIELD	2.3544312	-35.70404	-34.274292
1561375582680	TYPE_GYROSCOPE	0.34294128	0.2844391	-0.07191467
1561375582680	TYPE_ROTATION_VECTOR	-0.018691689	0.121383205	0.9921358
1561375582680	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-124.55597	-416.6809
1561375582680	TYPE_GYROSCOPE_UNCALIBRATED	0.31996155	0.21372986	-0.0987854
1561375582680	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9567566	2.6631165	10.338425
1561375582700	TYPE_ACCELEROMETER	-1.2512665	2.0992737	10.267792
1561375582700	TYPE_MAGNETIC_FIELD	3.038025	-35.70404	-34.274292
1561375582700	TYPE_GYROSCOPE	0.26997375	0.43943787	-0.04475403
1561375582700	TYPE_ROTATION_VECTOR	-0.027173977	0.12351028	0.99179775
1561375582700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-124.55597	-416.6809
1561375582700	TYPE_GYROSCOPE_UNCALIBRATED	0.32902527	0.3730011	-0.04978943
1561375582700	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1129913	2.3824005	10.006226
1561375582719	TYPE_ACCELEROMETER	-1.499054	2.1615295	11.027954
1561375582719	TYPE_MAGNETIC_FIELD	2.3544312	-35.70404	-34.939575
1561375582719	TYPE_GYROSCOPE	0.1687622	0.3675232	-0.047424316
1561375582719	TYPE_ROTATION_VECTOR	-0.03638856	0.12131369	0.99186796
1561375582719	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-124.55597	-417.3462
1561375582719	TYPE_GYROSCOPE_UNCALIBRATED	0.20332336	0.4326477	-0.04711914
1561375582719	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4284363	2.0531921	10.7604065
1561375582739	TYPE_ACCELEROMETER	-1.2458649	2.0322418	10.423416
1561375582739	TYPE_MAGNETIC_FIELD	3.7231445	-37.072754	-34.939575
