#	startTime:1561375641135
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561375641136	TYPE_WAYPOINT	84.22669	27.13862
1561375641273	TYPE_ACCELEROMETER	-1.5403595	2.0711517	9.128159
1561375641273	TYPE_MAGNETIC_FIELD	-31.17981	-6.9610596	-36.271667
1561375641273	TYPE_GYROSCOPE	-0.10928345	-0.03993225	-0.16087341
1561375641273	TYPE_ROTATION_VECTOR	0.13669848	-0.022320708	-0.7015276
1561375641273	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-139.61182	-95.81299	-418.67828
1561375641273	TYPE_GYROSCOPE_UNCALIBRATED	-0.0949707	-0.038208008	-0.18774414
1561375641273	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5403595	2.0711517	9.128159
1561375641293	TYPE_ACCELEROMETER	-1.6624603	2.1375885	9.407684
1561375641293	TYPE_MAGNETIC_FIELD	-31.17981	-6.9610596	-34.274292
1561375641293	TYPE_GYROSCOPE	-0.09329224	-0.055389404	-0.21626282
1561375641293	TYPE_ROTATION_VECTOR	0.13557558	-0.02138906	-0.7033297
1561375641293	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-139.61182	-95.81299	-416.6809
1561375641293	TYPE_GYROSCOPE_UNCALIBRATED	-0.089645386	-0.09466553	-0.23513794
1561375641293	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6624603	2.1375885	9.407684
1561375641313	TYPE_ACCELEROMETER	-1.6678467	2.1040802	9.535767
1561375641313	TYPE_MAGNETIC_FIELD	-30.496216	-7.6446533	-36.271667
1561375641313	TYPE_GYROSCOPE	-0.0868988	-0.15498352	-0.2386322
1561375641313	TYPE_ROTATION_VECTOR	0.13484457	-0.020671554	-0.70515263
1561375641313	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-138.92822	-96.49658	-418.67828
1561375641313	TYPE_GYROSCOPE_UNCALIBRATED	-0.08111572	-0.20225525	-0.22662354
