#	startTime:1561375815868
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561375815868	TYPE_WAYPOINT	89.46189	37.65852
1561375815996	TYPE_ACCELEROMETER	-1.9234314	1.1906891	9.641708
1561375815996	TYPE_MAGNETIC_FIELD	-13.386536	27.941895	-38.269043
1561375815996	TYPE_GYROSCOPE	-0.04801941	-0.31051636	0.21304321
1561375815996	TYPE_ROTATION_VECTOR	0.08012191	0.06908673	-0.254759
1561375815996	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-60.910034	-420.67566
1561375815996	TYPE_GYROSCOPE_UNCALIBRATED	-0.10934448	-0.1793518	0.19096375
1561375815996	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9880829	1.150589	9.940384
1561375816016	TYPE_ACCELEROMETER	-1.510437	1.132019	9.170654
1561375816016	TYPE_MAGNETIC_FIELD	-11.3342285	26.573181	-37.602234
1561375816016	TYPE_GYROSCOPE	-0.0357666	-0.2631073	0.24661255
1561375816016	TYPE_ROTATION_VECTOR	0.079260364	0.065871894	-0.25200656
1561375816016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-62.278748	-420.00885
1561375816016	TYPE_GYROSCOPE_UNCALIBRATED	-0.024124146	-0.34020996	0.23518372
1561375816016	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7354889	1.1882935	9.356201
1561375816036	TYPE_ACCELEROMETER	-1.0489502	1.09552	9.068893
1561375816036	TYPE_MAGNETIC_FIELD	-12.017822	27.941895	-39.59961
1561375816036	TYPE_GYROSCOPE	-0.12098694	-0.018630981	0.2242279
1561375816036	TYPE_ROTATION_VECTOR	0.079260364	0.065871894	-0.25200656
1561375816036	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-60.910034	-422.00623
1561375816036	TYPE_GYROSCOPE_UNCALIBRATED	-0.0677948	-0.13354492	0.24690247
1561375816036	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2769928	1.0937195	9.071884
1561375816056	TYPE_ACCELEROMETER	-0.96873474	1.0859375	9.3376465
1561375816056	TYPE_MAGNETIC_FIELD	-14.071655	27.2583	-37.602234
1561375816056	TYPE_GYROSCOPE	-0.24456787	0.05380249	0.10173035
1561375816056	TYPE_ROTATION_VECTOR	0.073895365	0.059536345	-0.24291332
1561375816056	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-122.50366	-61.593628	-420.00885
1561375816056	TYPE_GYROSCOPE_UNCALIBRATED	-0.18284607	0.044891357	0.17391968
1561375816056	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9412079	1.0937195	9.169449
1561375816075	TYPE_ACCELEROMETER	-1.2171326	0.9871826	9.583054
1561375816075	TYPE_MAGNETIC_FIELD	-14.071655	27.941895	-37.602234
1561375816075	TYPE_GYROSCOPE	-0.29623413	-0.012786865	-0.020248413
1561375816075	TYPE_ROTATION_VECTOR	0.073895365	0.059536345	-0.24291332
1561375816075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-122.50366	-60.910034	-420.00885
1561375816075	TYPE_GYROSCOPE_UNCALIBRATED	-0.2819214	0.029968262	0.033843994
1561375816075	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0710907	1.039856	9.495071
1561375816095	TYPE_ACCELEROMETER	-1.5457458	1.0200958	9.513031
1561375816095	TYPE_MAGNETIC_FIELD	-14.755249	28.627014	-38.934326
1561375816095	TYPE_GYROSCOPE	-0.2898407	-0.09320068	-0.0660553
1561375816095	TYPE_ROTATION_VECTOR	0.070208885	0.05874187	-0.24234638
1561375816095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-123.187256	-60.224915	-421.34094
1561375816095	TYPE_GYROSCOPE_UNCALIBRATED	-0.2915039	-0.062179565	-0.05458069
1561375816095	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3913269	0.9949646	9.577072
1561375816115	TYPE_ACCELEROMETER	-1.6534882	1.044632	9.4166565
1561375816115	TYPE_MAGNETIC_FIELD	-13.386536	28.627014	-36.93695
1561375816115	TYPE_GYROSCOPE	-0.31860352	-0.045272827	-0.03942871
1561375816115	TYPE_ROTATION_VECTOR	0.06547663	0.060576707	-0.24499996
1561375816115	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-60.224915	-419.34357
1561375816115	TYPE_GYROSCOPE_UNCALIBRATED	-0.2957611	-0.08615112	-0.055648804
1561375816115	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6295471	1.0236816	9.4436035
1561375816135	TYPE_ACCELEROMETER	-1.7660065	1.0913239	9.635727
