#	startTime:1561376536746
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561376536747	TYPE_WAYPOINT	66.4927	113.075554
1561376536894	TYPE_ACCELEROMETER	-1.7989349	2.075943	9.620163
1561376536894	TYPE_MAGNETIC_FIELD	-12.702942	16.992188	-39.59961
1561376536894	TYPE_GYROSCOPE	-0.23071289	-0.17576599	0.3318329
1561376536894	TYPE_ROTATION_VECTOR	0.12631465	0.047016475	-0.3104849
1561376536894	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-71.85974	-422.00623
1561376536894	TYPE_GYROSCOPE_UNCALIBRATED	-0.22918701	-0.17562866	0.33265686
1561376536894	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7809753	2.1010742	9.5429535
1561376536914	TYPE_ACCELEROMETER	-1.894104	2.0633698	9.634537
1561376536914	TYPE_MAGNETIC_FIELD	-13.386536	16.992188	-38.934326
1561376536914	TYPE_GYROSCOPE	-0.13537598	-0.036743164	0.36112976
1561376536914	TYPE_ROTATION_VECTOR	0.12567222	0.048385218	-0.30938038
1561376536914	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-71.85974	-421.34094
1561376536914	TYPE_GYROSCOPE_UNCALIBRATED	-0.1338501	-0.036605835	0.36195374
1561376536914	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8540039	2.0537872	9.636917
1561376536934	TYPE_ACCELEROMETER	-1.933609	2.115448	10.106186
1561376536934	TYPE_MAGNETIC_FIELD	-13.386536	14.93988	-36.93695
1561376536934	TYPE_GYROSCOPE	-0.04322815	0.123046875	0.41012573
1561376536934	TYPE_ROTATION_VECTOR	0.12643218	0.050366934	-0.30746403
1561376536934	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-73.91205	-419.34357
1561376536934	TYPE_GYROSCOPE_UNCALIBRATED	-0.04170227	0.123184204	0.4109497
1561376536934	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9108734	2.1088562	9.78537
1561376536954	TYPE_ACCELEROMETER	-1.6594696	1.9059448	10.613754
1561376536954	TYPE_MAGNETIC_FIELD	-12.702942	15.623474	-36.93695
1561376536954	TYPE_GYROSCOPE	0.040405273	0.1795044	0.48202515
1561376536954	TYPE_ROTATION_VECTOR	0.12598266	0.05157462	-0.3043862
1561376536954	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-73.228455	-419.34357
1561376536954	TYPE_GYROSCOPE_UNCALIBRATED	0.041931152	0.17964172	0.48284912
1561376536954	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8677673	2.0166779	10.4210205
1561376536973	TYPE_ACCELEROMETER	-1.2380829	1.7449341	10.710724
1561376536973	TYPE_MAGNETIC_FIELD	-14.071655	15.623474	-36.93695
1561376536973	TYPE_GYROSCOPE	0.11709595	0.054870605	0.5171814
1561376536973	TYPE_ROTATION_VECTOR	0.12378081	0.04910707	-0.29976666
1561376536973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-122.50366	-73.228455	-419.34357
1561376536973	TYPE_GYROSCOPE_UNCALIBRATED	0.118621826	0.055007935	0.5180054
1561376536973	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4086761	1.8257446	10.671814
1561376536993	TYPE_ACCELEROMETER	-1.0196075	1.6198425	11.033951
1561376536993	TYPE_MAGNETIC_FIELD	-12.702942	15.623474	-38.269043
1561376536993	TYPE_GYROSCOPE	0.13734436	-0.13635254	0.47776794
1561376536993	TYPE_ROTATION_VECTOR	0.120393716	0.044460714	-0.29519728
1561376536993	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-73.228455	-420.67566
1561376536993	TYPE_GYROSCOPE_UNCALIBRATED	0.13887024	-0.13621521	0.47859192
1561376536993	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1261597	1.6593475	10.844208
1561376537013	TYPE_ACCELEROMETER	-0.80114746	1.5947113	11.251816
1561376537013	TYPE_MAGNETIC_FIELD	-11.3342285	15.623474	-38.269043
1561376537013	TYPE_GYROSCOPE	0.14160156	-0.33448792	0.4106598
1561376537013	TYPE_ROTATION_VECTOR	0.11642777	0.038060296	-0.2910309
1561376537013	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-73.228455	-420.67566
1561376537013	TYPE_GYROSCOPE_UNCALIBRATED	0.14312744	-0.3343506	0.41148376
1561376537013	TYPE_ACCELEROMETER_UNCALIBRATED	-0.91845703	1.613266	11.191956
1561376537033	TYPE_ACCELEROMETER	-0.58865356	1.7311707	11.062668
1561376537033	TYPE_MAGNETIC_FIELD	-12.017822	16.992188	-38.269043
1561376537033	TYPE_GYROSCOPE	0.18261719	-0.5033264	0.37390137
1561376537033	TYPE_ROTATION_VECTOR	0.11297675	0.030181086	-0.287129
1561376537033	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-71.85974	-420.67566
1561376537033	TYPE_GYROSCOPE_UNCALIBRATED	0.18414307	-0.5031891	0.37472534
1561376537033	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7005768	1.6312103	11.197952
1561376537053	TYPE_ACCELEROMETER	-0.14035034	1.6401978	10.489853
1561376537053	TYPE_MAGNETIC_FIELD	-12.702942	17.677307	-38.269043
1561376537053	TYPE_GYROSCOPE	0.21510315	-0.52783203	0.4037323
1561376537053	TYPE_ROTATION_VECTOR	0.110832304	0.021658737	-0.2820086
1561376537053	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-71.17462	-420.67566
1561376537053	TYPE_GYROSCOPE_UNCALIBRATED	0.21662903	-0.5276947	0.40455627
1561376537053	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36480713	1.763504	10.822052
1561376537072	TYPE_ACCELEROMETER	-0.22413635	1.000946	10.446167
1561376537072	TYPE_MAGNETIC_FIELD	-14.755249	17.677307	-37.602234
1561376537072	TYPE_GYROSCOPE	0.14213562	-0.3057251	0.46977234
1561376537072	TYPE_ROTATION_VECTOR	0.10792921	0.015625091	-0.27701238
1561376537072	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-123.187256	-71.17462	-420.00885
1561376537072	TYPE_GYROSCOPE_UNCALIBRATED	0.1436615	-0.30558777	0.4705963
1561376537072	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1164093	1.3690491	10.223511
1561376537092	TYPE_ACCELEROMETER	-0.43663025	0.2335968	12.817032
1561376537092	TYPE_MAGNETIC_FIELD	-14.071655	16.308594	-38.934326
1561376537092	TYPE_GYROSCOPE	-0.098083496	0.099609375	0.46392822
1561376537092	TYPE_ROTATION_VECTOR	0.10132595	0.0154549405	-0.27440876
1561376537092	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-122.50366	-72.543335	-421.34094
1561376537092	TYPE_GYROSCOPE_UNCALIBRATED	-0.09655762	0.099746704	0.4647522
1561376537092	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3456421	0.60350037	11.470886
1561376537112	TYPE_ACCELEROMETER	-0.29118347	-0.105773926	14.028488
1561376537112	TYPE_MAGNETIC_FIELD	-12.702942	16.992188	-37.602234
1561376537112	TYPE_GYROSCOPE	-0.1407013	0.10920715	0.36964417
1561376537112	TYPE_ROTATION_VECTOR	0.09211788	0.016093083	-0.27385142
