#	startTime:1561376616459
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190619-nightly	VersionCode:270	
1561376616460	TYPE_WAYPOINT	74.98673	118.04358
1561376616587	TYPE_ACCELEROMETER	-0.14154053	1.6701202	9.264023
1561376616587	TYPE_MAGNETIC_FIELD	3.7231445	21.098328	-40.930176
1561376616587	TYPE_GYROSCOPE	-0.17799377	0.014923096	0.05166626
1561376616587	TYPE_ROTATION_VECTOR	0.11395577	0.022022717	0.021270027
1561376616587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-67.7536	-423.3368
1561376616587	TYPE_GYROSCOPE_UNCALIBRATED	-0.19616699	0.008666992	0.10255432
1561376616587	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14154053	1.6701202	9.264023
1561376616607	TYPE_ACCELEROMETER	-0.550354	2.0466156	9.293961
1561376616607	TYPE_MAGNETIC_FIELD	2.3544312	22.467041	-40.264893
1561376616607	TYPE_GYROSCOPE	-0.124191284	0.10014343	0.0026550293
1561376616607	TYPE_ROTATION_VECTOR	0.10635587	0.019668028	0.02551871
1561376616607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-66.38489	-422.6715
1561376616607	TYPE_GYROSCOPE_UNCALIBRATED	-0.14663696	0.06567383	0.015197754
1561376616607	TYPE_ACCELEROMETER_UNCALIBRATED	-0.550354	2.0466156	9.293961
1561376616627	TYPE_ACCELEROMETER	-0.6197815	2.1818848	9.210159
1561376616627	TYPE_MAGNETIC_FIELD	2.3544312	21.783447	-38.934326
1561376616627	TYPE_GYROSCOPE	-0.15827942	0.036224365	0.041015625
1561376616627	TYPE_ROTATION_VECTOR	0.105620116	0.022480307	0.022820015
1561376616627	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-67.06848	-421.34094
1561376616627	TYPE_GYROSCOPE_UNCALIBRATED	-0.12319946	0.08377075	0.016799927
1561376616627	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6197815	2.1818848	9.210159
1561376616647	TYPE_ACCELEROMETER	-0.42286682	2.1986542	9.262833
1561376616647	TYPE_MAGNETIC_FIELD	3.7231445	20.414734	-40.930176
1561376616647	TYPE_GYROSCOPE	-0.24829102	0.027709961	0.064453125
1561376616647	TYPE_ROTATION_VECTOR	0.10560305	0.024403548	0.020953184
1561376616647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-68.437195	-423.3368
1561376616647	TYPE_GYROSCOPE_UNCALIBRATED	-0.20681763	0.00440979	0.05781555
1561376616647	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42286682	2.1986542	9.262833
1561376616666	TYPE_ACCELEROMETER	-0.41088867	2.2112122	9.637527
1561376616666	TYPE_MAGNETIC_FIELD	3.038025	23.15216	-39.59961
1561376616666	TYPE_GYROSCOPE	-0.26107788	0.1251831	0.09161377
1561376616666	TYPE_ROTATION_VECTOR	0.104844294	0.02501849	0.021894151
1561376616666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-65.69977	-422.00623
1561376616666	TYPE_GYROSCOPE_UNCALIBRATED	-0.2638092	0.07791138	0.07752991
1561376616666	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41088867	2.2112122	9.637527
1561376616686	TYPE_ACCELEROMETER	-0.27441406	2.1351929	10.035568
1561376616686	TYPE_MAGNETIC_FIELD	5.091858	21.098328	-39.59961
1561376616686	TYPE_GYROSCOPE	-0.2003479	0.21572876	0.10972595
1561376616686	TYPE_ROTATION_VECTOR	0.10370866	0.026296481	0.024233432
1561376616686	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-67.7536	-422.00623
1561376616686	TYPE_GYROSCOPE_UNCALIBRATED	-0.23664856	0.17645264	0.106277466
1561376616686	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27441406	2.1351929	10.035568
1561376616706	TYPE_ACCELEROMETER	-0.41687012	2.289627	10.097809
1561376616706	TYPE_MAGNETIC_FIELD	3.038025	22.467041	-39.59961
1561376616706	TYPE_GYROSCOPE	-0.105545044	0.25674438	0.07936096
1561376616706	TYPE_ROTATION_VECTOR	0.10236282	0.027214928	0.027185865
1561376616706	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-66.38489	-422.00623
1561376616706	TYPE_GYROSCOPE_UNCALIBRATED	-0.15249634	0.2408905	0.097229004
1561376616706	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41687012	2.289627	10.097809
1561376616726	TYPE_ACCELEROMETER	-0.8981018	2.7792358	9.853607
1561376616726	TYPE_MAGNETIC_FIELD	3.7231445	21.783447	-39.59961
1561376616726	TYPE_GYROSCOPE	-0.025115967	0.24768066	0.116104126
1561376616726	TYPE_ROTATION_VECTOR	0.10265663	0.029049132	0.029141476
1561376616726	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-67.06848	-422.00623
1561376616726	TYPE_GYROSCOPE_UNCALIBRATED	-0.058746338	0.25634766	0.08337402
1561376616726	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8981018	2.7792358	9.853607
1561376616746	TYPE_ACCELEROMETER	-0.9848938	2.9312592	9.697983
1561376616746	TYPE_MAGNETIC_FIELD	3.7231445	23.15216	-38.269043
1561376616746	TYPE_GYROSCOPE	0.022827148	0.2593994	0.2194519
1561376616746	TYPE_ROTATION_VECTOR	0.105868995	0.03275917	0.029060405
1561376616746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-65.69977	-420.67566
1561376616746	TYPE_GYROSCOPE_UNCALIBRATED	0.0025024414	0.2472992	0.1675415
1561376616746	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8981018	2.7792358	9.853607
1561376616765	TYPE_ACCELEROMETER	-0.9046936	2.930664	9.84642
1561376616765	TYPE_MAGNETIC_FIELD	4.4067383	21.783447	-38.934326
1561376616765	TYPE_GYROSCOPE	0.037734985	0.33024597	0.31211853
1561376616765	TYPE_ROTATION_VECTOR	0.109598786	0.03670414	0.03005323
1561376616765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.02527	-67.06848	-421.34094
1561376616765	TYPE_GYROSCOPE_UNCALIBRATED	0.035003662	0.28723145	0.26927185
1561376616765	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9046936	2.930664	9.84642
1561376616785	TYPE_ACCELEROMETER	-1.0297852	2.8396912	10.306702
1561376616785	TYPE_MAGNETIC_FIELD	5.091858	21.098328	-39.59961
1561376616785	TYPE_GYROSCOPE	0.08514404	0.40907288	0.38189697
1561376616785	TYPE_ROTATION_VECTOR	0.11278267	0.04069119	0.033041365
1561376616785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-67.7536	-422.00623
1561376616785	TYPE_GYROSCOPE_UNCALIBRATED	0.05470276	0.37565613	0.35075378
1561376616785	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9046936	2.930664	9.84642
1561376616805	TYPE_ACCELEROMETER	-1.0944366	2.7343445	10.536545
1561376616805	TYPE_MAGNETIC_FIELD	5.091858	21.098328	-38.934326
1561376616805	TYPE_GYROSCOPE	0.1687622	0.4154663	0.44155884
1561376616805	TYPE_ROTATION_VECTOR	0.11545925	0.04505012	0.03678617
1561376616805	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-67.7536	-421.34094
1561376616805	TYPE_GYROSCOPE_UNCALIBRATED	0.12768555	0.4230652	0.41308594
1561376616805	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0944366	2.7343445	10.536545
1561376616825	TYPE_ACCELEROMETER	-0.8651886	2.5877075	10.565872
1561376616825	TYPE_MAGNETIC_FIELD	4.4067383	22.467041	-39.59961
1561376616825	TYPE_GYROSCOPE	0.24972534	0.38616943	0.46923828
1561376616825	TYPE_ROTATION_VECTOR	0.11808428	0.04896414	0.04104158
1561376616825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.02527	-66.38489	-422.00623
1561376616825	TYPE_GYROSCOPE_UNCALIBRATED	0.21237183	0.39855957	0.46315002
1561376616825	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8651886	2.5877075	10.565872
1561376616845	TYPE_ACCELEROMETER	-0.8753662	2.7175903	10.461731
1561376616845	TYPE_MAGNETIC_FIELD	5.091858	19.729614	-38.934326
1561376616845	TYPE_GYROSCOPE	0.32322693	0.38404846	0.47564697
1561376616845	TYPE_ROTATION_VECTOR	0.120724946	0.051831555	0.046142537
1561376616845	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-69.122314	-421.34094
1561376616845	TYPE_GYROSCOPE_UNCALIBRATED	0.2885437	0.3815155	0.4690094
1561376616845	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8753662	2.7175903	10.461731
1561376616864	TYPE_ACCELEROMETER	-0.97232056	2.5098877	10.286957
1561376616864	TYPE_MAGNETIC_FIELD	7.8292847	21.098328	-38.934326
1561376616864	TYPE_GYROSCOPE	0.3605194	0.443161	0.5406189
1561376616864	TYPE_ROTATION_VECTOR	0.12420993	0.054886885	0.051759914
1561376616864	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-100.60272	-67.7536	-421.34094
1561376616864	TYPE_GYROSCOPE_UNCALIBRATED	0.3524475	0.404953	0.50416565
1561376616864	TYPE_ACCELEROMETER_UNCALIBRATED	-0.97232056	2.5098877	10.286957
1561376616884	TYPE_ACCELEROMETER	-0.78437805	2.1381836	10.395889
1561376616884	TYPE_MAGNETIC_FIELD	7.144165	20.414734	-39.59961
1561376616884	TYPE_GYROSCOPE	0.31417847	0.47991943	0.5715027
1561376616884	TYPE_ROTATION_VECTOR	0.12694027	0.058754064	0.058403883
1561376616884	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-101.28784	-68.437195	-422.00623
1561376616884	TYPE_GYROSCOPE_UNCALIBRATED	0.3481903	0.47631836	0.5686035
1561376616884	TYPE_ACCELEROMETER_UNCALIBRATED	-0.78437805	2.1381836	10.395889
1561376616904	TYPE_ACCELEROMETER	-0.7059784	2.1429749	10.371948
1561376616904	TYPE_MAGNETIC_FIELD	9.197998	20.414734	-38.269043
1561376616904	TYPE_GYROSCOPE	0.21191406	0.4005432	0.525177
1561376616904	TYPE_ROTATION_VECTOR	0.12781735	0.06171541	0.0654637
1561376616904	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-99.23401	-68.437195	-420.67566
1561376616904	TYPE_GYROSCOPE_UNCALIBRATED	0.26989746	0.45022583	0.5536957
1561376616904	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7059784	2.1429749	10.371948
1561376616924	TYPE_ACCELEROMETER	-0.7466736	1.755722	10.164246
1561376616924	TYPE_MAGNETIC_FIELD	9.197998	19.729614	-40.264893
1561376616924	TYPE_GYROSCOPE	0.06970215	0.34887695	0.49694824
1561376616924	TYPE_ROTATION_VECTOR	0.1275928	0.06363949	0.07261614
1561376616924	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-99.23401	-69.122314	-422.6715
1561376616924	TYPE_GYROSCOPE_UNCALIBRATED	0.14633179	0.358078	0.5052185
1561376616924	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7466736	1.755722	10.164246
1561376616944	TYPE_ACCELEROMETER	-0.9597626	0.9171448	10.693359
1561376616944	TYPE_MAGNETIC_FIELD	9.881592	19.729614	-40.930176
1561376616944	TYPE_GYROSCOPE	-0.07891846	0.40481567	0.49534607
1561376616944	TYPE_ROTATION_VECTOR	0.12525614	0.06568069	0.07955572
1561376616944	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-98.550415	-69.122314	-423.3368
1561376616944	TYPE_GYROSCOPE_UNCALIBRATED	-0.0054779053	0.37139893	0.49723816
1561376616944	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9597626	0.9171448	10.693359
1561376616963	TYPE_ACCELEROMETER	-1.8396301	0.16836548	12.119705
1561376616963	TYPE_MAGNETIC_FIELD	9.881592	21.098328	-39.59961
1561376616963	TYPE_GYROSCOPE	-0.11672974	0.42451477	0.4862976
1561376616963	TYPE_ROTATION_VECTOR	0.11980683	0.068361215	0.0864815
1561376616963	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-98.550415	-67.7536	-422.00623
1561376616963	TYPE_GYROSCOPE_UNCALIBRATED	-0.12373352	0.42945862	0.4887085
1561376616963	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8396301	0.16836548	12.119705
1561376616983	TYPE_ACCELEROMETER	-2.186798	-0.42900085	12.963669
1561376616983	TYPE_MAGNETIC_FIELD	9.197998	19.04602	-37.602234
1561376616983	TYPE_GYROSCOPE	0.1133728	0.29083252	0.52197266
1561376616983	TYPE_ROTATION_VECTOR	0.113287695	0.0717155	0.09190485
1561376616983	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-99.23401	-69.80591	-420.00885
1561376616983	TYPE_GYROSCOPE_UNCALIBRATED	-0.03691101	0.37937927	0.5068207
1561376616983	TYPE_ACCELEROMETER_UNCALIBRATED	-2.186798	-0.42900085	12.963669
1561376617003	TYPE_ACCELEROMETER	-2.29393	0.16357422	11.02916
1561376617003	TYPE_MAGNETIC_FIELD	11.935425	17.677307	-40.264893
1561376617003	TYPE_GYROSCOPE	0.5389404	0.10546875	0.494812
1561376617003	TYPE_ROTATION_VECTOR	0.10928335	0.07372817	0.09654655
1561376617003	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-96.49658	-71.17462	-422.6715
1561376617003	TYPE_GYROSCOPE_UNCALIBRATED	0.32315063	0.18284607	0.5110779
1561376617003	TYPE_ACCELEROMETER_UNCALIBRATED	-2.29393	0.16357422	11.02916
1561376617023	TYPE_ACCELEROMETER	-2.569275	1.1248474	7.477951
1561376617023	TYPE_MAGNETIC_FIELD	10.566711	18.3609	-40.264893
1561376617023	TYPE_GYROSCOPE	0.7930145	0.15020752	0.5848236
1561376617023	TYPE_ROTATION_VECTOR	0.11145611	0.07593205	0.10026376
1561376617023	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-97.865295	-70.49103	-422.6715
1561376617023	TYPE_GYROSCOPE_UNCALIBRATED	0.7130432	0.092285156	0.51693726
1561376617023	TYPE_ACCELEROMETER_UNCALIBRATED	-2.569275	1.1248474	7.477951
1561376617043	TYPE_ACCELEROMETER	-2.5561066	1.2954407	5.2944336
1561376617043	TYPE_MAGNETIC_FIELD	9.881592	17.677307	-38.934326
1561376617043	TYPE_GYROSCOPE	0.64759827	0.42292786	0.7270355
1561376617043	TYPE_ROTATION_VECTOR	0.117564656	0.08099781	0.103023276
1561376617043	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-98.550415	-71.17462	-421.34094
1561376617043	TYPE_GYROSCOPE_UNCALIBRATED	0.77056885	0.2749939	0.66767883
1561376617043	TYPE_ACCELEROMETER_UNCALIBRATED	-2.569275	1.1248474	7.477951
1561376617062	TYPE_ACCELEROMETER	-2.2155304	1.1439972	5.7792664
1561376617062	TYPE_MAGNETIC_FIELD	12.619019	18.3609	-39.59961
1561376617062	TYPE_GYROSCOPE	0.17089844	0.5576782	0.74835205
1561376617062	TYPE_ROTATION_VECTOR	0.12154641	0.08845782	0.10636802
1561376617062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.81299	-70.49103	-422.00623
1561376617062	TYPE_GYROSCOPE_UNCALIBRATED	0.436615	0.5375824	0.7571564
1561376617062	TYPE_ACCELEROMETER_UNCALIBRATED	-2.2155304	1.1439972	5.7792664
1561376617082	TYPE_ACCELEROMETER	-2.0946198	1.1080933	7.3720093
1561376617082	TYPE_MAGNETIC_FIELD	14.672852	16.992188	-39.59961
1561376617082	TYPE_GYROSCOPE	-0.3217926	0.22477722	0.63809204
1561376617082	TYPE_ROTATION_VECTOR	0.120003834	0.09367711	0.11116395
1561376617082	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-71.85974	-422.00623
1561376617082	TYPE_GYROSCOPE_UNCALIBRATED	-0.08963013	0.43904114	0.704422
1561376617082	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0946198	1.1080933	7.3720093
1561376617102	TYPE_ACCELEROMETER	-1.7905579	1.1487885	8.119003
1561376617102	TYPE_MAGNETIC_FIELD	13.304138	16.992188	-39.59961
1561376617102	TYPE_GYROSCOPE	-0.6413727	-0.15872192	0.4548645
1561376617102	TYPE_ROTATION_VECTOR	0.1141377	0.09372303	0.11578082
1561376617102	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-71.85974	-422.00623
1561376617102	TYPE_GYROSCOPE_UNCALIBRATED	-0.5040283	-0.0019836426	0.5563507
1561376617102	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7905579	1.1487885	8.119003
1561376617122	TYPE_ACCELEROMETER	-2.0862427	1.8424988	8.896515
1561376617122	TYPE_MAGNETIC_FIELD	13.304138	15.623474	-39.59961
1561376617122	TYPE_GYROSCOPE	-0.7601471	-0.14967346	0.3446045
1561376617122	TYPE_ROTATION_VECTOR	0.10618951	0.091190256	0.11920155
