#	startTime:1561434657768
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561434657768	TYPE_WAYPOINT	86.0655	99.353
1561434657892	TYPE_ACCELEROMETER	-0.7191467	0.06781006	9.838043
1561434657892	TYPE_MAGNETIC_FIELD	-14.5477295	-28.248596	-24.525452
1561434657892	TYPE_GYROSCOPE	-0.006362915	-0.14968872	0.1493988
1561434657892	TYPE_ROTATION_VECTOR	0.066028714	-0.019153452	-0.9483404
1561434657892	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-111.55243	-392.7185
1561434657892	TYPE_GYROSCOPE_UNCALIBRATED	-0.0054779053	-0.1473999	0.15049744
1561434657892	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7191467	0.06781006	9.838043
1561434657912	TYPE_ACCELEROMETER	-1.1991882	0.23240662	10.095413
1561434657912	TYPE_MAGNETIC_FIELD	-17.285156	-26.879883	-27.18811
1561434657912	TYPE_GYROSCOPE	0.028259277	-0.03250122	-8.239746E-4
1561434657912	TYPE_ROTATION_VECTOR	0.05802869	-0.013212789	-0.9506935
1561434657912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-110.183716	-395.38116
1561434657912	TYPE_GYROSCOPE_UNCALIBRATED	0.029144287	-0.030212402	2.746582E-4
1561434657912	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1991882	0.23240662	10.095413
1561434657932	TYPE_ACCELEROMETER	-1.4930725	0.79862976	9.894897
1561434657932	TYPE_MAGNETIC_FIELD	-16.600037	-26.19629	-26.522827
1561434657932	TYPE_GYROSCOPE	0.18592834	0.023422241	-0.07858276
1561434657932	TYPE_ROTATION_VECTOR	0.058630776	-0.009912521	-0.95104593
1561434657932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-109.50012	-394.71588
1561434657932	TYPE_GYROSCOPE_UNCALIBRATED	0.029144287	-0.030212402	2.746582E-4
1561434657932	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1991882	0.23240662	10.095413
1561434657952	TYPE_ACCELEROMETER	-1.3266754	1.4821777	8.928238
1561434657952	TYPE_MAGNETIC_FIELD	-16.600037	-26.879883	-25.190735
1561434657952	TYPE_GYROSCOPE	0.33026123	0.04260254	-0.066329956
1561434657952	TYPE_ROTATION_VECTOR	0.06367602	-0.012637091	-0.95006573
1561434657952	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-110.183716	-393.3838
1561434657952	TYPE_GYROSCOPE_UNCALIBRATED	0.18681335	0.02571106	-0.07748413
