#	startTime:1561435036294
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561435036294	TYPE_WAYPOINT	90.66302	114.794914
1561435036426	TYPE_ACCELEROMETER	-1.2548523	1.5767517	9.595627
1561435036426	TYPE_MAGNETIC_FIELD	18.302917	-6.349182	-30.516052
1561435036426	TYPE_GYROSCOPE	-0.32489014	0.080947876	0.03488159
1561435036426	TYPE_ROTATION_VECTOR	0.014413216	0.1188283	0.7165154
1561435036426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-89.653015	-398.7091
1561435036426	TYPE_GYROSCOPE_UNCALIBRATED	-0.32400513	0.083236694	0.035980225
1561435036426	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2841797	1.7233887	9.161667
1561435036446	TYPE_ACCELEROMETER	-1.3200989	1.3427124	10.523376
1561435036446	TYPE_MAGNETIC_FIELD	19.67163	-5.6655884	-30.516052
1561435036446	TYPE_GYROSCOPE	-0.37760925	0.046340942	-0.08123779
1561435036446	TYPE_ROTATION_VECTOR	0.0072198506	0.11029686	0.72562885
1561435036446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.440735	-88.96942	-398.7091
1561435036446	TYPE_GYROSCOPE_UNCALIBRATED	-0.37672424	0.04862976	-0.08013916
1561435036446	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2608337	1.4300995	10.090027
1561435036466	TYPE_ACCELEROMETER	-1.3177032	1.3576813	10.935776
1561435036466	TYPE_MAGNETIC_FIELD	17.619324	-6.349182	-29.850769
1561435036466	TYPE_GYROSCOPE	-0.23432922	0.090530396	-0.13504028
1561435036466	TYPE_ROTATION_VECTOR	0.0027855441	0.104790315	0.73094976
1561435036466	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-89.653015	-398.04382
1561435036466	TYPE_GYROSCOPE_UNCALIBRATED	-0.37672424	0.04862976	-0.08013916
1561435036466	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3452301	1.3145905	10.81308
1561435036486	TYPE_ACCELEROMETER	-1.2769928	1.5510101	10.677811
1561435036486	TYPE_MAGNETIC_FIELD	17.619324	-6.349182	-30.516052
1561435036486	TYPE_GYROSCOPE	-0.043655396	0.16563416	-0.124923706
1561435036486	TYPE_ROTATION_VECTOR	0.001599739	0.1035788	0.73172504
1561435036486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-89.653015	-398.7091
1561435036486	TYPE_GYROSCOPE_UNCALIBRATED	-0.042770386	0.16792297	-0.12382507
1561435036486	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2901611	1.4564362	10.869339
1561435036506	TYPE_ACCELEROMETER	-1.2039642	1.697052	10.218109
1561435036506	TYPE_MAGNETIC_FIELD	19.67163	-5.6655884	-29.185486
1561435036506	TYPE_GYROSCOPE	0.050628662	0.22743225	-0.08018494
1561435036506	TYPE_ROTATION_VECTOR	0.001599739	0.1035788	0.73172504
1561435036506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.440735	-88.96942	-397.37854
1561435036506	TYPE_GYROSCOPE_UNCALIBRATED	0.051513672	0.22972107	-0.0790863
1561435036506	TYPE_ACCELEROMETER_UNCALIBRATED	-1.257843	1.6318207	10.449158
1561435036525	TYPE_ACCELEROMETER	-1.1309509	1.6964569	10.04155
1561435036525	TYPE_MAGNETIC_FIELD	18.988037	-6.349182	-30.516052
1561435036525	TYPE_GYROSCOPE	0.039978027	0.2945404	-0.03703308
1561435036525	TYPE_ROTATION_VECTOR	0.0019896596	0.10601262	0.7292824
1561435036525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.12433	-89.653015	-398.7091
1561435036525	TYPE_GYROSCOPE_UNCALIBRATED	0.051513672	0.22972107	-0.0790863
1561435036525	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1405182	1.720398	10.063095
1561435036545	TYPE_ACCELEROMETER	-1.3015442	1.6282196	10.361771
1561435036545	TYPE_MAGNETIC_FIELD	18.302917	-7.0343018	-31.848145
1561435036545	TYPE_GYROSCOPE	0.008560181	0.34300232	-0.027450562
1561435036545	TYPE_ROTATION_VECTOR	2.7672132E-4	0.10737268	0.7296228
1561435036545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-90.338135	-400.0412
1561435036545	TYPE_GYROSCOPE_UNCALIBRATED	0.00944519	0.34529114	-0.026351929
1561435036545	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2051697	1.6629333	10.156464
1561435036565	TYPE_ACCELEROMETER	-1.4918823	1.5540009	10.841202
1561435036565	TYPE_MAGNETIC_FIELD	20.35675	-5.6655884	-30.516052
1561435036565	TYPE_GYROSCOPE	0.047973633	0.34780884	-0.040756226
