#	startTime:1561435169173
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561435169174	TYPE_WAYPOINT	88.21748	107.653145
1561435169299	TYPE_ACCELEROMETER	-1.0357819	1.8568726	9.640518
1561435169299	TYPE_MAGNETIC_FIELD	43.624878	-9.7717285	-40.501404
1561435169299	TYPE_GYROSCOPE	-0.060699463	-0.026641846	-0.05088806
1561435169299	TYPE_ROTATION_VECTOR	0.03422019	0.10310567	0.7123703
1561435169299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-57.487488	-93.07556	-408.69446
1561435169299	TYPE_GYROSCOPE_UNCALIBRATED	-0.13224792	-0.11543274	-0.09825134
1561435169299	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1063995	1.9304962	9.599213
1561435169319	TYPE_ACCELEROMETER	-0.92085266	1.7958221	9.532181
1561435169319	TYPE_MAGNETIC_FIELD	42.93976	-9.086609	-41.166687
1561435169319	TYPE_GYROSCOPE	1.5258789E-5	0.06550598	-0.02319336
1561435169319	TYPE_ROTATION_VECTOR	0.032308947	0.103529	0.7127347
1561435169319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-58.172607	-92.39044	-409.35974
1561435169319	TYPE_GYROSCOPE_UNCALIBRATED	-0.059814453	-0.024353027	-0.04978943
1561435169319	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0357819	1.8568726	9.640518
1561435169339	TYPE_ACCELEROMETER	-0.97232056	1.7389526	9.563904
1561435169339	TYPE_MAGNETIC_FIELD	42.256165	-9.7717285	-41.83197
1561435169339	TYPE_GYROSCOPE	0.0021514893	0.09159851	-0.026916504
1561435169339	TYPE_ROTATION_VECTOR	0.031393126	0.10327313	0.713248
1561435169339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-58.8562	-93.07556	-410.02502
1561435169339	TYPE_GYROSCOPE_UNCALIBRATED	9.0026855E-4	0.0677948	-0.022094727
1561435169339	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92085266	1.7958221	9.532181
1561435169359	TYPE_ACCELEROMETER	-1.0226135	1.6791077	9.669846
1561435169359	TYPE_MAGNETIC_FIELD	44.99359	-10.455322	-39.834595
1561435169359	TYPE_GYROSCOPE	-0.017028809	0.076690674	-0.041290283
1561435169359	TYPE_ROTATION_VECTOR	0.029863093	0.10304885	0.71396875
1561435169359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-56.118774	-93.759155	-408.02765
1561435169359	TYPE_GYROSCOPE_UNCALIBRATED	0.003036499	0.09388733	-0.025817871
1561435169359	TYPE_ACCELEROMETER_UNCALIBRATED	-0.97232056	1.7389526	9.563904
1561435169379	TYPE_ACCELEROMETER	-1.0609131	1.673706	9.803925
1561435169379	TYPE_MAGNETIC_FIELD	42.93976	-9.7717285	-40.501404
1561435169379	TYPE_GYROSCOPE	-0.017562866	0.05432129	-0.05621338
1561435169379	TYPE_ROTATION_VECTOR	0.028009498	0.10257367	0.7149076
1561435169379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-58.172607	-93.07556	-408.69446
1561435169379	TYPE_GYROSCOPE_UNCALIBRATED	-0.016143799	0.07897949	-0.04019165
1561435169379	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0226135	1.6791077	9.669846
1561435169398	TYPE_ACCELEROMETER	-1.036377	1.66893	9.770996
1561435169398	TYPE_MAGNETIC_FIELD	42.93976	-7.7178955	-42.497253
1561435169398	TYPE_GYROSCOPE	0.015472412	0.048461914	-0.069000244
1561435169398	TYPE_ROTATION_VECTOR	0.02648211	0.10222468	0.7154957
1561435169398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-58.172607	-91.02173	-410.6903
1561435169398	TYPE_GYROSCOPE_UNCALIBRATED	-0.016677856	0.056610107	-0.055114746
1561435169398	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0609131	1.673706	9.803925
1561435169418	TYPE_ACCELEROMETER	-1.0238037	1.7347565	9.604004
1561435169418	TYPE_MAGNETIC_FIELD	42.93976	-9.086609	-40.501404
1561435169418	TYPE_GYROSCOPE	0.050628662	0.06976318	-0.07965088
1561435169418	TYPE_ROTATION_VECTOR	0.025583971	0.10222827	0.7154281
1561435169418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-58.172607	-92.39044	-408.69446
1561435169418	TYPE_GYROSCOPE_UNCALIBRATED	0.016357422	0.050750732	-0.06790161
1561435169418	TYPE_ACCELEROMETER_UNCALIBRATED	-1.036377	1.66893	9.770996
1561435169438	TYPE_ACCELEROMETER	-1.0734863	1.8012085	9.546539
1561435169438	TYPE_MAGNETIC_FIELD	45.67871	-10.455322	-41.166687
1561435169438	TYPE_GYROSCOPE	0.045837402	0.0745697	-0.087646484
1561435169438	TYPE_ROTATION_VECTOR	0.025165437	0.10287064	0.7150424
1561435169438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-55.433655	-93.759155	-409.35974
1561435169438	TYPE_GYROSCOPE_UNCALIBRATED	0.051513672	0.072052	-0.078552246
1561435169438	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0238037	1.7347565	9.604004
1561435169458	TYPE_ACCELEROMETER	-1.1375275	1.850296	9.533371
1561435169458	TYPE_MAGNETIC_FIELD	43.624878	-9.086609	-40.501404
1561435169458	TYPE_GYROSCOPE	0.027191162	0.05432129	-0.09402466
1561435169458	TYPE_ROTATION_VECTOR	0.024838006	0.10372296	0.7144436
1561435169458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-57.487488	-92.39044	-408.69446
1561435169458	TYPE_GYROSCOPE_UNCALIBRATED	0.046722412	0.07685852	-0.08654785
1561435169458	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0734863	1.8012085	9.546539
1561435169478	TYPE_ACCELEROMETER	-1.1644592	1.8646545	9.56868
1561435169478	TYPE_MAGNETIC_FIELD	44.99359	-8.403015	-39.834595
1561435169478	TYPE_GYROSCOPE	0.033584595	0.05218506	-0.09135437
1561435169478	TYPE_ROTATION_VECTOR	0.024572935	0.10466037	0.7135279
1561435169478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-56.118774	-91.70685	-408.02765
1561435169478	TYPE_GYROSCOPE_UNCALIBRATED	0.028076172	0.056610107	-0.092926025
1561435169478	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1375275	1.850296	9.533371
1561435169497	TYPE_ACCELEROMETER	-1.1572876	1.8610535	9.455566
1561435169497	TYPE_MAGNETIC_FIELD	43.624878	-9.086609	-41.83197
1561435169497	TYPE_GYROSCOPE	0.053833008	0.0708313	-0.09188843
1561435169497	TYPE_ROTATION_VECTOR	0.024375401	0.1057734	0.7125461
1561435169497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-57.487488	-92.39044	-410.02502
1561435169497	TYPE_GYROSCOPE_UNCALIBRATED	0.034469604	0.054473877	-0.09025574
1561435169497	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1644592	1.8646545	9.56868
1561435169517	TYPE_ACCELEROMETER	-1.1692505	1.8646545	9.459152
1561435169517	TYPE_MAGNETIC_FIELD	44.99359	-8.403015	-40.501404
1561435169517	TYPE_GYROSCOPE	0.049560547	0.07987976	-0.09562683
1561435169517	TYPE_ROTATION_VECTOR	0.02415375	0.1070188	0.71162075
1561435169517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-56.118774	-91.70685	-408.69446
1561435169517	TYPE_GYROSCOPE_UNCALIBRATED	0.054718018	0.07312012	-0.090789795
1561435169517	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1572876	1.8610535	9.455566
1561435169537	TYPE_ACCELEROMETER	-1.163269	1.8688354	9.516022
1561435169537	TYPE_MAGNETIC_FIELD	44.309998	-9.7717285	-41.166687
1561435169537	TYPE_GYROSCOPE	0.024536133	0.057510376	-0.10574341
1561435169537	TYPE_ROTATION_VECTOR	0.023866113	0.108037524	0.71062547
1561435169537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-56.80237	-93.07556	-409.35974
1561435169537	TYPE_GYROSCOPE_UNCALIBRATED	0.050445557	0.08216858	-0.0945282
1561435169537	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1692505	1.8646545	9.459152
1561435169557	TYPE_ACCELEROMETER	-1.1704559	1.8760223	9.555527
1561435169557	TYPE_MAGNETIC_FIELD	43.624878	-9.7717285	-41.166687
1561435169557	TYPE_GYROSCOPE	0.011749268	0.031417847	-0.1126709
1561435169557	TYPE_ROTATION_VECTOR	0.02362231	0.10860884	0.70981336
1561435169557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-57.487488	-93.07556	-409.35974
1561435169557	TYPE_GYROSCOPE_UNCALIBRATED	0.025421143	0.059799194	-0.104644775
1561435169557	TYPE_ACCELEROMETER_UNCALIBRATED	-1.163269	1.8688354	9.516022
1561435169577	TYPE_ACCELEROMETER	-1.1925964	1.9161224	9.591431
1561435169577	TYPE_MAGNETIC_FIELD	45.67871	-8.403015	-39.834595
1561435169577	TYPE_GYROSCOPE	0.022399902	0.024490356	-0.11639404
1561435169577	TYPE_ROTATION_VECTOR	0.023490174	0.109007694	0.70898616
1561435169577	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-55.433655	-91.70685	-408.02765
1561435169577	TYPE_GYROSCOPE_UNCALIBRATED	0.012634277	0.033706665	-0.111572266
1561435169577	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1704559	1.8760223	9.555527
1561435169596	TYPE_ACCELEROMETER	-1.2937622	1.9634094	9.459763
1561435169596	TYPE_MAGNETIC_FIELD	44.309998	-8.403015	-40.501404
1561435169596	TYPE_GYROSCOPE	0.03465271	0.030883789	-0.101486206
1561435169596	TYPE_ROTATION_VECTOR	0.023525642	0.10962683	0.7079618
1561435169596	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-56.80237	-91.70685	-408.69446
1561435169596	TYPE_GYROSCOPE_UNCALIBRATED	0.023284912	0.026779175	-0.11529541
1561435169596	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1925964	1.9161224	9.591431
1561435169616	TYPE_ACCELEROMETER	-1.2686157	1.9610138	9.426834
