#	startTime:1561435241801
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561435241801	TYPE_WAYPOINT	100.14392	100.568436
1561435241926	TYPE_ACCELEROMETER	-2.1957703	1.8586731	9.6465
1561435241926	TYPE_MAGNETIC_FIELD	10.774231	-42.62085	-20.532227
1561435241926	TYPE_GYROSCOPE	-0.16668701	-0.05114746	-0.12438965
1561435241926	TYPE_ROTATION_VECTOR	-0.106846124	0.10870995	0.98446375
1561435241926	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-90.338135	-125.92468	-388.72528
1561435241926	TYPE_GYROSCOPE_UNCALIBRATED	-0.13757324	-0.02809143	-0.1259613
1561435241926	TYPE_ACCELEROMETER_UNCALIBRATED	-2.1957703	1.8586731	9.6465
1561435241946	TYPE_ACCELEROMETER	-2.3394318	1.8826141	9.6483
1561435241946	TYPE_MAGNETIC_FIELD	11.459351	-40.568542	-18.534851
1561435241946	TYPE_GYROSCOPE	-0.095321655	-0.014389038	-0.113204956
1561435241946	TYPE_ROTATION_VECTOR	-0.1054656	0.10653192	0.98467994
1561435241946	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-89.653015	-123.872375	-386.7279
1561435241946	TYPE_GYROSCOPE_UNCALIBRATED	-0.038513184	-0.007843018	-0.088134766
1561435241946	TYPE_ACCELEROMETER_UNCALIBRATED	-2.3394318	1.8826141	9.6483
1561435241966	TYPE_ACCELEROMETER	-2.4154358	1.9203186	9.445389
1561435241966	TYPE_MAGNETIC_FIELD	12.828064	-41.937256	-18.534851
1561435241966	TYPE_GYROSCOPE	0.018676758	-0.014404297	-0.059936523
1561435241966	TYPE_ROTATION_VECTOR	-0.105930254	0.106181525	0.9846313
1561435241966	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-88.2843	-125.24109	-386.7279
1561435241966	TYPE_GYROSCOPE_UNCALIBRATED	0.06111145	-0.029159546	-0.024749756
1561435241966	TYPE_ACCELEROMETER_UNCALIBRATED	-2.4154358	1.9203186	9.445389
