#	startTime:1561435485732
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561435485732	TYPE_WAYPOINT	80.6814	39.265667
1561435485856	TYPE_ACCELEROMETER	-1.0166168	1.7407532	8.85582
1561435485856	TYPE_MAGNETIC_FIELD	-25.497437	0.49438477	-33.843994
1561435485856	TYPE_GYROSCOPE	0.6003113	0.090545654	0.0790863
1561435485856	TYPE_ROTATION_VECTOR	0.10091017	-0.0062833205	-0.64196014
1561435485856	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-126.6098	-82.80945	-402.03705
1561435485856	TYPE_GYROSCOPE_UNCALIBRATED	0.29440308	-0.2054596	0.16912842
1561435485856	TYPE_ACCELEROMETER_UNCALIBRATED	-1.08844	1.5234833	10.486267
1561435485876	TYPE_ACCELEROMETER	-0.5874634	2.0705566	7.818527
1561435485876	TYPE_MAGNETIC_FIELD	-23.443604	-2.243042	-32.513428
1561435485876	TYPE_GYROSCOPE	0.7643585	0.33714294	-0.115859985
1561435485876	TYPE_ROTATION_VECTOR	0.10820951	-0.010909604	-0.6396998
1561435485876	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-125.24109	-82.80945	-401.37177
1561435485876	TYPE_GYROSCOPE_UNCALIBRATED	0.6011963	0.09283447	0.08018494
1561435485876	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0166168	1.7407532	8.85582
1561435485896	TYPE_ACCELEROMETER	-0.91007996	2.8606415	7.114029
1561435485896	TYPE_MAGNETIC_FIELD	-23.443604	-2.243042	-32.513428
1561435485896	TYPE_GYROSCOPE	0.7292023	0.4718933	-0.31401062
1561435485896	TYPE_ROTATION_VECTOR	0.11773822	-0.018460322	-0.63589853
1561435485896	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-124.55597	-85.546875	-400.70648
1561435485896	TYPE_GYROSCOPE_UNCALIBRATED	0.76524353	0.33943176	-0.11476135
1561435485896	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5874634	2.0705566	7.818527
1561435485916	TYPE_ACCELEROMETER	-1.617569	3.6363678	6.9392548
1561435485916	TYPE_MAGNETIC_FIELD	-23.443604	-2.9281616	-33.843994
1561435485916	TYPE_GYROSCOPE	0.48632812	0.45751953	-0.3598175
1561435485916	TYPE_ROTATION_VECTOR	0.13356864	-0.024321161	-0.628372
1561435485916	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-124.55597	-86.231995	-402.03705
1561435485916	TYPE_GYROSCOPE_UNCALIBRATED	0.7300873	0.47418213	-0.312912
1561435485916	TYPE_ACCELEROMETER_UNCALIBRATED	-0.91007996	2.8606415	7.114029
1561435485935	TYPE_ACCELEROMETER	-2.1844025	4.017044	7.77124
1561435485935	TYPE_MAGNETIC_FIELD	-23.443604	-4.296875	-35.176086
1561435485935	TYPE_GYROSCOPE	0.15449524	0.35578918	-0.2026825
1561435485935	TYPE_ROTATION_VECTOR	0.15220657	-0.026307287	-0.6187846
1561435485935	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-124.55597	-87.60071	-403.36914
1561435485935	TYPE_GYROSCOPE_UNCALIBRATED	0.48721313	0.45980835	-0.35871887
1561435485935	TYPE_ACCELEROMETER_UNCALIBRATED	-1.617569	3.6363678	6.9392548
1561435485955	TYPE_ACCELEROMETER	-2.0706787	3.7506866	9.01622
1561435485955	TYPE_MAGNETIC_FIELD	-23.443604	-4.296875	-32.513428
1561435485955	TYPE_GYROSCOPE	-0.056427002	0.17416382	0.064712524
1561435485955	TYPE_ROTATION_VECTOR	0.16694444	-0.025342712	-0.61026037
1561435485955	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-124.55597	-87.60071	-400.70648
1561435485955	TYPE_GYROSCOPE_UNCALIBRATED	0.15538025	0.358078	-0.20158386
1561435485955	TYPE_ACCELEROMETER_UNCALIBRATED	-2.1844025	4.017044	7.77124
1561435485975	TYPE_ACCELEROMETER	-1.3751526	3.2173767	9.624954
1561435485975	TYPE_MAGNETIC_FIELD	-22.07489	-6.349182	-33.17871
1561435485975	TYPE_GYROSCOPE	-0.11236572	-0.06021118	0.2644348
1561435485975	TYPE_ROTATION_VECTOR	0.17252858	-0.025251485	-0.60533524
1561435485975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-123.187256	-89.653015	-401.37177
1561435485975	TYPE_GYROSCOPE_UNCALIBRATED	-0.055541992	0.17645264	0.06581116
1561435485975	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0706787	3.7506866	9.01622
1561435485995	TYPE_ACCELEROMETER	-0.7448883	2.8384857	9.550735
