#	startTime:1561435445076
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561435445076	TYPE_WAYPOINT	80.6814	39.265667
1561435445210	TYPE_ACCELEROMETER	-2.024582	2.293808	9.219742
1561435445210	TYPE_MAGNETIC_FIELD	18.302917	-26.879883	-25.857544
1561435445210	TYPE_GYROSCOPE	-0.16775513	0.12728882	0.24632263
1561435445210	TYPE_ROTATION_VECTOR	-0.08680994	0.14143455	0.9576056
1561435445210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-110.183716	-394.0506
1561435445210	TYPE_GYROSCOPE_UNCALIBRATED	-0.16687012	0.12957764	0.24742126
1561435445210	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9659271	2.2884216	8.954575
1561435445230	TYPE_ACCELEROMETER	-2.059311	2.3075867	9.5824585
1561435445230	TYPE_MAGNETIC_FIELD	17.619324	-25.51117	-26.522827
1561435445230	TYPE_GYROSCOPE	-0.22155762	0.18162537	0.15631104
1561435445230	TYPE_ROTATION_VECTOR	-0.085579425	0.1400802	0.9575354
1561435445230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-108.815	-394.71588
1561435445230	TYPE_GYROSCOPE_UNCALIBRATED	-0.2206726	0.18391418	0.15740967
1561435445230	TYPE_ACCELEROMETER_UNCALIBRATED	-2.083847	2.3003998	9.420258
1561435445250	TYPE_ACCELEROMETER	-1.8492126	2.2842407	9.679428
1561435445250	TYPE_MAGNETIC_FIELD	17.619324	-26.19629	-25.190735
1561435445250	TYPE_GYROSCOPE	-0.18533325	0.20132446	0.0710907
1561435445250	TYPE_ROTATION_VECTOR	-0.08375894	0.1387669	0.95711255
1561435445250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-109.50012	-393.3838
1561435445250	TYPE_GYROSCOPE_UNCALIBRATED	-0.18444824	0.20361328	0.07218933
1561435445250	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9749146	2.3237457	9.664459
1561435445270	TYPE_ACCELEROMETER	-1.6247559	2.2136078	9.659073
1561435445270	TYPE_MAGNETIC_FIELD	18.988037	-28.248596	-25.857544
1561435445270	TYPE_GYROSCOPE	-0.14006042	0.14486694	-0.010940552
1561435445270	TYPE_ROTATION_VECTOR	-0.08055256	0.13686894	0.9564911
1561435445270	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-109.50012	-393.3838
1561435445270	TYPE_GYROSCOPE_UNCALIBRATED	-0.13917542	0.14715576	-0.009841919
1561435445270	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7235107	2.2189941	9.679428
1561435445289	TYPE_ACCELEROMETER	-1.4751129	2.214798	9.674637
1561435445289	TYPE_MAGNETIC_FIELD	18.302917	-26.19629	-25.190735
1561435445289	TYPE_GYROSCOPE	-0.13153076	0.031951904	-0.09030151
1561435445289	TYPE_ROTATION_VECTOR	-0.07626436	0.13512157	0.95562226
1561435445289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-109.50012	-393.3838
1561435445289	TYPE_GYROSCOPE_UNCALIBRATED	-0.13064575	0.034240723	-0.08920288
1561435445289	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5433502	2.233963	9.6345215
1561435445309	TYPE_ACCELEROMETER	-1.3093262	2.195053	9.4956665
1561435445309	TYPE_MAGNETIC_FIELD	18.988037	-26.879883	-25.857544
1561435445309	TYPE_GYROSCOPE	-0.11769104	-0.06819153	-0.14303589
1561435445309	TYPE_ROTATION_VECTOR	-0.071371175	0.13307065	0.95467734
1561435445309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.12433	-110.183716	-394.0506
1561435445309	TYPE_GYROSCOPE_UNCALIBRATED	-0.11680603	-0.06590271	-0.14193726
1561435445309	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3991089	2.1884613	9.6614685
1561435445329	TYPE_ACCELEROMETER	-1.2776031	2.289032	9.143723
1561435445329	TYPE_MAGNETIC_FIELD	18.988037	-26.879883	-25.857544
1561435445329	TYPE_GYROSCOPE	-0.09744263	-0.12997437	-0.16912842
1561435445329	TYPE_ROTATION_VECTOR	-0.06629927	0.13184914	0.953536
1561435445329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.12433	-110.183716	-394.0506
1561435445329	TYPE_GYROSCOPE_UNCALIBRATED	-0.09655762	-0.12768555	-0.16802979
1561435445329	TYPE_ACCELEROMETER_UNCALIBRATED	-1.257843	2.2315674	9.298737
1561435445349	TYPE_ACCELEROMETER	-1.3984985	2.3692322	9.01384
1561435445349	TYPE_MAGNETIC_FIELD	17.619324	-28.248596	-26.522827
1561435445349	TYPE_GYROSCOPE	-0.116622925	-0.071395874	-0.17391968
1561435445349	TYPE_ROTATION_VECTOR	-0.063060455	0.13144797	0.95255107
1561435445349	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-111.55243	-394.71588
1561435445349	TYPE_GYROSCOPE_UNCALIBRATED	-0.115737915	-0.069107056	-0.17282104
1561435445349	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3338623	2.333313	9.046753
1561435445369	TYPE_ACCELEROMETER	-1.5696869	2.4566193	9.09523
1561435445369	TYPE_MAGNETIC_FIELD	18.302917	-26.879883	-26.522827
1561435445369	TYPE_GYROSCOPE	-0.13366699	0.029815674	-0.13929749
1561435445369	TYPE_ROTATION_VECTOR	-0.06167478	0.13163626	0.9515506
1561435445369	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-109.50012	-393.3838
1561435445369	TYPE_GYROSCOPE_UNCALIBRATED	-0.13278198	0.032104492	-0.13819885
1561435445369	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4835052	2.4225006	9.043762
1561435445388	TYPE_ACCELEROMETER	-1.6391296	2.40036	9.091644
1561435445388	TYPE_MAGNETIC_FIELD	18.302917	-26.19629	-26.522827
1561435445388	TYPE_GYROSCOPE	-0.11715698	0.113983154	-0.09829712
1561435445388	TYPE_ROTATION_VECTOR	-0.061663594	0.13216205	0.9507735
1561435445388	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-109.50012	-394.71588
