#	startTime:1561435549030
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561435549031	TYPE_WAYPOINT	90.43365	18.036816
1561435549170	TYPE_ACCELEROMETER	-0.9364166	1.5139008	9.45018
1561435549170	TYPE_MAGNETIC_FIELD	31.990051	-22.773743	-27.853394
1561435549170	TYPE_GYROSCOPE	-0.07720947	-0.15394592	-0.12013245
1561435549170	TYPE_ROTATION_VECTOR	7.7806367E-4	0.091025084	0.8688218
1561435549170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.122314	-106.077576	-396.04645
1561435549170	TYPE_GYROSCOPE_UNCALIBRATED	-0.07632446	-0.1516571	-0.11903381
1561435549170	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9298248	1.5222778	9.525589
1561435549190	TYPE_ACCELEROMETER	-1.0178223	1.5785522	9.328064
1561435549190	TYPE_MAGNETIC_FIELD	33.358765	-22.090149	-26.522827
1561435549190	TYPE_GYROSCOPE	-0.029800415	-0.073516846	-0.12225342
1561435549190	TYPE_ROTATION_VECTOR	7.122534E-5	0.091314375	0.8683631
1561435549190	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-105.39398	-394.71588
1561435549190	TYPE_GYROSCOPE_UNCALIBRATED	-0.028915405	-0.07122803	-0.121154785
1561435549190	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9531708	1.5366516	9.387924
1561435549210	TYPE_ACCELEROMETER	-1.1596832	1.7138214	9.363388
1561435549210	TYPE_MAGNETIC_FIELD	31.990051	-21.40503	-27.853394
1561435549210	TYPE_GYROSCOPE	-0.022338867	-0.0021362305	-0.13078308
1561435549210	TYPE_ROTATION_VECTOR	-0.0014085408	0.09328938	0.8673885
1561435549210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.122314	-104.70886	-396.04645
1561435549210	TYPE_GYROSCOPE_UNCALIBRATED	-0.021453857	1.5258789E-4	-0.12968445
1561435549210	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1010132	1.6455841	9.314896
1561435549230	TYPE_ACCELEROMETER	-1.2775879	1.8526917	9.425629
1561435549230	TYPE_MAGNETIC_FIELD	33.358765	-22.773743	-26.522827
1561435549230	TYPE_GYROSCOPE	-0.048980713	0.017562866	-0.1281128
1561435549230	TYPE_ROTATION_VECTOR	-0.0030204903	0.09569884	0.8662243
1561435549230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-106.077576	-394.71588
1561435549230	TYPE_GYROSCOPE_UNCALIBRATED	-0.048095703	0.019851685	-0.12701416
1561435549230	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2255096	1.7748718	9.407074
1561435549250	TYPE_ACCELEROMETER	-1.2458649	1.9795837	9.393311
1561435549250	TYPE_MAGNETIC_FIELD	33.358765	-20.036316	-28.520203
1561435549250	TYPE_GYROSCOPE	-0.06816101	0.0053100586	-0.117996216
1561435549250	TYPE_ROTATION_VECTOR	-0.0040311143	0.09826886	0.8648703
1561435549250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-103.34015	-396.71326
1561435549250	TYPE_GYROSCOPE_UNCALIBRATED	-0.067276	0.007598877	-0.11689758
1561435549250	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2841797	1.9281006	9.431625
1561435549269	TYPE_ACCELEROMETER	-1.1512909	2.0220642	9.372971
1561435549269	TYPE_MAGNETIC_FIELD	34.043884	-22.090149	-27.18811
1561435549269	TYPE_GYROSCOPE	-0.06762695	0.008514404	-0.09881592
1561435549269	TYPE_ROTATION_VECTOR	-0.0040052254	0.100468956	0.86304665
1561435549269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-105.39398	-395.38116
1561435549269	TYPE_GYROSCOPE_UNCALIBRATED	-0.06674194	0.010803223	-0.097717285
1561435549269	TYPE_ACCELEROMETER_UNCALIBRATED	-1.191391	2.013092	9.356201
1561435549289	TYPE_ACCELEROMETER	-1.194397	2.0490112	9.414871
1561435549289	TYPE_MAGNETIC_FIELD	32.67517	-22.090149	-27.18811
1561435549289	TYPE_GYROSCOPE	-0.03565979	0.07987976	-0.09188843
1561435549289	TYPE_ROTATION_VECTOR	-0.0042071026	0.10262528	0.8615521
1561435549289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.437195	-105.39398	-395.38116
1561435549289	TYPE_GYROSCOPE_UNCALIBRATED	-0.03477478	0.08216858	-0.090789795
1561435549289	TYPE_ACCELEROMETER_UNCALIBRATED	-1.14711	2.020874	9.386139
1561435549309	TYPE_ACCELEROMETER	-1.336853	2.131607	9.572281
1561435549309	TYPE_MAGNETIC_FIELD	34.043884	-22.090149	-28.520203
1561435549309	TYPE_GYROSCOPE	-0.0026397705	0.16511536	-0.09295654
1561435549309	TYPE_ROTATION_VECTOR	-0.0053017503	0.10548425	0.8602233
1561435549309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-105.39398	-396.71326
1561435549309	TYPE_GYROSCOPE_UNCALIBRATED	-0.0017547607	0.16740417	-0.09185791
1561435549309	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2686157	2.0891113	9.4878845
1561435549329	TYPE_ACCELEROMETER	-1.3392487	2.1268158	9.648895
1561435549329	TYPE_MAGNETIC_FIELD	33.358765	-20.721436	-26.522827
1561435549329	TYPE_GYROSCOPE	0.014419556	0.1768341	-0.07698059
1561435549329	TYPE_ROTATION_VECTOR	-0.0065112296	0.10841084	0.858951
1561435549329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-104.02527	-394.71588
1561435549329	TYPE_GYROSCOPE_UNCALIBRATED	0.015304565	0.17912292	-0.07588196
1561435549329	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3637848	2.151352	9.62854
1561435549349	TYPE_ACCELEROMETER	-1.1997681	2.114853	9.573486
1561435549349	TYPE_MAGNETIC_FIELD	33.358765	-21.40503	-27.18811
1561435549349	TYPE_GYROSCOPE	0.024536133	0.12782288	-0.06314087
1561435549349	TYPE_ROTATION_VECTOR	-0.0069258274	0.11049226	0.85778975
1561435549349	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-104.70886	-395.38116
1561435549349	TYPE_GYROSCOPE_UNCALIBRATED	0.025421143	0.1301117	-0.062042236
1561435549349	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2704163	2.1130524	9.643509
1561435549368	TYPE_ACCELEROMETER	-1.2279053	2.1309967	9.379547
1561435549368	TYPE_MAGNETIC_FIELD	33.358765	-22.773743	-25.857544
1561435549368	TYPE_GYROSCOPE	0.056488037	0.123031616	-0.06686401
1561435549368	TYPE_ROTATION_VECTOR	-0.0068915156	0.11257884	0.8566328
1561435549368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-106.077576	-394.0506
1561435549368	TYPE_GYROSCOPE_UNCALIBRATED	0.057373047	0.12532043	-0.06576538
1561435549368	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1878052	2.115448	9.448975
1561435549388	TYPE_ACCELEROMETER	-1.376358	2.1483612	9.415466
1561435549388	TYPE_MAGNETIC_FIELD	34.727478	-22.773743	-26.522827
1561435549388	TYPE_GYROSCOPE	0.07939148	0.17895508	-0.066329956
1561435549388	TYPE_ROTATION_VECTOR	-0.007591385	0.11523875	0.85570353
1561435549388	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-106.077576	-394.71588
1561435549388	TYPE_GYROSCOPE_UNCALIBRATED	0.08027649	0.1812439	-0.06523132
1561435549388	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3063354	2.1447754	9.375351
1561435549408	TYPE_ACCELEROMETER	-1.3847351	2.1705017	9.566299
1561435549408	TYPE_MAGNETIC_FIELD	33.358765	-21.40503	-25.857544
1561435549408	TYPE_GYROSCOPE	0.06607056	0.18374634	-0.04714966
1561435549408	TYPE_ROTATION_VECTOR	-0.008571171	0.11768504	0.85491633
1561435549408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-104.70886	-394.0506
1561435549408	TYPE_GYROSCOPE_UNCALIBRATED	0.06695557	0.18603516	-0.046051025
1561435549408	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3991089	2.1621246	9.4956665
