#	startTime:1561443638799
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561443638800	TYPE_WAYPOINT	26.204704	124.29181
1561443638920	TYPE_ACCELEROMETER	-0.018844604	1.182312	9.650696
1561443638920	TYPE_MAGNETIC_FIELD	25.697327	-4.121399	-37.89978
1561443638920	TYPE_GYROSCOPE	-0.018005371	-0.039657593	-0.055526733
1561443638920	TYPE_ROTATION_VECTOR	0.034644105	0.06455889	0.7025675
1561443638920	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-80.07202	-404.6997
1561443638920	TYPE_GYROSCOPE_UNCALIBRATED	-0.017196655	-0.038208008	-0.05458069
1561443638920	TYPE_ACCELEROMETER_UNCALIBRATED	0.014678955	1.2307892	9.619568
1561443638940	TYPE_ACCELEROMETER	-0.23791504	1.1607513	9.697372
1561443638940	TYPE_MAGNETIC_FIELD	25.697327	-4.121399	-37.89978
1561443638940	TYPE_GYROSCOPE	0.041122437	0.056762695	-0.06617737
1561443638940	TYPE_ROTATION_VECTOR	0.036330555	0.059743647	0.7048832
1561443638940	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-80.07202	-404.6997
1561443638940	TYPE_GYROSCOPE_UNCALIBRATED	0.041931152	0.05821228	-0.06523132
1561443638940	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13496399	1.1535797	9.691986
1561443638960	TYPE_ACCELEROMETER	-0.39653015	1.2212067	9.639908
1561443638960	TYPE_MAGNETIC_FIELD	26.38092	-4.121399	-39.231873
1561443638960	TYPE_GYROSCOPE	0.02407837	0.03012085	-0.03315735
1561443638960	TYPE_ROTATION_VECTOR	0.035530224	0.05857205	0.70627874
1561443638960	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-80.07202	-406.0318
1561443638960	TYPE_GYROSCOPE_UNCALIBRATED	0.024887085	0.031570435	-0.032211304
1561443638960	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32530212	1.1835022	9.663254
1561443638980	TYPE_ACCELEROMETER	-0.44918823	1.2637024	9.624954
1561443638980	TYPE_MAGNETIC_FIELD	25.012207	-3.4362793	-39.897156
1561443638980	TYPE_GYROSCOPE	-0.019073486	-0.020492554	0.025436401
1561443638980	TYPE_ROTATION_VECTOR	0.034587223	0.058652896	0.7063961
1561443638980	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-79.3869	-406.69708
1561443638980	TYPE_GYROSCOPE_UNCALIBRATED	0.024887085	0.031570435	-0.032211304
1561443638980	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4432068	1.2547302	9.641708
1561443639000	TYPE_ACCELEROMETER	-0.4060974	1.2565155	9.436401
1561443639000	TYPE_MAGNETIC_FIELD	25.697327	-4.8049927	-37.234497
1561443639000	TYPE_GYROSCOPE	-0.049438477	-0.01675415	0.07817078
1561443639000	TYPE_ROTATION_VECTOR	0.033888035	0.05881047	0.70674795
1561443639000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-80.755615	-404.03442
1561443639000	TYPE_GYROSCOPE_UNCALIBRATED	-0.04862976	-0.015304565	0.07911682
1561443639000	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4174652	1.2637024	9.542358
1561443639019	TYPE_ACCELEROMETER	-0.48391724	1.2134247	9.447784
1561443639019	TYPE_MAGNETIC_FIELD	25.012207	-3.4362793	-38.565063
1561443639019	TYPE_GYROSCOPE	-0.08831787	0.0690155	0.10534668
1561443639019	TYPE_ROTATION_VECTOR	0.033142954	0.058835916	0.7068293
1561443639019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-79.3869	-405.365
1561443639019	TYPE_GYROSCOPE_UNCALIBRATED	-0.04862976	-0.015304565	0.07911682
1561443639019	TYPE_ACCELEROMETER_UNCALIBRATED	-0.431839	1.2367706	9.399902
1561443639039	TYPE_ACCELEROMETER	-0.6802368	1.218216	9.772202
1561443639039	TYPE_MAGNETIC_FIELD	26.38092	-4.121399	-39.897156
1561443639039	TYPE_GYROSCOPE	-0.113357544	0.1398468	0.10481262
1561443639039	TYPE_ROTATION_VECTOR	0.0311918	0.059324805	0.7073828
1561443639039	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-80.07202	-406.69708
1561443639039	TYPE_GYROSCOPE_UNCALIBRATED	-0.11254883	0.14129639	0.10575867
