#	startTime:1561443659257
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561443659258	TYPE_WAYPOINT	15.946474	123.839294
1561443659393	TYPE_ACCELEROMETER	-0.93222046	2.0041199	9.963135
1561443659393	TYPE_MAGNETIC_FIELD	4.4815063	-28.074646	-25.253296
1561443659393	TYPE_GYROSCOPE	-0.33546448	-0.074279785	0.11225891
1561443659393	TYPE_ROTATION_VECTOR	-0.038050205	0.11086615	0.98709804
1561443659393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-88.2843	-104.02527	-392.05322
1561443659393	TYPE_GYROSCOPE_UNCALIBRATED	-0.33465576	-0.0728302	0.113204956
1561443659393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8616028	1.9568329	9.900284
1561443659413	TYPE_ACCELEROMETER	-0.839447	2.1375885	9.823669
1561443659413	TYPE_MAGNETIC_FIELD	6.5338135	-26.705933	-25.253296
1561443659413	TYPE_GYROSCOPE	-0.26301575	-0.085998535	0.09786987
1561443659413	TYPE_ROTATION_VECTOR	-0.03691367	0.107889056	0.9876494
1561443659413	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-86.231995	-102.656555	-392.05322
1561443659413	TYPE_GYROSCOPE_UNCALIBRATED	-0.26220703	-0.08454895	0.09881592
1561443659413	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9352112	2.068756	9.919449
1561443659433	TYPE_ACCELEROMETER	-0.48989868	2.2638855	9.556122
1561443659433	TYPE_MAGNETIC_FIELD	7.218933	-28.75824	-23.921204
1561443659433	TYPE_GYROSCOPE	-0.13252258	0.03225708	0.1234436
1561443659433	TYPE_ROTATION_VECTOR	-0.03422407	0.108163245	0.98749804
1561443659433	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-85.546875	-104.70886	-390.72113
1561443659433	TYPE_GYROSCOPE_UNCALIBRATED	-0.13171387	0.033706665	0.12438965
1561443659433	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6730499	2.2082214	9.691391
1561443659453	TYPE_ACCELEROMETER	-0.32110596	2.317154	9.338852
1561443659453	TYPE_MAGNETIC_FIELD	6.5338135	-28.074646	-24.588013
1561443659453	TYPE_GYROSCOPE	-0.04676819	0.1712799	0.104278564
1561443659453	TYPE_ROTATION_VECTOR	-0.03083501	0.10995336	0.9869044
1561443659453	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-86.231995	-104.02527	-391.38794
1561443659453	TYPE_GYROSCOPE_UNCALIBRATED	-0.045959473	0.17272949	0.10522461
1561443659453	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35881042	2.2967987	9.417862
1561443659473	TYPE_ACCELEROMETER	-0.3618164	2.2848358	9.58725
1561443659473	TYPE_MAGNETIC_FIELD	5.1651	-28.074646	-25.253296
1561443659473	TYPE_GYROSCOPE	-0.10643005	0.21174622	0.025970459
1561443659473	TYPE_ROTATION_VECTOR	-0.028742047	0.11090223	0.98637587
1561443659473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-87.60071	-104.02527	-392.05322
1561443659473	TYPE_GYROSCOPE_UNCALIBRATED	-0.10562134	0.2131958	0.026916504
1561443659473	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33009338	2.317154	9.391525
1561443659492	TYPE_ACCELEROMETER	-0.5587311	2.2429352	10.234879
1561443659492	TYPE_MAGNETIC_FIELD	4.4815063	-29.44336	-25.253296
1561443659492	TYPE_GYROSCOPE	-0.2523651	0.12440491	-0.07310486
1561443659492	TYPE_ROTATION_VECTOR	-0.02750245	0.10923833	0.9862386
1561443659492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-88.2843	-105.39398	-392.05322
1561443659492	TYPE_GYROSCOPE_UNCALIBRATED	-0.2515564	0.12585449	-0.07215881
1561443659492	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44081116	2.2549133	9.878143
1561443659512	TYPE_ACCELEROMETER	-0.7754059	2.2076263	10.81488
1561443659512	TYPE_MAGNETIC_FIELD	5.8502197	-28.75824	-26.583862
1561443659512	TYPE_GYROSCOPE	-0.2827301	0.032791138	-0.16685486
1561443659512	TYPE_ROTATION_VECTOR	-0.027152712	0.106489986	0.9863414
1561443659512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-86.91559	-104.70886	-393.3838
1561443659512	TYPE_GYROSCOPE_UNCALIBRATED	-0.2819214	0.034240723	-0.16590881
1561443659512	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66348267	2.2333527	10.589813
