#	startTime:1561443969735
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561443969735	TYPE_WAYPOINT	94.82487	45.371346
1561443969861	TYPE_ACCELEROMETER	-0.020629883	1.6467743	9.629135
1561443969861	TYPE_MAGNETIC_FIELD	27.06604	4.0908813	-31.243896
1561443969861	TYPE_GYROSCOPE	-0.37913513	-0.2287445	-0.016113281
1561443969861	TYPE_ROTATION_VECTOR	0.089977	0.06351181	0.5561231
1561443969861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-71.85974	-398.04382
1561443969861	TYPE_GYROSCOPE_UNCALIBRATED	-0.20574951	-0.15805054	-0.003982544
1561443969861	TYPE_ACCELEROMETER_UNCALIBRATED	0.12301636	1.8951721	9.103012
1561443969881	TYPE_ACCELEROMETER	-0.39712524	1.1577606	10.331833
1561443969881	TYPE_MAGNETIC_FIELD	28.434753	4.0908813	-29.246521
1561443969881	TYPE_GYROSCOPE	-0.35836792	-0.17601013	-0.025161743
1561443969881	TYPE_ROTATION_VECTOR	0.07587731	0.057977293	0.5643626
1561443969881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.331055	-71.85974	-396.04645
1561443969881	TYPE_GYROSCOPE_UNCALIBRATED	-0.3575592	-0.17456055	-0.024215698
1561443969881	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21156311	1.3756409	10.057098
1561443969901	TYPE_ACCELEROMETER	-0.83047485	0.94647217	10.370148
1561443969901	TYPE_MAGNETIC_FIELD	27.06604	4.0908813	-30.578613
1561443969901	TYPE_GYROSCOPE	-0.2758026	-0.112091064	-0.053390503
1561443969901	TYPE_ROTATION_VECTOR	0.06313878	0.056516554	0.5691217
1561443969901	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-71.85974	-397.37854
1561443969901	TYPE_GYROSCOPE_UNCALIBRATED	-0.2749939	-0.11064148	-0.052444458
1561443969901	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5880585	1.0159149	10.43898
1561443969921	TYPE_ACCELEROMETER	-1.1488953	0.93989563	10.240265
