#	startTime:1561444040661
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561444040662	TYPE_WAYPOINT	91.64658	40.626476
1561444040791	TYPE_ACCELEROMETER	-1.1123962	2.4260864	6.8225403
1561444040791	TYPE_MAGNETIC_FIELD	23.643494	15.040588	-29.91333
1561444040791	TYPE_GYROSCOPE	0.17640686	-0.0061035156	-0.17271423
1561444040791	TYPE_ROTATION_VECTOR	0.029095106	0.06458506	0.45491767
1561444040791	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.122314	-60.910034	-396.71326
1561444040791	TYPE_GYROSCOPE_UNCALIBRATED	0.17721558	-0.0046539307	-0.17176819
1561444040791	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6389313	1.7335663	8.59964
1561444040811	TYPE_ACCELEROMETER	-1.3913116	2.460205	7.691635
1561444040811	TYPE_MAGNETIC_FIELD	24.328613	16.409302	-30.578613
1561444040811	TYPE_GYROSCOPE	0.025131226	0.6485138	-0.08375549
1561444040811	TYPE_ROTATION_VECTOR	0.047007766	0.082320064	0.43422902
1561444040811	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.437195	-59.54132	-397.37854
1561444040811	TYPE_GYROSCOPE_UNCALIBRATED	0.17721558	-0.0046539307	-0.17176819
1561444040811	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1123962	2.4260864	6.8225403
1561444040831	TYPE_ACCELEROMETER	-1.7241058	2.0340424	9.684219
1561444040831	TYPE_MAGNETIC_FIELD	24.328613	16.409302	-29.91333
1561444040831	TYPE_GYROSCOPE	-0.15330505	0.8562317	-0.057662964
1561444040831	TYPE_ROTATION_VECTOR	0.05427729	0.098505765	0.42153805
