#	startTime:1561444256603
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561444256604	TYPE_WAYPOINT	34.678024	49.98199
1561444256731	TYPE_ACCELEROMETER	-1.5840454	1.9927368	9.699768
1561444256731	TYPE_MAGNETIC_FIELD	-24.946594	-2.7526855	-36.569214
1561444256731	TYPE_GYROSCOPE	-0.07287598	0.15742493	-0.16044617
1561444256731	TYPE_ROTATION_VECTOR	0.12913004	-0.0155698825	-0.6602229
1561444256731	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-78.70331	-403.36914
1561444256731	TYPE_GYROSCOPE_UNCALIBRATED	0.003036499	0.327713	-0.11956787
1561444256731	TYPE_ACCELEROMETER_UNCALIBRATED	-1.439209	2.020279	9.614777
1561444256751	TYPE_ACCELEROMETER	-1.6846161	1.9777832	10.030777
1561444256751	TYPE_MAGNETIC_FIELD	-24.946594	-5.4901123	-37.234497
1561444256751	TYPE_GYROSCOPE	-0.030258179	0.1829834	-0.12158203
1561444256751	TYPE_ROTATION_VECTOR	0.12930654	-0.012012727	-0.6631673
1561444256751	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-81.440735	-404.03442
1561444256751	TYPE_GYROSCOPE_UNCALIBRATED	-0.029449463	0.18443298	-0.12063599
1561444256751	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6852112	1.996933	9.86557
1561444256771	TYPE_ACCELEROMETER	-1.510437	2.0059052	9.797333
1561444256771	TYPE_MAGNETIC_FIELD	-24.946594	-4.8049927	-36.569214
1561444256771	TYPE_GYROSCOPE	0.06349182	0.22666931	-0.07577515
1561444256771	TYPE_ROTATION_VECTOR	0.13013731	-0.0108548235	-0.6642299
1561444256771	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-80.755615	-403.36914
1561444256771	TYPE_GYROSCOPE_UNCALIBRATED	0.06430054	0.2281189	-0.0748291
1561444256771	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5954285	1.9855652	10.016998
1561444256791	TYPE_ACCELEROMETER	-1.7265167	1.9041595	9.536362
1561444256791	TYPE_MAGNETIC_FIELD	-24.946594	-2.7526855	-35.90393
1561444256791	TYPE_GYROSCOPE	0.074142456	0.3001709	-0.035812378
1561444256791	TYPE_ROTATION_VECTOR	0.13245238	-0.007909578	-0.6648391
1561444256791	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-78.70331	-402.70386
1561444256791	TYPE_GYROSCOPE_UNCALIBRATED	0.06430054	0.2281189	-0.0748291
1561444256791	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5583191	1.9717865	9.543549
1561444256811	TYPE_ACCELEROMETER	-1.965332	1.8496857	9.910461
1561444256811	TYPE_MAGNETIC_FIELD	-24.263	-3.4362793	-37.234497
1561444256811	TYPE_GYROSCOPE	0.04484558	0.20748901	3.9672852E-4
1561444256811	TYPE_ROTATION_VECTOR	0.1338827	-0.004727315	-0.66600806
1561444256811	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-79.3869	-404.03442
1561444256811	TYPE_GYROSCOPE_UNCALIBRATED	0.045654297	0.2089386	0.0013427734
1561444256811	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8959045	1.8514862	9.7686
1561444256830	TYPE_ACCELEROMETER	-1.5433502	1.9286957	9.460953
1561444256830	TYPE_MAGNETIC_FIELD	-24.263	-3.4362793	-38.565063
1561444256830	TYPE_GYROSCOPE	0.07574463	-0.019958496	0.061660767
1561444256830	TYPE_ROTATION_VECTOR	0.1335172	-0.0057146554	-0.66565865
1561444256830	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-79.3869	-405.365
1561444256830	TYPE_GYROSCOPE_UNCALIBRATED	0.076553345	-0.018508911	0.06260681
1561444256830	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8540039	1.8981628	9.799728
1561444256850	TYPE_ACCELEROMETER	-0.92204285	1.9364777	8.6223755
1561444256850	TYPE_MAGNETIC_FIELD	-22.209167	-3.4362793	-36.569214
1561444256850	TYPE_GYROSCOPE	0.10450745	-0.07321167	0.10054016
1561444256850	TYPE_ROTATION_VECTOR	0.13226081	-0.009385259	-0.6640719
1561444256850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-79.3869	-403.36914
1561444256850	TYPE_GYROSCOPE_UNCALIBRATED	0.10531616	-0.071762085	0.101486206
1561444256850	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1824188	1.9089355	9.012039
1561444256870	TYPE_ACCELEROMETER	-0.75027466	2.052002	8.1914215
1561444256870	TYPE_MAGNETIC_FIELD	-22.894287	-3.4362793	-35.23712
1561444256870	TYPE_GYROSCOPE	0.07041931	0.03012085	0.09681702
1561444256870	TYPE_ROTATION_VECTOR	0.132035	-0.012517924	-0.66167504
1561444256870	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-79.3869	-402.03705
1561444256870	TYPE_GYROSCOPE_UNCALIBRATED	0.07122803	0.031570435	0.09776306
