#	startTime:1561444336858
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c5f	FloorName:三层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561444336859	TYPE_WAYPOINT	25.426773	91.62626
1561444336985	TYPE_ACCELEROMETER	-0.49168396	1.3271484	9.593826
1561444336985	TYPE_MAGNETIC_FIELD	-0.99334717	21.885681	-33.241272
1561444336985	TYPE_GYROSCOPE	0.06188965	0.032791138	-0.17802429
1561444336985	TYPE_ROTATION_VECTOR	0.07259489	0.017822169	-0.039238684
1561444336985	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-54.06494	-400.0412
1561444336985	TYPE_GYROSCOPE_UNCALIBRATED	0.013168335	-0.008911133	-0.1733551
1561444336985	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44380188	1.3247528	9.756638
1561444337005	TYPE_ACCELEROMETER	-0.5042572	1.3193817	9.48909
1561444337005	TYPE_MAGNETIC_FIELD	-0.30975342	22.569275	-33.241272
1561444337005	TYPE_GYROSCOPE	0.051239014	0.07060242	-0.16897583
1561444337005	TYPE_ROTATION_VECTOR	0.07241441	0.01945877	-0.04209241
1561444337005	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.07556	-53.381348	-400.0412
1561444337005	TYPE_GYROSCOPE_UNCALIBRATED	0.07548523	0.0635376	-0.17282104
1561444337005	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5072479	1.328949	9.48909
1561444337025	TYPE_ACCELEROMETER	-0.56770325	1.3253632	9.720123
1561444337025	TYPE_MAGNETIC_FIELD	-0.99334717	21.200562	-32.574463
1561444337025	TYPE_GYROSCOPE	-0.027069092	0.02960205	-0.16311646
1561444337025	TYPE_ROTATION_VECTOR	0.07202381	0.020698136	-0.044607744
1561444337025	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-54.75006	-399.3744
1561444337025	TYPE_GYROSCOPE_UNCALIBRATED	0.009429932	0.05821228	-0.1653595
1561444337025	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5138397	1.3175812	9.581268
1561444337045	TYPE_ACCELEROMETER	-0.54855347	1.2433472	10.000244
1561444337045	TYPE_MAGNETIC_FIELD	-0.30975342	23.254395	-34.57184
1561444337045	TYPE_GYROSCOPE	-0.030792236	-0.0050354004	-0.14447021
1561444337045	TYPE_ROTATION_VECTOR	0.07114981	0.021655852	-0.047001276
1561444337045	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.07556	-52.696228	-401.37177
1561444337045	TYPE_GYROSCOPE_UNCALIBRATED	-0.040634155	0.0076141357	-0.15364075
1561444337045	TYPE_ACCELEROMETER_UNCALIBRATED	-0.597641	1.3163757	9.86557
1561444337064	TYPE_ACCELEROMETER	-0.6275635	1.1966705	10.148087
1561444337064	TYPE_MAGNETIC_FIELD	-1.6784668	21.885681	-31.90918
1561444337064	TYPE_GYROSCOPE	0.036849976	0.008285522	-0.13542175
1561444337064	TYPE_ROTATION_VECTOR	0.069935836	0.022041533	-0.0491865
1561444337064	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.444275	-54.06494	-398.7091
1561444337064	TYPE_GYROSCOPE_UNCALIBRATED	9.0026855E-4	-9.1552734E-4	-0.13873291
1561444337064	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53718567	1.1829071	10.103195
1561444337084	TYPE_ACCELEROMETER	-0.73291016	1.2349701	10.115173
1561444337084	TYPE_MAGNETIC_FIELD	-1.6784668	22.569275	-33.906555
1561444337084	TYPE_GYROSCOPE	0.08799744	0.024276733	-0.11198425
1561444337084	TYPE_ROTATION_VECTOR	0.06923631	0.022891913	-0.051660817
1561444337084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.444275	-53.381348	-400.70648
1561444337084	TYPE_GYROSCOPE_UNCALIBRATED	0.06802368	0.018798828	-0.12382507
1561444337084	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7137604	1.2080383	10.146896
1561444337104	TYPE_ACCELEROMETER	-0.7670288	1.3074036	10.000244
1561444337104	TYPE_MAGNETIC_FIELD	0.3753662	21.200562	-32.574463
1561444337104	TYPE_GYROSCOPE	0.114089966	0.020004272	-0.097076416
1561444337104	TYPE_ROTATION_VECTOR	0.06936077	0.024192216	-0.053725988
1561444337104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-92.39044	-54.75006	-399.3744
1561444337104	TYPE_GYROSCOPE_UNCALIBRATED	0.10317993	0.027313232	-0.101989746
1561444337104	TYPE_ACCELEROMETER_UNCALIBRATED	-0.720932	1.2714844	10.061905
1561444337124	TYPE_ACCELEROMETER	-0.7676239	1.3355408	9.956543
1561444337124	TYPE_MAGNETIC_FIELD	0.3753662	21.885681	-33.906555
1561444337124	TYPE_GYROSCOPE	0.13378906	-0.0061035156	-0.07949829
1561444337124	TYPE_ROTATION_VECTOR	0.07022141	0.0252306	-0.055996135
1561444337124	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-92.39044	-54.06494	-400.70648
1561444337124	TYPE_GYROSCOPE_UNCALIBRATED	0.12501526	0.011871338	-0.088134766
1561444337124	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8071289	1.3283539	9.96553
1561444337144	TYPE_ACCELEROMETER	-0.5713043	1.3115845	9.908661
1561444337144	TYPE_MAGNETIC_FIELD	-0.99334717	20.516968	-33.241272
1561444337144	TYPE_GYROSCOPE	0.16255188	-0.04232788	-0.06297302
1561444337144	TYPE_ROTATION_VECTOR	0.07135092	0.025767151	-0.057414453
1561444337144	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-55.433655	-400.0412
1561444337144	TYPE_GYROSCOPE_UNCALIBRATED	0.14578247	-0.024368286	-0.06842041
1561444337144	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69221497	1.3439178	9.960144
1561444337164	TYPE_ACCELEROMETER	-0.22833252	1.2655029	9.586044
1561444337164	TYPE_MAGNETIC_FIELD	-0.99334717	21.885681	-33.906555
1561444337164	TYPE_GYROSCOPE	0.2035675	-0.024215698	-0.0683136
1561444337164	TYPE_ROTATION_VECTOR	0.072640166	0.025222925	-0.058093697
1561444337164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-54.06494	-400.70648
1561444337164	TYPE_GYROSCOPE_UNCALIBRATED	0.18626404	-0.042999268	-0.06097412
1561444337164	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36001587	1.2750702	9.761429
1561444337183	TYPE_ACCELEROMETER	-0.27082825	1.257721	9.323288
1561444337183	TYPE_MAGNETIC_FIELD	-0.99334717	21.200562	-33.906555
1561444337183	TYPE_GYROSCOPE	0.20144653	0.05355835	-0.10293579
1561444337183	TYPE_ROTATION_VECTOR	0.074013144	0.02407691	-0.057280675
1561444337183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-54.75006	-400.70648
1561444337183	TYPE_GYROSCOPE_UNCALIBRATED	0.21076965	0.010803223	-0.08280945
1561444337183	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18821716	1.2122345	9.424438
1561444337203	TYPE_ACCELEROMETER	-0.62158203	1.4181366	9.564499
1561444337203	TYPE_MAGNETIC_FIELD	-2.3620605	20.516968	-33.906555
1561444337203	TYPE_GYROSCOPE	0.14605713	0.11480713	-0.10719299
1561444337203	TYPE_ROTATION_VECTOR	0.07519831	0.024092985	-0.057078365
1561444337203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-55.433655	-400.70648
1561444337203	TYPE_GYROSCOPE_UNCALIBRATED	0.17721558	0.0954895	-0.11103821
1561444337203	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4605713	1.379837	9.3771515
1561444337223	TYPE_ACCELEROMETER	-0.6203766	1.2595215	9.856583
1561444337223	TYPE_MAGNETIC_FIELD	-0.99334717	21.885681	-33.241272
1561444337223	TYPE_GYROSCOPE	0.12155151	0.10469055	-0.09919739
1561444337223	TYPE_ROTATION_VECTOR	0.07642596	0.025385387	-0.058600858
1561444337223	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-54.06494	-400.0412
1561444337223	TYPE_GYROSCOPE_UNCALIBRATED	0.1282196	0.11999512	-0.09718323
1561444337223	TYPE_ACCELEROMETER_UNCALIBRATED	-0.67485046	1.35289	9.757828
1561444337243	TYPE_ACCELEROMETER	-0.86099243	1.4175262	9.907471
1561444337243	TYPE_MAGNETIC_FIELD	-0.30975342	20.516968	-34.57184
1561444337243	TYPE_GYROSCOPE	0.12315369	0.055160522	-0.10932922
1561444337243	TYPE_ROTATION_VECTOR	0.07684812	0.026267197	-0.059749264
