#	startTime:1561451162571
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c60	FloorName:四层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561451162571	TYPE_WAYPOINT	166.8993	109.37344
1561451162694	TYPE_ACCELEROMETER	-1.5511322	1.7389526	11.218887
1561451162694	TYPE_MAGNETIC_FIELD	-32.739258	4.1992188	-38.609314
1561451162694	TYPE_GYROSCOPE	-0.5937805	-0.28201294	-0.23768616
1561451162694	TYPE_ROTATION_VECTOR	0.13507654	0.019693429	-0.61241573
1561451162694	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-72.543335	-408.69446
1561451162694	TYPE_GYROSCOPE_UNCALIBRATED	-0.5929718	-0.28056335	-0.23674011
1561451162694	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8294678	1.7413483	11.217102
1561451162714	TYPE_ACCELEROMETER	-1.2117462	2.187271	10.238464
1561451162714	TYPE_MAGNETIC_FIELD	-31.370544	2.8305054	-36.61194
1561451162714	TYPE_GYROSCOPE	-0.34397888	-0.38586426	-0.2637787
1561451162714	TYPE_ROTATION_VECTOR	0.13507654	0.019693429	-0.61241573
1561451162714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.08466	-73.91205	-406.69708
1561451162714	TYPE_GYROSCOPE_UNCALIBRATED	-0.34317017	-0.38441467	-0.26283264
1561451162714	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3530121	1.9191132	10.828033
1561451162734	TYPE_ACCELEROMETER	-0.9555664	2.5188751	9.104218
1561451162734	TYPE_MAGNETIC_FIELD	-31.370544	4.1992188	-37.942505
1561451162734	TYPE_GYROSCOPE	-0.1293335	-0.17707825	-0.22117615
1561451162734	TYPE_ROTATION_VECTOR	0.12753466	0.011835099	-0.61153024
1561451162734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.08466	-72.543335	-408.02765
1561451162734	TYPE_GYROSCOPE_UNCALIBRATED	-0.12852478	-0.17562866	-0.2202301
1561451162734	TYPE_ACCELEROMETER_UNCALIBRATED	-1.092041	2.3997498	9.606995
1561451162754	TYPE_ACCELEROMETER	-0.7742157	2.5595703	8.794769
1561451162754	TYPE_MAGNETIC_FIELD	-32.739258	4.8828125	-37.27722
1561451162754	TYPE_GYROSCOPE	-0.038253784	0.06262207	-0.18495178
1561451162754	TYPE_ROTATION_VECTOR	0.12871549	-0.0016846963	-0.60307485
1561451162754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-71.85974	-407.36237
1561451162754	TYPE_GYROSCOPE_UNCALIBRATED	-0.03744507	0.064071655	-0.18400574
1561451162754	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8256836	2.5643616	8.839661
1561451162774	TYPE_ACCELEROMETER	-0.89990234	2.4272919	8.9934845
1561451162774	TYPE_MAGNETIC_FIELD	-32.739258	4.1992188	-37.27722
1561451162774	TYPE_GYROSCOPE	-0.02067566	0.12333679	-0.18708801
1561451162774	TYPE_ROTATION_VECTOR	0.12983546	-0.00463442	-0.60094917
1561451162774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-72.543335	-407.36237
1561451162774	TYPE_GYROSCOPE_UNCALIBRATED	-0.019866943	0.12478638	-0.18614197
1561451162774	TYPE_ACCELEROMETER_UNCALIBRATED	-0.82029724	2.5092926	8.888138
1561451162793	TYPE_ACCELEROMETER	-1.0609131	2.195053	9.1515045
1561451162793	TYPE_MAGNETIC_FIELD	-30.685425	4.8828125	-38.609314
1561451162793	TYPE_GYROSCOPE	-0.031326294	0.07485962	-0.21478271
1561451162793	TYPE_ROTATION_VECTOR	0.12975934	-0.00569646	-0.6007231
1561451162793	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-131.39954	-71.85974	-408.69446
1561451162793	TYPE_GYROSCOPE_UNCALIBRATED	-0.030517578	0.076309204	-0.21383667
1561451162793	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98669434	2.324936	9.069504
1561451162813	TYPE_ACCELEROMETER	-1.1483002	1.9406738	9.179031
1561451162813	TYPE_MAGNETIC_FIELD	-31.370544	3.5140991	-37.27722
1561451162813	TYPE_GYROSCOPE	-0.033981323	0.06260681	-0.26005554
1561451162813	TYPE_ROTATION_VECTOR	0.12975934	-0.00569646	-0.6007231
1561451162813	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.08466	-73.228455	-407.36237
1561451162813	TYPE_GYROSCOPE_UNCALIBRATED	-0.033172607	0.0640564	-0.2591095
1561451162813	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0908356	2.0633698	9.187408
