#	startTime:1561450411987
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c60	FloorName:四层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561450411988	TYPE_WAYPOINT	170.2099	69.842064
1561450412125	TYPE_ACCELEROMETER	-0.68740845	1.5073242	9.717133
1561450412125	TYPE_MAGNETIC_FIELD	-8.786011	31.573486	-25.961304
1561450412125	TYPE_GYROSCOPE	-0.14051819	-0.062026978	-0.03527832
1561450412125	TYPE_ROTATION_VECTOR	0.07681317	0.016190816	-0.14148499
1561450412125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-45.169067	-396.04645
1561450412125	TYPE_GYROSCOPE_UNCALIBRATED	-0.13970947	-0.060577393	-0.034332275
1561450412125	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7071686	1.5474243	9.757828
1561450412145	TYPE_ACCELEROMETER	-0.52641296	1.4355011	9.687805
1561450412145	TYPE_MAGNETIC_FIELD	-8.786011	30.889893	-28.623962
1561450412145	TYPE_GYROSCOPE	-0.03718567	0.092437744	0.013198853
1561450412145	TYPE_ROTATION_VECTOR	0.07770066	0.01874354	-0.14221963
1561450412145	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-45.85266	-398.7091
1561450412145	TYPE_GYROSCOPE_UNCALIBRATED	-0.036376953	0.09388733	0.014144897
1561450412145	TYPE_ACCELEROMETER_UNCALIBRATED	-0.60302734	1.4660187	9.676422
1561450412165	TYPE_ACCELEROMETER	-0.48631287	1.3672485	9.622559
1561450412165	TYPE_MAGNETIC_FIELD	-6.7321777	30.204773	-28.623962
1561450412165	TYPE_GYROSCOPE	0.0027618408	0.1590271	0.022247314
1561450412165	TYPE_ROTATION_VECTOR	0.07764269	0.019524973	-0.14097711
1561450412165	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-46.53778	-398.7091
1561450412165	TYPE_GYROSCOPE_UNCALIBRATED	0.0035705566	0.16047668	0.02319336
1561450412165	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48690796	1.3977814	9.671051
1561450412185	TYPE_ACCELEROMETER	-0.54437256	1.4043579	9.615982
1561450412185	TYPE_MAGNETIC_FIELD	-8.100891	30.889893	-27.293396
1561450412185	TYPE_GYROSCOPE	-0.040908813	0.08818054	-1.2207031E-4
