#	startTime:1561450306390
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c60	FloorName:四层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561450306391	TYPE_WAYPOINT	161.99174	10.888547
1561450306539	TYPE_ACCELEROMETER	-0.12239075	1.3319397	10.543732
1561450306539	TYPE_MAGNETIC_FIELD	-32.05414	9.674072	-33.94928
1561450306539	TYPE_GYROSCOPE	-0.4393158	-0.2830658	-0.20199585
1561450306539	TYPE_ROTATION_VECTOR	0.06678892	-0.054048307	-0.53538406
1561450306539	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.76825	-67.06848	-404.03442
1561450306539	TYPE_GYROSCOPE_UNCALIBRATED	-0.341568	-0.08720398	-0.20318604
1561450306539	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12239075	1.3319397	10.543732
1561450306559	TYPE_ACCELEROMETER	-0.17625427	1.313385	10.648468
1561450306559	TYPE_MAGNETIC_FIELD	-34.10797	9.674072	-33.94928
1561450306559	TYPE_GYROSCOPE	-0.26887512	-0.19091797	-0.17323303
1561450306559	TYPE_ROTATION_VECTOR	0.059843667	-0.047344524	-0.54298913
1561450306559	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-67.06848	-404.03442
1561450306559	TYPE_GYROSCOPE_UNCALIBRATED	-0.43850708	-0.2816162	-0.2010498
1561450306559	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17625427	1.313385	10.648468
1561450306579	TYPE_ACCELEROMETER	-0.02961731	1.2702942	10.246841
1561450306579	TYPE_MAGNETIC_FIELD	-32.05414	11.042786	-33.283997
1561450306579	TYPE_GYROSCOPE	-0.0712738	0.018936157	-0.12902832
1561450306579	TYPE_ROTATION_VECTOR	0.05633347	-0.043018423	-0.5479784
1561450306579	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.76825	-65.69977	-403.36914
1561450306579	TYPE_GYROSCOPE_UNCALIBRATED	-0.2680664	-0.18946838	-0.17228699
1561450306579	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02961731	1.2702942	10.246841
1561450306599	TYPE_ACCELEROMETER	0.21279907	1.1817017	9.763214
1561450306599	TYPE_MAGNETIC_FIELD	-34.10797	8.305359	-31.286621
1561450306599	TYPE_GYROSCOPE	-0.01802063	0.066345215	-0.1471405
1561450306599	TYPE_ROTATION_VECTOR	0.05521576	-0.04077701	-0.5501158
1561450306599	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-68.437195	-401.37177
1561450306599	TYPE_GYROSCOPE_UNCALIBRATED	-0.07046509	0.020385742	-0.12808228
1561450306599	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02961731	1.2702942	10.246841
1561450306618	TYPE_ACCELEROMETER	0.35765076	1.1751251	9.35202
