#	startTime:1561450241341
#	SiteID:5a0546857ecc773753327266	SiteName:西溪银泰城	FloorId:5a24ae78fe4e220014739c60	FloorName:四层
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190625-nightly	VersionCode:271	
1561450241341	TYPE_WAYPOINT	171.18198	39.6924
1561450241464	TYPE_ACCELEROMETER	-0.76942444	1.0200958	9.884125
1561450241464	TYPE_MAGNETIC_FIELD	30.223083	-3.3294678	-27.95868
1561450241464	TYPE_GYROSCOPE	0.012893677	0.08924866	-0.005996704
1561450241464	TYPE_ROTATION_VECTOR	0.012410079	0.06374643	0.7235331
1561450241464	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.49103	-80.07202	-398.04382
1561450241464	TYPE_GYROSCOPE_UNCALIBRATED	-0.092300415	-0.017974854	-0.014099121
1561450241464	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7173462	1.0260773	9.937988
1561450241484	TYPE_ACCELEROMETER	-0.8376465	1.0673828	9.721924
1561450241484	TYPE_MAGNETIC_FIELD	30.223083	-4.698181	-27.293396
1561450241484	TYPE_GYROSCOPE	0.05230713	0.11961365	0.004119873
1561450241484	TYPE_ROTATION_VECTOR	0.0106483	0.06429348	0.7238894
1561450241484	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.49103	-81.440735	-397.37854
1561450241484	TYPE_GYROSCOPE_UNCALIBRATED	0.013702393	0.09069824	-0.005050659
1561450241484	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76942444	1.0200958	9.884125
1561450241504	TYPE_ACCELEROMETER	-0.73469543	1.091919	9.620163
1561450241504	TYPE_MAGNETIC_FIELD	28.170776	-4.0130615	-27.293396
1561450241504	TYPE_GYROSCOPE	0.0016937256	0.05834961	0.009994507
1561450241504	TYPE_ROTATION_VECTOR	0.009416192	0.0666534	0.7236198
1561450241504	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-72.543335	-80.755615	-397.37854
1561450241504	TYPE_GYROSCOPE_UNCALIBRATED	0.0025024414	0.059799194	0.010940552
1561450241504	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8376465	1.0673828	9.721924
1561450241524	TYPE_ACCELEROMETER	-0.73410034	1.103302	9.750061
1561450241524	TYPE_MAGNETIC_FIELD	30.908203	-4.698181	-27.293396
1561450241524	TYPE_GYROSCOPE	-0.0393219	0.012008667	0.005203247
1561450241524	TYPE_ROTATION_VECTOR	0.009416192	0.0666534	0.7236198
1561450241524	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.80591	-81.440735	-397.37854
1561450241524	TYPE_GYROSCOPE_UNCALIBRATED	-0.038513184	0.013458252	0.006149292
1561450241524	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73469543	1.091919	9.620163
1561450241544	TYPE_ACCELEROMETER	-0.79815674	1.0937195	9.778778
1561450241544	TYPE_MAGNETIC_FIELD	29.53949	-6.0668945	-25.961304
1561450241544	TYPE_GYROSCOPE	-0.017471313	0.024795532	0.009460449
1561450241544	TYPE_ROTATION_VECTOR	0.009085775	0.06671361	0.72385854
1561450241544	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-82.80945	-396.04645
1561450241544	TYPE_GYROSCOPE_UNCALIBRATED	-0.016662598	0.026245117	0.010406494
1561450241544	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73410034	1.103302	9.750061
1561450241563	TYPE_ACCELEROMETER	-0.7347107	1.0943146	9.644699
1561450241563	TYPE_MAGNETIC_FIELD	30.223083	-4.698181	-25.29602
1561450241563	TYPE_GYROSCOPE	0.013427734	0.06954956	0.024917603
1561450241563	TYPE_ROTATION_VECTOR	0.008991163	0.067237936	0.7239635
1561450241563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.49103	-81.440735	-395.38116
1561450241563	TYPE_GYROSCOPE_UNCALIBRATED	0.01423645	0.070999146	0.025863647
1561450241563	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79815674	1.0937195	9.778778
1561450241583	TYPE_ACCELEROMETER	-0.74427795	1.1164703	9.612991
1561450241583	TYPE_MAGNETIC_FIELD	30.223083	-4.0130615	-25.961304
1561450241583	TYPE_GYROSCOPE	0.015014648	0.09403992	0.024902344
1561450241583	TYPE_ROTATION_VECTOR	0.00879549	0.068008736	0.72383004
1561450241583	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.49103	-80.755615	-396.04645
1561450241583	TYPE_GYROSCOPE_UNCALIBRATED	0.015823364	0.0954895	0.025848389
1561450241583	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7347107	1.0943146	9.644699
1561450241603	TYPE_ACCELEROMETER	-0.9076843	1.1703339	9.656082
1561450241603	TYPE_MAGNETIC_FIELD	30.223083	-4.698181	-27.293396
1561450241603	TYPE_GYROSCOPE	-0.0025634766	0.08125305	0.02810669
1561450241603	TYPE_ROTATION_VECTOR	0.008182303	0.0691834	0.7236859
1561450241603	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.49103	-81.440735	-397.37854
1561450241603	TYPE_GYROSCOPE_UNCALIBRATED	-0.0017547607	0.08270264	0.029052734
1561450241603	TYPE_ACCELEROMETER_UNCALIBRATED	-0.74427795	1.1164703	9.612991
1561450241623	TYPE_ACCELEROMETER	-0.8729706	1.170929	9.677628
1561450241623	TYPE_MAGNETIC_FIELD	29.53949	-4.0130615	-27.293396
1561450241623	TYPE_GYROSCOPE	-0.019607544	0.0652771	0.049942017
1561450241623	TYPE_ROTATION_VECTOR	0.007755952	0.069880694	0.7236169
1561450241623	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-80.755615	-397.37854
1561450241623	TYPE_GYROSCOPE_UNCALIBRATED	-0.0017547607	0.08270264	0.029052734
1561450241623	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9076843	1.1703339	9.656082
1561450241643	TYPE_ACCELEROMETER	-0.6874237	1.0943146	9.66864
1561450241643	TYPE_MAGNETIC_FIELD	30.223083	-5.381775	-27.95868
1561450241643	TYPE_GYROSCOPE	-0.023330688	0.03970337	0.05366516
1561450241643	TYPE_ROTATION_VECTOR	0.007755952	0.069880694	0.7236169
1561450241643	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.49103	-82.12433	-398.04382
1561450241643	TYPE_GYROSCOPE_UNCALIBRATED	-0.022521973	0.041152954	0.054611206
1561450241643	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8729706	1.170929	9.677628
1561450241662	TYPE_ACCELEROMETER	-0.68681335	1.1296234	9.6219635
1561450241662	TYPE_MAGNETIC_FIELD	29.53949	-6.0668945	-25.29602
1561450241662	TYPE_GYROSCOPE	-0.030792236	0.040771484	0.038757324
1561450241662	TYPE_ROTATION_VECTOR	0.0077827633	0.06945069	0.7246112
1561450241662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-82.80945	-395.38116
1561450241662	TYPE_GYROSCOPE_UNCALIBRATED	-0.02998352	0.04222107	0.03970337
