#	startTime:1560754803873
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560754803873	TYPE_WAYPOINT	209.36655	112.6674
1560754803997	TYPE_ACCELEROMETER	-1.4164581	2.0579834	9.100021
1560754803997	TYPE_MAGNETIC_FIELD	26.145935	5.6365967	-28.276062
1560754803997	TYPE_GYROSCOPE	-0.101745605	-0.15383911	0.1815033
1560754803997	TYPE_ROTATION_VECTOR	0.0491853	0.09945142	0.52184683
1560754803997	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.85974	-65.69977	-365.42816
1560754803997	TYPE_GYROSCOPE_UNCALIBRATED	-0.101364136	-0.1516571	0.1829834
1560754803997	TYPE_ACCELEROMETER_UNCALIBRATED	-1.123169	2.0136871	9.186813
1560754804017	TYPE_ACCELEROMETER	-1.9976501	2.08313	8.931839
1560754804017	TYPE_MAGNETIC_FIELD	26.831055	6.3201904	-29.606628
1560754804017	TYPE_GYROSCOPE	-0.022918701	0.07147217	0.15859985
1560754804017	TYPE_ROTATION_VECTOR	0.050548926	0.104837425	0.5179538
1560754804017	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-65.016174	-366.75873
1560754804017	TYPE_GYROSCOPE_UNCALIBRATED	-0.022537231	0.073654175	0.16007996
1560754804017	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7432709	2.0807343	9.011444
1560754804037	TYPE_ACCELEROMETER	-2.3304443	1.9981232	8.933624
1560754804037	TYPE_MAGNETIC_FIELD	26.831055	6.3201904	-29.606628
1560754804037	TYPE_GYROSCOPE	0.01171875	0.262146	0.17404175
1560754804037	TYPE_ROTATION_VECTOR	0.048503064	0.11490114	0.51243156
1560754804037	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-65.016174	-366.75873
1560754804037	TYPE_GYROSCOPE_UNCALIBRATED	0.01210022	0.264328	0.17552185
1560754804037	TYPE_ACCELEROMETER_UNCALIBRATED	-2.1772156	2.068756	8.900116
1560754804057	TYPE_ACCELEROMETER	-2.491455	1.8383179	9.224518
1560754804057	TYPE_MAGNETIC_FIELD	28.883362	5.6365967	-28.276062
1560754804057	TYPE_GYROSCOPE	-0.052734375	0.31062317	0.19322205
