#	startTime:1560754656229
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560754656230	TYPE_WAYPOINT	184.27959	102.138245
1560754656343	TYPE_ACCELEROMETER	-0.8400574	0.19949341	9.7482605
1560754656343	TYPE_MAGNETIC_FIELD	-19.023132	-23.10791	-26.945496
1560754656343	TYPE_GYROSCOPE	-0.13476562	-0.01802063	0.24328613
1560754656343	TYPE_ROTATION_VECTOR	0.05490008	-0.007088168	-0.9227809
1560754656343	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-94.444275	-364.0976
1560754656343	TYPE_GYROSCOPE_UNCALIBRATED	-0.13438416	-0.015838623	0.24476624
1560754656343	TYPE_ACCELEROMETER_UNCALIBRATED	-0.684433	0.25216675	9.62854
1560754656363	TYPE_ACCELEROMETER	-1.0962219	0.10910034	9.623154
1560754656363	TYPE_MAGNETIC_FIELD	-19.706726	-23.791504	-26.945496
1560754656363	TYPE_GYROSCOPE	-0.06338501	-0.052108765	0.18682861
1560754656363	TYPE_ROTATION_VECTOR	0.05424184	-0.0022941087	-0.9227728
1560754656363	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-95.12787	-364.0976
1560754656363	TYPE_GYROSCOPE_UNCALIBRATED	-0.06300354	-0.049926758	0.18830872
1560754656363	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9950714	0.15280151	9.782379
1560754656383	TYPE_ACCELEROMETER	-1.1255493	0.14082336	8.943802
1560754656383	TYPE_MAGNETIC_FIELD	-19.023132	-26.52893	-28.276062
1560754656383	TYPE_GYROSCOPE	-0.024505615	-0.040924072	0.13516235
1560754656383	TYPE_ROTATION_VECTOR	0.05424184	-0.0022941087	-0.9227728
1560754656383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-97.865295	-365.42816
1560754656383	TYPE_GYROSCOPE_UNCALIBRATED	-0.06300354	-0.049926758	0.18830872
1560754656383	TYPE_ACCELEROMETER_UNCALIBRATED	-1.120163	0.10910034	9.286774
1560754656403	TYPE_ACCELEROMETER	-1.3649902	0.2802887	8.797165
1560754656403	TYPE_MAGNETIC_FIELD	-19.023132	-23.791504	-26.945496
1560754656403	TYPE_GYROSCOPE	-0.06285095	0.081588745	0.12451172
1560754656403	TYPE_ROTATION_VECTOR	0.058250144	0.0032913168	-0.92139876
1560754656403	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-95.12787	-364.0976
1560754656403	TYPE_GYROSCOPE_UNCALIBRATED	-0.062469482	0.08377075	0.12599182
1560754656403	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2201233	0.20248413	8.783386
1560754656422	TYPE_ACCELEROMETER	-1.502655	0.28268433	8.788773
1560754656422	TYPE_MAGNETIC_FIELD	-19.706726	-23.10791	-26.278687
1560754656422	TYPE_GYROSCOPE	-0.10067749	0.1955719	0.16072083
1560754656422	TYPE_ROTATION_VECTOR	0.058250144	0.0032913168	-0.92139876
1560754656422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-94.444275	-363.4308
1560754656422	TYPE_GYROSCOPE_UNCALIBRATED	-0.10029602	0.1977539	0.16220093
1560754656422	TYPE_ACCELEROMETER_UNCALIBRATED	-1.46315	0.31201172	8.81572
1560754656442	TYPE_ACCELEROMETER	-1.533783	0.12886047	8.793564
1560754656442	TYPE_MAGNETIC_FIELD	-20.391846	-23.10791	-26.945496
1560754656442	TYPE_GYROSCOPE	-0.16992188	0.30636597	0.20066833
1560754656442	TYPE_ROTATION_VECTOR	0.06651598	0.011039392	-0.91841644
1560754656442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-94.444275	-364.0976
1560754656442	TYPE_GYROSCOPE_UNCALIBRATED	-0.1695404	0.30854797	0.20214844
1560754656442	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5122375	0.20965576	8.764236
1560754656462	TYPE_ACCELEROMETER	-1.6271515	-0.016601562	9.35141
1560754656462	TYPE_MAGNETIC_FIELD	-20.391846	-23.791504	-26.945496
1560754656462	TYPE_GYROSCOPE	-0.26844788	0.38252258	0.20759583
1560754656462	TYPE_ROTATION_VECTOR	0.06651598	0.011039392	-0.91841644
1560754656462	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-95.12787	-364.0976
1560754656462	TYPE_GYROSCOPE_UNCALIBRATED	-0.2680664	0.3847046	0.20907593
1560754656462	TYPE_ACCELEROMETER_UNCALIBRATED	-1.586441	0.06361389	9.000671
1560754656482	TYPE_ACCELEROMETER	-1.6846161	-0.1722107	9.838638
1560754656482	TYPE_MAGNETIC_FIELD	-19.706726	-23.791504	-26.278687
1560754656482	TYPE_GYROSCOPE	-0.2886963	0.3612213	0.19268799
1560754656482	TYPE_ROTATION_VECTOR	0.072395585	0.022624524	-0.91642624
1560754656482	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-95.12787	-363.4308
1560754656482	TYPE_GYROSCOPE_UNCALIBRATED	-0.28831482	0.36340332	0.19416809
1560754656482	TYPE_ACCELEROMETER_UNCALIBRATED	-1.657074	-0.109375	9.657867
1560754656502	TYPE_ACCELEROMETER	-1.7348938	-0.13809204	9.985275
1560754656502	TYPE_MAGNETIC_FIELD	-19.023132	-23.791504	-26.945496
1560754656502	TYPE_GYROSCOPE	-0.24661255	0.37454224	0.17192078
1560754656502	TYPE_ROTATION_VECTOR	0.072395585	0.022624524	-0.91642624
1560754656502	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-95.12787	-364.0976
1560754656502	TYPE_GYROSCOPE_UNCALIBRATED	-0.28831482	0.36340332	0.19416809
1560754656502	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7025757	-0.18179321	9.924225
1560754656522	TYPE_ACCELEROMETER	-1.775589	0.013336182	9.991867
1560754656522	TYPE_MAGNETIC_FIELD	-18.338013	-22.42279	-27.610779
1560754656522	TYPE_GYROSCOPE	-0.1837616	0.38838196	0.17350769
1560754656522	TYPE_ROTATION_VECTOR	0.07500894	0.027393367	-0.9156547
1560754656522	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-93.759155	-364.76288
1560754656522	TYPE_GYROSCOPE_UNCALIBRATED	-0.24623108	0.37672424	0.17340088
1560754656522	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7737885	-0.065078735	10.009827
1560754656541	TYPE_ACCELEROMETER	-1.6241608	0.14801025	9.833847
1560754656541	TYPE_MAGNETIC_FIELD	-17.654419	-23.10791	-27.610779
1560754656541	TYPE_GYROSCOPE	-0.16992188	0.3804016	0.18203735
1560754656541	TYPE_ROTATION_VECTOR	0.08073174	0.03302542	-0.9137397
1560754656541	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-94.444275	-364.76288
1560754656541	TYPE_GYROSCOPE_UNCALIBRATED	-0.1695404	0.38258362	0.18351746
1560754656541	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7133484	0.08216858	9.931412
1560754656561	TYPE_ACCELEROMETER	-1.6642609	0.26293945	10.091232
1560754656561	TYPE_MAGNETIC_FIELD	-19.023132	-21.739197	-28.941345
1560754656561	TYPE_GYROSCOPE	-0.21731567	0.3761444	0.19055176
1560754656561	TYPE_ROTATION_VECTOR	0.08309253	0.0352533	-0.91252244
1560754656561	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-93.07556	-366.09344
1560754656561	TYPE_GYROSCOPE_UNCALIBRATED	-0.2169342	0.37832642	0.19203186
1560754656561	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6235657	0.2294159	9.800934
1560754656581	TYPE_ACCELEROMETER	-1.6355286	0.20487976	10.342621
1560754656581	TYPE_MAGNETIC_FIELD	-19.706726	-21.739197	-27.610779
1560754656581	TYPE_GYROSCOPE	-0.18748474	0.26428223	0.18522644
1560754656581	TYPE_ROTATION_VECTOR	0.08309253	0.0352533	-0.91252244
1560754656581	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-93.07556	-364.76288
1560754656581	TYPE_GYROSCOPE_UNCALIBRATED	-0.18710327	0.26646423	0.18670654
1560754656581	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6427155	0.20307922	10.444366
1560754656601	TYPE_ACCELEROMETER	-1.5846558	0.3772583	10.013412
1560754656601	TYPE_MAGNETIC_FIELD	-17.654419	-22.42279	-28.276062
1560754656601	TYPE_GYROSCOPE	-0.14221191	0.17640686	0.15699768
1560754656601	TYPE_ROTATION_VECTOR	0.084899925	0.037187576	-0.91079956
1560754656601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-93.759155	-365.42816
1560754656601	TYPE_GYROSCOPE_UNCALIBRATED	-0.18710327	0.26646423	0.18670654
1560754656601	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6205597	0.31201172	10.109787
1560754656621	TYPE_ACCELEROMETER	-1.5128174	0.3820343	9.96373
1560754656621	TYPE_MAGNETIC_FIELD	-19.023132	-24.476624	-27.610779
1560754656621	TYPE_GYROSCOPE	-0.15766907	0.13485718	0.1538086
1560754656621	TYPE_ROTATION_VECTOR	0.08503725	0.0375076	-0.910213
1560754656621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-95.81299	-364.76288
1560754656621	TYPE_GYROSCOPE_UNCALIBRATED	-0.1572876	0.13703918	0.1552887
1560754656621	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5457458	0.38323975	9.939194
1560754656640	TYPE_ACCELEROMETER	-1.5565186	0.3084259	10.316879
1560754656640	TYPE_MAGNETIC_FIELD	-18.338013	-22.42279	-28.941345
1560754656640	TYPE_GYROSCOPE	-0.1363678	0.13218689	0.14901733
1560754656640	TYPE_ROTATION_VECTOR	0.08510899	0.03787336	-0.90962386
1560754656640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-93.759155	-366.09344
1560754656640	TYPE_GYROSCOPE_UNCALIBRATED	-0.13598633	0.1343689	0.15049744
1560754656640	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5176086	0.36228943	10.135513
1560754656660	TYPE_ACCELEROMETER	-1.7372894	0.2689209	10.291733
1560754656660	TYPE_MAGNETIC_FIELD	-19.023132	-20.370483	-27.610779
1560754656660	TYPE_GYROSCOPE	-0.048477173	0.11994934	0.14901733
1560754656660	TYPE_ROTATION_VECTOR	0.08510899	0.03787336	-0.90962386
1560754656660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-91.70685	-364.76288
1560754656660	TYPE_GYROSCOPE_UNCALIBRATED	-0.13598633	0.1343689	0.15049744
1560754656660	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6247559	0.26593018	10.368942
1560754656680	TYPE_ACCELEROMETER	-1.9276276	0.3078308	10.327652
1560754656680	TYPE_MAGNETIC_FIELD	-17.654419	-21.054077	-26.945496
1560754656680	TYPE_GYROSCOPE	0.0015869141	0.15988159	0.18469238
1560754656680	TYPE_ROTATION_VECTOR	0.0874426	0.037607998	-0.90784675
1560754656680	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-92.39044	-364.0976
1560754656680	TYPE_GYROSCOPE_UNCALIBRATED	0.0019683838	0.1620636	0.18617249
1560754656680	TYPE_ACCELEROMETER_UNCALIBRATED	-1.870163	0.30543518	10.233673
1560754656700	TYPE_ACCELEROMETER	-1.8450165	0.05343628	10.670029
1560754656700	TYPE_MAGNETIC_FIELD	-20.391846	-21.739197	-29.606628
1560754656700	TYPE_GYROSCOPE	0.04901123	0.1289978	0.2283783
1560754656700	TYPE_ROTATION_VECTOR	0.088394344	0.037257057	-0.90692186
1560754656700	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-93.07556	-366.75873
1560754656700	TYPE_GYROSCOPE_UNCALIBRATED	0.0019683838	0.1620636	0.18617249
1560754656700	TYPE_ACCELEROMETER_UNCALIBRATED	-1.894104	0.20727539	10.521576
1560754656720	TYPE_ACCELEROMETER	-1.8791351	-0.06567383	10.565872
1560754656720	TYPE_MAGNETIC_FIELD	-17.654419	-21.054077	-26.945496
1560754656720	TYPE_GYROSCOPE	0.13795471	0.03152466	0.1937561
1560754656720	TYPE_ROTATION_VECTOR	0.088836305	0.036069807	-0.9064535
1560754656720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-92.39044	-364.0976
1560754656720	TYPE_GYROSCOPE_UNCALIBRATED	0.13833618	0.033706665	0.1952362
1560754656720	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8450165	-0.05670166	10.690979
1560754656739	TYPE_ACCELEROMETER	-2.025177	0.18331909	10.036758
1560754656739	TYPE_MAGNETIC_FIELD	-20.391846	-20.370483	-27.610779
1560754656739	TYPE_GYROSCOPE	0.19761658	-0.040390015	0.14741516
1560754656739	TYPE_ROTATION_VECTOR	0.088836305	0.036069807	-0.9064535
1560754656739	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-91.70685	-364.76288
1560754656739	TYPE_GYROSCOPE_UNCALIBRATED	0.19799805	-0.038208008	0.14889526
1560754656739	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9312134	0.02230835	10.322861
1560754656759	TYPE_ACCELEROMETER	-2.1179657	0.39042664	9.612976
1560754656759	TYPE_MAGNETIC_FIELD	-19.706726	-21.054077	-28.941345
1560754656759	TYPE_GYROSCOPE	0.16830444	-0.0861969	0.17884827
1560754656759	TYPE_ROTATION_VECTOR	0.09015354	0.031848338	-0.9047739
1560754656759	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-92.39044	-366.09344
1560754656759	TYPE_GYROSCOPE_UNCALIBRATED	0.16868591	-0.08401489	0.18032837
1560754656759	TYPE_ACCELEROMETER_UNCALIBRATED	-2.100006	0.33296204	9.803314
1560754656779	TYPE_ACCELEROMETER	-2.1059875	0.45567322	9.245483
