#	startTime:1560753368641
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560753368642	TYPE_WAYPOINT	323.98935	151.25945
1560753368768	TYPE_ACCELEROMETER	-1.6277466	0.3413391	9.897293
1560753368768	TYPE_MAGNETIC_FIELD	-35.543823	13.095093	-30.726624
1560753368768	TYPE_GYROSCOPE	-0.20773315	-0.033462524	-0.028900146
1560753368768	TYPE_ROTATION_VECTOR	0.06809502	0.06321449	-0.5768766
1560753368768	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-52.696228	-372.08405
1560753368768	TYPE_GYROSCOPE_UNCALIBRATED	-0.20735168	-0.031280518	-0.027420044
1560753368768	TYPE_ACCELEROMETER_UNCALIBRATED	-1.644516	0.3598938	9.670441
1560753368788	TYPE_ACCELEROMETER	-1.6774292	0.35211182	10.184601
1560753368788	TYPE_MAGNETIC_FIELD	-35.543823	13.095093	-28.730774
1560753368788	TYPE_GYROSCOPE	-0.33769226	-0.16130066	-0.058181763
1560753368788	TYPE_ROTATION_VECTOR	0.063626036	0.0623959	-0.5769326
1560753368788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-52.696228	-370.0882
1560753368788	TYPE_GYROSCOPE_UNCALIBRATED	-0.3373108	-0.15911865	-0.05670166
1560753368788	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6576843	0.34074402	10.101395
1560753368808	TYPE_ACCELEROMETER	-1.6235657	0.49336243	10.081055
1560753368808	TYPE_MAGNETIC_FIELD	-35.543823	15.1474	-30.06134
1560753368808	TYPE_GYROSCOPE	-0.26579285	-0.17514038	-0.073638916
1560753368808	TYPE_ROTATION_VECTOR	0.060761973	0.061212156	-0.57683754
1560753368808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-50.64392	-371.41876
1560753368808	TYPE_GYROSCOPE_UNCALIBRATED	-0.26541138	-0.17295837	-0.07215881
1560753368808	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6564789	0.3993988	10.1636505
1560753368828	TYPE_ACCELEROMETER	-1.5038452	0.6424103	9.757233
1560753368828	TYPE_MAGNETIC_FIELD	-35.543823	13.778687	-28.730774
1560753368828	TYPE_GYROSCOPE	-0.10333252	-0.1096344	-0.0725708
1560753368828	TYPE_ROTATION_VECTOR	0.06053737	0.059073005	-0.5759041
1560753368828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-50.64392	-371.41876
1560753368828	TYPE_GYROSCOPE_UNCALIBRATED	-0.10295105	-0.10745239	-0.0710907
1560753368828	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5690918	0.5807648	9.926025
1560753368848	TYPE_ACCELEROMETER	-1.454773	0.6992798	9.592026
1560753368848	TYPE_MAGNETIC_FIELD	-34.858704	13.095093	-28.730774
1560753368848	TYPE_GYROSCOPE	0.012252808	-0.013763428	-0.06617737
1560753368848	TYPE_ROTATION_VECTOR	0.06187889	0.05685308	-0.57506067
1560753368848	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.293396	-52.696228	-370.0882
1560753368848	TYPE_GYROSCOPE_UNCALIBRATED	0.012634277	-0.011581421	-0.064697266
1560753368848	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4661407	0.6878967	9.62854
1560753368867	TYPE_ACCELEROMETER	-1.541565	0.6465912	9.772797
1560753368867	TYPE_MAGNETIC_FIELD	-36.227417	12.409973	-28.730774
1560753368867	TYPE_GYROSCOPE	0.026641846	0.062423706	-0.0683136
1560753368867	TYPE_ROTATION_VECTOR	0.06340521	0.055616047	-0.57456374
1560753368867	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-128.66211	-53.381348	-370.0882
1560753368867	TYPE_GYROSCOPE_UNCALIBRATED	0.027023315	0.06460571	-0.066833496
1560753368867	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4769135	0.6813202	9.666855
1560753368887	TYPE_ACCELEROMETER	-1.5978241	0.64360046	9.938583
1560753368887	TYPE_MAGNETIC_FIELD	-35.543823	13.095093	-30.06134
1560753368887	TYPE_GYROSCOPE	0.005859375	0.052825928	-0.088012695
1560753368887	TYPE_ROTATION_VECTOR	0.06451126	0.055217285	-0.57477885
1560753368887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-52.696228	-371.41876
1560753368887	TYPE_GYROSCOPE_UNCALIBRATED	0.0062408447	0.055007935	-0.08653259
1560753368887	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5996246	0.62924194	9.864365
1560753368907	TYPE_ACCELEROMETER	-1.5589142	0.6124878	10.094818
1560753368907	TYPE_MAGNETIC_FIELD	-34.858704	12.409973	-28.730774
1560753368907	TYPE_GYROSCOPE	0.007461548	0.018203735	-0.108795166
1560753368907	TYPE_ROTATION_VECTOR	0.06512603	0.054481816	-0.5751004
1560753368907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.293396	-53.381348	-370.0882
1560753368907	TYPE_GYROSCOPE_UNCALIBRATED	0.007843018	0.020385742	-0.10731506
1560753368907	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5690918	0.6382141	10.012817
1560753368927	TYPE_ACCELEROMETER	-1.522995	0.6118927	10.158859
1560753368927	TYPE_MAGNETIC_FIELD	-34.17511	12.409973	-29.396057
1560753368927	TYPE_GYROSCOPE	0.10067749	0.036849976	-0.14128113
1560753368927	TYPE_ROTATION_VECTOR	0.06621382	0.05349586	-0.5759454
1560753368927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-126.6098	-53.381348	-370.75348
1560753368927	TYPE_GYROSCOPE_UNCALIBRATED	0.10105896	0.039031982	-0.13980103
1560753368927	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5529327	0.6082916	10.151688
1560753368947	TYPE_ACCELEROMETER	-1.4445953	0.63282776	9.873947
1560753368947	TYPE_MAGNETIC_FIELD	-35.543823	13.778687	-28.063965
1560753368947	TYPE_GYROSCOPE	0.27430725	0.072006226	-0.17643738
1560753368947	TYPE_ROTATION_VECTOR	0.06854217	0.05183991	-0.5771975
1560753368947	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-127.978516	-52.012634	-369.4214
1560753368947	TYPE_GYROSCOPE_UNCALIBRATED	0.27468872	0.07418823	-0.17495728
1560753368947	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4828949	0.6029053	10.069077
1560753368966	TYPE_ACCELEROMETER	-1.3440399	0.80581665	9.401688
1560753368966	TYPE_MAGNETIC_FIELD	-35.543823	13.095093	-29.396057
