#	startTime:1560755215258
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755215259	TYPE_WAYPOINT	208.67606	108.36706
1560755215376	TYPE_ACCELEROMETER	-1.5846558	2.2321625	10.042145
1560755215376	TYPE_MAGNETIC_FIELD	-36.131287	2.89917	-29.606628
1560755215376	TYPE_GYROSCOPE	-0.27963257	-0.08459473	0.26939392
1560755215376	TYPE_ROTATION_VECTOR	0.12202223	0.01489248	-0.61469847
1560755215376	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.13696	-68.437195	-366.75873
1560755215376	TYPE_GYROSCOPE_UNCALIBRATED	-0.3453064	-0.025421143	0.3214569
1560755215376	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0311737	2.0777283	10.404861
1560755215396	TYPE_ACCELEROMETER	-1.4936676	2.3147583	9.803314
1560755215396	TYPE_MAGNETIC_FIELD	-36.816406	6.3201904	-29.606628
1560755215396	TYPE_GYROSCOPE	-0.13102722	0.016601562	0.18043518
1560755215396	TYPE_ROTATION_VECTOR	0.12202223	0.01489248	-0.61469847
1560755215396	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-65.016174	-366.75873
1560755215396	TYPE_GYROSCOPE_UNCALIBRATED	-0.2792511	-0.08241272	0.27087402
1560755215396	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5846558	2.2321625	10.042145
1560755215416	TYPE_ACCELEROMETER	-1.7474518	2.2034302	9.518417
1560755215416	TYPE_MAGNETIC_FIELD	-36.816406	3.5827637	-27.610779
1560755215416	TYPE_GYROSCOPE	-0.031967163	0.16627502	0.1303711
1560755215416	TYPE_ROTATION_VECTOR	0.12760551	0.010532223	-0.60750604
1560755215416	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-67.7536	-364.76288
1560755215416	TYPE_GYROSCOPE_UNCALIBRATED	-0.13064575	0.01878357	0.18191528
1560755215416	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4936676	2.3147583	9.803314
1560755215436	TYPE_ACCELEROMETER	-2.150879	2.0579834	9.572281
1560755215436	TYPE_MAGNETIC_FIELD	-36.816406	4.2678833	-28.941345
1560755215436	TYPE_GYROSCOPE	-0.08203125	0.2147522	0.14474487
1560755215436	TYPE_ROTATION_VECTOR	0.13105026	0.013845772	-0.6059836
1560755215436	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-67.06848	-366.09344
1560755215436	TYPE_GYROSCOPE_UNCALIBRATED	-0.031585693	0.16845703	0.1318512
1560755215436	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7474518	2.2034302	9.518417
1560755215456	TYPE_ACCELEROMETER	-2.4651184	1.9281006	9.752441
1560755215456	TYPE_MAGNETIC_FIELD	-34.07898	5.6365967	-30.273438
1560755215456	TYPE_GYROSCOPE	-0.1683197	0.17906189	0.22091675
1560755215456	TYPE_ROTATION_VECTOR	0.13319103	0.018645693	-0.60425276
1560755215456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.08466	-65.69977	-367.42554
1560755215456	TYPE_GYROSCOPE_UNCALIBRATED	-0.08164978	0.2169342	0.14622498
1560755215456	TYPE_ACCELEROMETER_UNCALIBRATED	-2.150879	2.0579834	9.572281
1560755215475	TYPE_ACCELEROMETER	-2.4106445	1.6779022	9.892502
1560755215475	TYPE_MAGNETIC_FIELD	-35.447693	2.2140503	-30.273438
1560755215475	TYPE_GYROSCOPE	-0.18162537	0.13539124	0.31199646
1560755215475	TYPE_ROTATION_VECTOR	0.13317296	0.022705875	-0.6030457
1560755215475	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-69.122314	-367.42554
1560755215475	TYPE_GYROSCOPE_UNCALIBRATED	-0.16793823	0.1812439	0.22239685
1560755215475	TYPE_ACCELEROMETER_UNCALIBRATED	-2.4651184	1.9281006	9.752441
1560755215495	TYPE_ACCELEROMETER	-2.289154	1.4875641	9.854797
1560755215495	TYPE_MAGNETIC_FIELD	-36.816406	6.3201904	-28.941345
1560755215495	TYPE_GYROSCOPE	-0.09907532	0.15136719	0.3540802
1560755215495	TYPE_ROTATION_VECTOR	0.13278368	0.025935028	-0.6011654
1560755215495	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-65.016174	-366.09344
1560755215495	TYPE_GYROSCOPE_UNCALIBRATED	-0.1812439	0.13757324	0.31347656
1560755215495	TYPE_ACCELEROMETER_UNCALIBRATED	-2.4106445	1.6779022	9.892502
1560755215515	TYPE_ACCELEROMETER	-2.143097	1.4642181	9.792557
1560755215515	TYPE_MAGNETIC_FIELD	-35.447693	4.2678833	-30.273438
1560755215515	TYPE_GYROSCOPE	0.005859375	0.17320251	0.34394836
1560755215515	TYPE_ROTATION_VECTOR	0.13278368	0.025935028	-0.6011654
1560755215515	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-67.06848	-367.42554
1560755215515	TYPE_GYROSCOPE_UNCALIBRATED	-0.09869385	0.1535492	0.3555603
1560755215515	TYPE_ACCELEROMETER_UNCALIBRATED	-2.289154	1.4875641	9.854797
1560755215535	TYPE_ACCELEROMETER	-2.0634918	1.4588318	9.62854
1560755215535	TYPE_MAGNETIC_FIELD	-36.816406	4.2678833	-28.276062
1560755215535	TYPE_GYROSCOPE	0.04208374	0.13272095	0.31892395
1560755215535	TYPE_ROTATION_VECTOR	0.1332389	0.02891856	-0.59790516
1560755215535	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-67.06848	-365.42816
1560755215535	TYPE_GYROSCOPE_UNCALIBRATED	0.0062408447	0.17538452	0.34542847
1560755215535	TYPE_ACCELEROMETER_UNCALIBRATED	-2.143097	1.4642181	9.792557
1560755215555	TYPE_ACCELEROMETER	-1.9431915	1.4067535	9.600418
1560755215555	TYPE_MAGNETIC_FIELD	-36.131287	6.3201904	-30.273438
1560755215555	TYPE_GYROSCOPE	0.022369385	0.09010315	0.3114624
1560755215555	TYPE_ROTATION_VECTOR	0.1332389	0.02891856	-0.59790516
1560755215555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.13696	-65.016174	-367.42554
1560755215555	TYPE_GYROSCOPE_UNCALIBRATED	0.04246521	0.13490295	0.32040405
1560755215555	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0634918	1.4588318	9.62854
1560755215574	TYPE_ACCELEROMETER	-1.7229156	1.3852081	9.623749
1560755215574	TYPE_MAGNETIC_FIELD	-36.131287	5.6365967	-29.606628
1560755215574	TYPE_GYROSCOPE	0.013320923	0.049102783	0.29441833
1560755215574	TYPE_ROTATION_VECTOR	0.13163164	0.029197212	-0.5945255
1560755215574	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.13696	-65.69977	-366.75873
1560755215574	TYPE_GYROSCOPE_UNCALIBRATED	0.022750854	0.092285156	0.3129425
1560755215574	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9431915	1.4067535	9.600418
1560755215594	TYPE_ACCELEROMETER	-1.617569	1.4420776	9.557907
1560755215594	TYPE_MAGNETIC_FIELD	-36.816406	7.688904	-30.273438
1560755215594	TYPE_GYROSCOPE	0.031417847	0.011291504	0.26565552
1560755215594	TYPE_ROTATION_VECTOR	0.13056247	0.028306346	-0.59277743
1560755215594	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-63.64746	-367.42554
1560755215594	TYPE_GYROSCOPE_UNCALIBRATED	0.013702393	0.05128479	0.29589844
1560755215594	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7229156	1.3852081	9.623749
1560755215614	TYPE_ACCELEROMETER	-1.5050507	1.4749908	9.2933655
1560755215614	TYPE_MAGNETIC_FIELD	-34.762573	6.3201904	-30.93872
1560755215614	TYPE_GYROSCOPE	0.051132202	-0.052642822	0.23210144
1560755215614	TYPE_ROTATION_VECTOR	0.12951368	0.026677411	-0.59133923
1560755215614	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.76825	-65.016174	-368.09082
1560755215614	TYPE_GYROSCOPE_UNCALIBRATED	0.031799316	0.013473511	0.26713562
1560755215614	TYPE_ACCELEROMETER_UNCALIBRATED	-1.617569	1.4420776	9.557907
1560755215634	TYPE_ACCELEROMETER	-1.3925171	1.503128	8.934219
1560755215634	TYPE_MAGNETIC_FIELD	-35.447693	5.6365967	-28.941345
1560755215634	TYPE_GYROSCOPE	0.07191467	-0.096847534	0.19215393
1560755215634	TYPE_ROTATION_VECTOR	0.12951368	0.026677411	-0.59133923
1560755215634	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-65.69977	-366.09344
1560755215634	TYPE_GYROSCOPE_UNCALIBRATED	0.051513672	-0.050460815	0.23358154
1560755215634	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5050507	1.4749908	9.2933655
1560755215654	TYPE_ACCELEROMETER	-1.2171326	1.4181366	8.651108
1560755215654	TYPE_MAGNETIC_FIELD	-35.447693	6.3201904	-29.606628
1560755215654	TYPE_GYROSCOPE	0.06977844	-0.12295532	0.13835144
1560755215654	TYPE_ROTATION_VECTOR	0.12739857	0.02218964	-0.58965033
1560755215654	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-65.016174	-366.75873
1560755215654	TYPE_GYROSCOPE_UNCALIBRATED	0.07229614	-0.09466553	0.19363403
1560755215654	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3925171	1.503128	8.934219
1560755215673	TYPE_ACCELEROMETER	-1.6822205	1.878418	8.693619
1560755215673	TYPE_MAGNETIC_FIELD	-36.131287	6.3201904	-30.93872
1560755215673	TYPE_GYROSCOPE	0.02822876	-0.17460632	0.08242798
1560755215673	TYPE_ROTATION_VECTOR	0.12725793	0.020212008	-0.58907276
1560755215673	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.13696	-65.016174	-368.09082
1560755215673	TYPE_GYROSCOPE_UNCALIBRATED	0.07015991	-0.120773315	0.13983154
1560755215673	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2171326	1.4181366	8.651108
1560755215693	TYPE_ACCELEROMETER	-2.2502441	1.8664551	8.296173
1560755215693	TYPE_MAGNETIC_FIELD	-36.131287	5.6365967	-29.606628
1560755215693	TYPE_GYROSCOPE	-0.052200317	-0.19699097	0.20652771
1560755215693	TYPE_ROTATION_VECTOR	0.12725793	0.020212008	-0.58907276
1560755215693	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.13696	-65.69977	-366.75873
1560755215693	TYPE_GYROSCOPE_UNCALIBRATED	0.02861023	-0.17242432	0.08390808
1560755215693	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6822205	1.878418	8.693619
1560755215713	TYPE_ACCELEROMETER	-1.9312134	1.6904755	8.286591
1560755215713	TYPE_MAGNETIC_FIELD	-36.816406	7.00531	-30.273438
1560755215713	TYPE_GYROSCOPE	-0.1875	-0.21296692	0.2640686
1560755215713	TYPE_ROTATION_VECTOR	0.12564585	0.019252334	-0.58607566
1560755215713	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.82208	-64.331055	-367.42554
1560755215713	TYPE_GYROSCOPE_UNCALIBRATED	-0.051818848	-0.19480896	0.20800781
1560755215713	TYPE_ACCELEROMETER_UNCALIBRATED	-2.2502441	1.8664551	8.296173
1560755215733	TYPE_ACCELEROMETER	-1.6774292	1.7024384	8.676849
1560755215733	TYPE_MAGNETIC_FIELD	-34.762573	6.3201904	-29.606628
1560755215733	TYPE_GYROSCOPE	-0.29135132	-0.21243286	0.24754333
1560755215733	TYPE_ROTATION_VECTOR	0.12258322	0.018971076	-0.5843901
1560755215733	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.76825	-65.016174	-366.75873
1560755215733	TYPE_GYROSCOPE_UNCALIBRATED	-0.18711853	-0.21078491	0.2655487
1560755215733	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9312134	1.6904755	8.286591
1560755215753	TYPE_ACCELEROMETER	-1.5511322	1.5360413	8.913284
1560755215753	TYPE_MAGNETIC_FIELD	-35.447693	7.688904	-30.273438
1560755215753	TYPE_GYROSCOPE	-0.31532288	-0.21669006	0.18736267
1560755215753	TYPE_ROTATION_VECTOR	0.12258322	0.018971076	-0.5843901
1560755215753	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-63.64746	-367.42554
1560755215753	TYPE_GYROSCOPE_UNCALIBRATED	-0.29096985	-0.21025085	0.24902344
1560755215753	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6774292	1.7024384	8.676849
1560755215772	TYPE_ACCELEROMETER	-1.4481812	1.5641785	8.952789
1560755215772	TYPE_MAGNETIC_FIELD	-37.5	7.688904	-28.941345
1560755215772	TYPE_GYROSCOPE	-0.27644348	-0.169281	0.11332703
1560755215772	TYPE_ROTATION_VECTOR	0.11883552	0.018855402	-0.58319235
1560755215772	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-135.50568	-63.64746	-366.09344
1560755215772	TYPE_GYROSCOPE_UNCALIBRATED	-0.3149414	-0.21450806	0.18884277
1560755215772	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5511322	1.5360413	8.913284
1560755215792	TYPE_ACCELEROMETER	-1.3572083	1.6006927	8.863007
1560755215792	TYPE_MAGNETIC_FIELD	-36.131287	7.00531	-30.93872
1560755215792	TYPE_GYROSCOPE	-0.26686096	-0.1053772	0.07817078
1560755215792	TYPE_ROTATION_VECTOR	0.115685545	0.018757435	-0.5825666
1560755215792	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-134.13696	-64.331055	-368.09082
1560755215792	TYPE_GYROSCOPE_UNCALIBRATED	-0.276062	-0.167099	0.11480713
1560755215792	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4481812	1.5641785	8.952789
1560755215812	TYPE_ACCELEROMETER	-1.0896454	1.5719604	8.863586
1560755215812	TYPE_MAGNETIC_FIELD	-35.447693	9.057617	-28.941345
1560755215812	TYPE_GYROSCOPE	-0.32810974	-0.08673096	0.06591797
1560755215812	TYPE_ROTATION_VECTOR	0.11306763	0.01897359	-0.58205384
1560755215812	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-133.45337	-62.278748	-366.09344
1560755215812	TYPE_GYROSCOPE_UNCALIBRATED	-0.2664795	-0.10319519	0.07965088
1560755215812	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3572083	1.6006927	8.863007
1560755215832	TYPE_ACCELEROMETER	-0.77001953	1.5522156	9.120377
