#	startTime:1560755330090
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755330091	TYPE_WAYPOINT	238.60808	130.53911
1560755330207	TYPE_ACCELEROMETER	-0.71554565	1.1715393	9.780579
1560755330207	TYPE_MAGNETIC_FIELD	-1.2283325	24.11499	-20.954895
1560755330207	TYPE_GYROSCOPE	-0.23275757	0.118881226	0.5474243
1560755330207	TYPE_ROTATION_VECTOR	0.057848122	0.042251732	-0.050281238
1560755330207	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-99.23401	-47.221375	-358.107
1560755330207	TYPE_GYROSCOPE_UNCALIBRATED	-0.2323761	0.12106323	0.5489044
1560755330207	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8047333	1.1230469	9.823669
1560755330227	TYPE_ACCELEROMETER	-0.59643555	1.3229675	9.497467
1560755330227	TYPE_MAGNETIC_FIELD	-1.2283325	25.483704	-19.622803
1560755330227	TYPE_GYROSCOPE	-0.29614258	-0.04145813	0.4174652
1560755330227	TYPE_ROTATION_VECTOR	0.056839854	0.040313844	-0.04368404
1560755330227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-99.23401	-45.85266	-356.7749
1560755330227	TYPE_GYROSCOPE_UNCALIBRATED	-0.2957611	-0.039276123	0.4189453
1560755330227	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6383362	1.2511444	9.6219635
1560755330247	TYPE_ACCELEROMETER	-0.53837585	1.5354462	9.397507
1560755330247	TYPE_MAGNETIC_FIELD	0.8239746	24.11499	-21.620178
1560755330247	TYPE_GYROSCOPE	-0.332901	-0.1096344	0.3034668
1560755330247	TYPE_ROTATION_VECTOR	0.05694162	0.0372703	-0.037852157
1560755330247	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-97.1817	-47.221375	-358.77228
1560755330247	TYPE_GYROSCOPE_UNCALIBRATED	-0.33251953	-0.10745239	0.3049469
1560755330247	TYPE_ACCELEROMETER_UNCALIBRATED	-0.562912	1.4265137	9.438202
