#	startTime:1560755428201
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755428201	TYPE_WAYPOINT	246.91304	118.54489
1560755428326	TYPE_ACCELEROMETER	-1.0423584	0.7010803	8.8181
1560755428326	TYPE_MAGNETIC_FIELD	-23.129272	-23.791504	-20.288086
1560755428326	TYPE_GYROSCOPE	0.047943115	-0.0126953125	-0.026229858
1560755428326	TYPE_ROTATION_VECTOR	0.09525186	-0.006976117	-0.9066846
1560755428326	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-95.12787	-357.4402
1560755428326	TYPE_GYROSCOPE_UNCALIBRATED	0.048324585	-0.010513306	-0.024749756
1560755428326	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0692902	0.76272583	8.778595
1560755428346	TYPE_ACCELEROMETER	-1.1321411	0.6442108	9.020416
1560755428346	TYPE_MAGNETIC_FIELD	-23.812866	-24.476624	-18.95752
1560755428346	TYPE_GYROSCOPE	-0.010131836	0.028320312	-0.10559082
1560755428346	TYPE_ROTATION_VECTOR	0.09076171	-0.0072654844	-0.90834105
1560755428346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-95.81299	-356.10962
1560755428346	TYPE_GYROSCOPE_UNCALIBRATED	-0.009750366	0.03050232	-0.10411072
1560755428346	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0980225	0.66874695	8.901306
1560755428366	TYPE_ACCELEROMETER	-1.247055	0.6232605	9.356812
1560755428366	TYPE_MAGNETIC_FIELD	-23.812866	-23.791504	-19.622803
1560755428366	TYPE_GYROSCOPE	-0.056991577	0.09011841	-0.13595581
1560755428366	TYPE_ROTATION_VECTOR	0.088193454	-0.0061007976	-0.9096261
1560755428366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-95.12787	-356.7749
1560755428366	TYPE_GYROSCOPE_UNCALIBRATED	-0.056610107	0.092300415	-0.13447571
1560755428366	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1872101	0.6238556	9.175446
1560755428386	TYPE_ACCELEROMETER	-1.2584381	0.70047	9.603409
1560755428386	TYPE_MAGNETIC_FIELD	-23.129272	-24.476624	-18.95752
1560755428386	TYPE_GYROSCOPE	-0.07298279	0.11088562	-0.13807678
1560755428386	TYPE_ROTATION_VECTOR	0.08679217	-0.0049020615	-0.91067576
1560755428386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-95.81299	-356.10962
1560755428386	TYPE_GYROSCOPE_UNCALIBRATED	-0.07260132	0.11306763	-0.13659668
1560755428386	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2692108	0.65737915	9.493866
1560755428406	TYPE_ACCELEROMETER	-1.2315063	0.7782898	9.790756
1560755428406	TYPE_MAGNETIC_FIELD	-23.129272	-25.160217	-19.622803
1560755428406	TYPE_GYROSCOPE	-0.076171875	0.13432312	-0.15299988
1560755428406	TYPE_ROTATION_VECTOR	0.085727096	-0.004338741	-0.91165274
1560755428406	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.13495	-96.49658	-356.7749
1560755428406	TYPE_GYROSCOPE_UNCALIBRATED	-0.075790405	0.13650513	-0.15151978
1560755428406	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2243195	0.7351837	9.691391
1560755428425	TYPE_ACCELEROMETER	-1.3847351	0.871048	10.0625
1560755428425	TYPE_MAGNETIC_FIELD	-23.812866	-23.791504	-20.288086
1560755428425	TYPE_GYROSCOPE	-0.09588623	0.14071655	-0.18655396
1560755428425	TYPE_ROTATION_VECTOR	0.08536945	-0.0037733614	-0.9123414
1560755428425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-95.12787	-357.4402
1560755428425	TYPE_GYROSCOPE_UNCALIBRATED	-0.09550476	0.14289856	-0.18507385
1560755428425	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3009491	0.8213806	9.92543
1560755428445	TYPE_ACCELEROMETER	-1.4206543	1.040451	10.268402
1560755428445	TYPE_MAGNETIC_FIELD	-24.497986	-23.10791	-20.288086
1560755428445	TYPE_GYROSCOPE	-0.11932373	0.083724976	-0.19880676
1560755428445	TYPE_ROTATION_VECTOR	0.08521224	-0.003430531	-0.9127589
1560755428445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-122.50366	-94.444275	-357.4402
1560755428445	TYPE_GYROSCOPE_UNCALIBRATED	-0.11894226	0.08590698	-0.19732666
1560755428445	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4212494	0.9416809	10.19957
1560755428465	TYPE_ACCELEROMETER	-1.4499817	1.1649475	10.213333
1560755428465	TYPE_MAGNETIC_FIELD	-23.812866	-23.10791	-19.622803
1560755428465	TYPE_GYROSCOPE	-0.10386658	-0.035064697	-0.1790924
1560755428465	TYPE_ROTATION_VECTOR	0.08457519	-0.004328067	-0.91301644
1560755428465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-94.444275	-356.7749
1560755428465	TYPE_GYROSCOPE_UNCALIBRATED	-0.10348511	-0.03288269	-0.1776123
1560755428465	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4398041	1.1326294	10.272583
1560755428485	TYPE_ACCELEROMETER	-1.4876862	1.1888885	9.978104
1560755428485	TYPE_MAGNETIC_FIELD	-22.444153	-23.791504	-18.95752
1560755428485	TYPE_GYROSCOPE	-0.054336548	-0.0904541	-0.123703
1560755428485	TYPE_ROTATION_VECTOR	0.08393078	-0.0057793665	-0.91318274
1560755428485	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-95.12787	-356.10962
1560755428485	TYPE_GYROSCOPE_UNCALIBRATED	-0.053955078	-0.088272095	-0.1222229
1560755428485	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4487762	1.1685333	10.096008
1560755428505	TYPE_ACCELEROMETER	-1.5218048	1.1535797	9.770996
1560755428505	TYPE_MAGNETIC_FIELD	-21.76056	-23.10791	-20.288086
1560755428505	TYPE_GYROSCOPE	0.012252808	-0.02067566	-0.05392456
1560755428505	TYPE_ROTATION_VECTOR	0.08459208	-0.0072348304	-0.91291237
1560755428505	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-94.444275	-357.4402
1560755428505	TYPE_GYROSCOPE_UNCALIBRATED	0.012634277	-0.018493652	-0.052444458
1560755428505	TYPE_ACCELEROMETER_UNCALIBRATED	-1.530777	1.1811066	9.869171
1560755428524	TYPE_ACCELEROMETER	-1.5170135	1.1434021	9.572281
1560755428524	TYPE_MAGNETIC_FIELD	-21.76056	-23.791504	-19.622803
1560755428524	TYPE_GYROSCOPE	0.08415222	0.055496216	0.0073242188
1560755428524	TYPE_ROTATION_VECTOR	0.08606443	-0.008827749	-0.91246593
1560755428524	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-95.12787	-356.7749
1560755428524	TYPE_GYROSCOPE_UNCALIBRATED	0.08453369	0.057678223	0.008804321
1560755428524	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5086365	1.155365	9.662064
1560755428544	TYPE_ACCELEROMETER	-1.5367737	1.1296387	9.400497
1560755428544	TYPE_MAGNETIC_FIELD	-23.812866	-23.791504	-20.954895
1560755428544	TYPE_GYROSCOPE	0.087890625	0.03152466	0.033966064
1560755428544	TYPE_ROTATION_VECTOR	0.087337434	-0.010223976	-0.91182226
1560755428544	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-95.12787	-358.107
1560755428544	TYPE_GYROSCOPE_UNCALIBRATED	0.088272095	0.033706665	0.035446167
1560755428544	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5337677	1.123642	9.505844
1560755428564	TYPE_ACCELEROMETER	-1.510437	1.1302338	9.219727
1560755428564	TYPE_MAGNETIC_FIELD	-22.444153	-24.476624	-20.288086
1560755428564	TYPE_GYROSCOPE	0.03729248	-0.043060303	0.017456055
1560755428564	TYPE_ROTATION_VECTOR	0.087753065	-0.011389182	-0.911461
1560755428564	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-95.81299	-357.4402
1560755428564	TYPE_GYROSCOPE_UNCALIBRATED	0.03767395	-0.040878296	0.018936157
1560755428564	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5170135	1.1254425	9.278397
1560755428584	TYPE_ACCELEROMETER	-1.5349731	1.1050873	9.271805
1560755428584	TYPE_MAGNETIC_FIELD	-23.812866	-24.476624	-18.95752
1560755428584	TYPE_GYROSCOPE	-0.007461548	-0.075546265	-0.0012054443
1560755428584	TYPE_ROTATION_VECTOR	0.087724656	-0.012184473	-0.9111491
1560755428584	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-95.81299	-356.10962
1560755428584	TYPE_GYROSCOPE_UNCALIBRATED	-0.007080078	-0.07336426	2.746582E-4
1560755428584	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5265961	1.1386108	9.2508545
1560755428604	TYPE_ACCELEROMETER	-1.4643555	1.0661774	9.065308
1560755428604	TYPE_MAGNETIC_FIELD	-21.76056	-25.160217	-19.622803
1560755428604	TYPE_GYROSCOPE	-0.025039673	-0.07659912	0.002532959
1560755428604	TYPE_ROTATION_VECTOR	0.08753741	-0.012619419	-0.9110428
1560755428604	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-96.49658	-356.7749
1560755428604	TYPE_GYROSCOPE_UNCALIBRATED	-0.024658203	-0.074417114	0.0040130615
1560755428604	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5283966	1.068573	9.188004
1560755428623	TYPE_ACCELEROMETER	-1.2051544	1.1027069	8.889923
1560755428623	TYPE_MAGNETIC_FIELD	-22.444153	-21.739197	-18.95752
1560755428623	TYPE_GYROSCOPE	-0.05380249	-0.048919678	0.017456055
1560755428623	TYPE_ROTATION_VECTOR	0.0870939	-0.012922934	-0.9106826
1560755428623	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-93.07556	-356.10962
1560755428623	TYPE_GYROSCOPE_UNCALIBRATED	-0.05342102	-0.04673767	0.018936157
1560755428623	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3242798	1.0889282	8.955765
1560755428643	TYPE_ACCELEROMETER	-1.0968323	1.0853424	9.033585
1560755428643	TYPE_MAGNETIC_FIELD	-22.444153	-23.10791	-19.622803
1560755428643	TYPE_GYROSCOPE	-0.09640503	0.022994995	0.021713257
1560755428643	TYPE_ROTATION_VECTOR	0.08673532	-0.012780122	-0.9104199
1560755428643	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-94.444275	-356.7749
1560755428643	TYPE_GYROSCOPE_UNCALIBRATED	-0.09602356	0.025177002	0.02319336
1560755428643	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1512909	1.0979156	8.91806
1560755428663	TYPE_ACCELEROMETER	-1.2009735	1.1481781	9.390915
1560755428663	TYPE_MAGNETIC_FIELD	-21.76056	-25.160217	-19.622803
