#	startTime:1560755465776
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755465776	TYPE_WAYPOINT	247.3886	108.41846
1560755465892	TYPE_ACCELEROMETER	-0.89990234	0.7232208	9.899689
1560755465892	TYPE_MAGNETIC_FIELD	24.093628	33.010864	-27.610779
1560755465892	TYPE_GYROSCOPE	-0.10972595	-0.10536194	-0.052871704
1560755465892	TYPE_ROTATION_VECTOR	0.024407256	0.056756075	0.27997935
1560755465892	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.91205	-38.3255	-364.76288
1560755465892	TYPE_GYROSCOPE_UNCALIBRATED	-0.10934448	-0.10317993	-0.0513916
1560755465892	TYPE_ACCELEROMETER_UNCALIBRATED	-0.94958496	0.7812805	9.875748
1560755465912	TYPE_ACCELEROMETER	-0.8939209	0.69329834	9.909866
1560755465912	TYPE_MAGNETIC_FIELD	24.777222	30.958557	-26.278687
1560755465912	TYPE_GYROSCOPE	-0.066589355	-0.06008911	-0.05180359
1560755465912	TYPE_ROTATION_VECTOR	0.023353912	0.05521889	0.280186
1560755465912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-41.062927	-362.10022
1560755465912	TYPE_GYROSCOPE_UNCALIBRATED	-0.057678223	-0.030761719	-0.04925537
1560755465912	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89152527	0.67892456	9.850616
1560755465932	TYPE_ACCELEROMETER	-0.8514252	0.6490021	9.826065
1560755465932	TYPE_MAGNETIC_FIELD	24.777222	30.958557	-26.278687
1560755465932	TYPE_GYROSCOPE	-0.058059692	-0.032943726	-0.050735474
1560755465932	TYPE_ROTATION_VECTOR	0.023353912	0.05521889	0.280186
1560755465932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-41.062927	-362.10022
1560755465932	TYPE_GYROSCOPE_UNCALIBRATED	-0.057678223	-0.030761719	-0.04925537
1560755465932	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89152527	0.67892456	9.850616
1560755465952	TYPE_ACCELEROMETER	-0.7311096	0.62145996	9.894897
1560755465952	TYPE_MAGNETIC_FIELD	26.831055	30.273438	-24.94812
1560755465952	TYPE_GYROSCOPE	-0.054336548	-0.01322937	-0.057128906
1560755465952	TYPE_ROTATION_VECTOR	0.021461848	0.05337283	0.28056026
1560755465952	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.17462	-41.062927	-362.10022
1560755465952	TYPE_GYROSCOPE_UNCALIBRATED	-0.053955078	-0.011047363	-0.055648804
1560755465952	TYPE_ACCELEROMETER_UNCALIBRATED	-0.78437805	0.6418152	9.851807
1560755465972	TYPE_ACCELEROMETER	-0.81192017	0.5927429	9.9583435
1560755465972	TYPE_MAGNETIC_FIELD	24.777222	33.010864	-26.278687
1560755465972	TYPE_GYROSCOPE	-0.029830933	0.005432129	-0.059249878
1560755465972	TYPE_ROTATION_VECTOR	0.0207732	0.05190871	0.28093514
1560755465972	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.228455	-38.3255	-363.4308
1560755465972	TYPE_GYROSCOPE_UNCALIBRATED	-0.053955078	-0.011047363	-0.055648804
1560755465972	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75445557	0.60591125	9.924225
1560755465991	TYPE_ACCELEROMETER	-0.84542847	0.5837555	9.842834
1560755465991	TYPE_MAGNETIC_FIELD	24.777222	31.64215	-26.278687
1560755465991	TYPE_GYROSCOPE	0.011184692	0.012878418	-0.050735474
1560755465991	TYPE_ROTATION_VECTOR	0.020138979	0.051413678	0.28106064
1560755465991	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.228455	-39.694214	-363.4308
1560755465991	TYPE_GYROSCOPE_UNCALIBRATED	0.011566162	0.015060425	-0.04925537
1560755465991	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8430481	0.5807648	9.940384
1560755466011	TYPE_ACCELEROMETER	-0.8574066	0.63282776	9.750656
1560755466011	TYPE_MAGNETIC_FIELD	24.093628	32.32727	-26.945496
1560755466011	TYPE_GYROSCOPE	0.015975952	0.003829956	-0.043807983
1560755466011	TYPE_ROTATION_VECTOR	0.019815736	0.051337343	0.28080723
1560755466011	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.91205	-39.009094	-364.0976
1560755466011	TYPE_GYROSCOPE_UNCALIBRATED	0.016357422	0.006011963	-0.04232788
1560755466011	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8436432	0.6047058	9.771606
1560755466031	TYPE_ACCELEROMETER	-0.795166	0.6352234	9.76561
1560755466031	TYPE_MAGNETIC_FIELD	26.145935	31.64215	-26.945496
1560755466031	TYPE_GYROSCOPE	-0.009597778	-0.026016235	-0.04273987
1560755466031	TYPE_ROTATION_VECTOR	0.019718727	0.051256202	0.28082675
1560755466031	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.85974	-39.694214	-364.0976
1560755466031	TYPE_GYROSCOPE_UNCALIBRATED	0.016357422	0.006011963	-0.04232788
1560755466031	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84962463	0.6340332	9.754837
1560755466051	TYPE_ACCELEROMETER	-0.708374	0.5981293	9.80632
1560755466051	TYPE_MAGNETIC_FIELD	24.093628	30.958557	-26.278687
1560755466051	TYPE_GYROSCOPE	-0.022369385	-0.035064697	-0.05180359
1560755466051	TYPE_ROTATION_VECTOR	0.01961293	0.050606616	0.28069663
1560755466051	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.85974	-38.3255	-362.7655
1560755466051	TYPE_GYROSCOPE_UNCALIBRATED	-0.021987915	-0.03288269	-0.050323486
1560755466051	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73172	0.6226654	9.772797
1560755466071	TYPE_ACCELEROMETER	-0.7772064	0.6166687	9.882935
