#	startTime:1560755625760
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560755625760	TYPE_WAYPOINT	214.16501	115.88129
1560755625890	TYPE_ACCELEROMETER	-1.7151337	1.8574677	8.998276
1560755625890	TYPE_MAGNETIC_FIELD	-12.863159	14.533997	-30.273438
1560755625890	TYPE_GYROSCOPE	-0.09161377	0.08105469	0.022781372
1560755625890	TYPE_ROTATION_VECTOR	0.11313243	0.06286836	-0.34691828
1560755625890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-56.80237	-367.42554
1560755625890	TYPE_GYROSCOPE_UNCALIBRATED	-0.0912323	0.083236694	0.024261475
1560755625890	TYPE_ACCELEROMETER_UNCALIBRATED	-1.826477	1.7515259	9.004257
1560755625910	TYPE_ACCELEROMETER	-1.5367737	1.989151	9.302338
1560755625910	TYPE_MAGNETIC_FIELD	-11.494446	15.21759	-28.941345
1560755625910	TYPE_GYROSCOPE	-0.16618347	0.056030273	-0.036346436
1560755625910	TYPE_ROTATION_VECTOR	0.114732645	0.060409747	-0.34253815
1560755625910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-56.118774	-366.09344
1560755625910	TYPE_GYROSCOPE_UNCALIBRATED	-0.165802	0.05821228	-0.034866333
1560755625910	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6002197	1.9484558	9.091644
1560755625930	TYPE_ACCELEROMETER	-1.4793091	1.9227142	9.94577
1560755625930	TYPE_MAGNETIC_FIELD	-13.546753	16.586304	-28.941345
1560755625930	TYPE_GYROSCOPE	-0.24128723	0.032592773	-0.073638916
1560755625930	TYPE_ROTATION_VECTOR	0.11376094	0.057868324	-0.33857796
1560755625930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-111.55243	-54.75006	-366.09344
