#	startTime:1560756365465
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560756365465	TYPE_WAYPOINT	199.7431	80.9901
1560756365582	TYPE_ACCELEROMETER	-0.84962463	1.1092834	9.281387
1560756365582	TYPE_MAGNETIC_FIELD	-3.843689	-38.095093	-25.183105
1560756365582	TYPE_GYROSCOPE	0.08203125	-0.030273438	0.08616638
1560756365582	TYPE_ROTATION_VECTOR	0.061136916	-0.051618833	-0.9912243
1560756365582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-101.28784	-106.762695	-360.10284
1560756365582	TYPE_GYROSCOPE_UNCALIBRATED	0.010498047	-0.048324585	0.08178711
1560756365582	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0274048	1.2002563	9.3220825
1560756365602	TYPE_ACCELEROMETER	-0.75805664	1.000946	9.561508
1560756365602	TYPE_MAGNETIC_FIELD	-5.2124023	-38.095093	-22.520447
1560756365602	TYPE_GYROSCOPE	-0.05380249	-0.070755005	0.057403564
1560756365602	TYPE_ROTATION_VECTOR	0.05729225	-0.051191483	-0.99165624
1560756365602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-102.656555	-106.762695	-357.4402
1560756365602	TYPE_GYROSCOPE_UNCALIBRATED	-0.0912323	-0.08721924	0.028518677
1560756365602	TYPE_ACCELEROMETER_UNCALIBRATED	-0.74128723	1.0374603	9.380737
1560756365622	TYPE_ACCELEROMETER	-0.8616028	0.9225311	9.82547
1560756365622	TYPE_MAGNETIC_FIELD	-4.5272827	-38.778687	-26.515198
1560756365622	TYPE_GYROSCOPE	-0.10067749	-0.10696411	0.0019989014
1560756365622	TYPE_ROTATION_VECTOR	0.054455422	-0.04947645	-0.99202466
1560756365622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-101.971436	-107.44629	-361.43494
1560756365622	TYPE_GYROSCOPE_UNCALIBRATED	-0.087509155	-0.11224365	-0.011962891
1560756365622	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8101196	0.9668274	9.726715
1560756365642	TYPE_ACCELEROMETER	-1.0519409	0.8872223	9.899094
1560756365642	TYPE_MAGNETIC_FIELD	-5.2124023	-37.409973	-26.515198
1560756365642	TYPE_GYROSCOPE	-0.05647278	-0.10217285	-0.020370483
1560756365642	TYPE_ROTATION_VECTOR	0.05319653	-0.047679823	-0.99223846
1560756365642	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-102.656555	-106.077576	-361.43494
1560756365642	TYPE_GYROSCOPE_UNCALIBRATED	-0.010818481	-0.07975769	-0.0135650635
1560756365642	TYPE_ACCELEROMETER_UNCALIBRATED	-0.95018005	0.8896179	9.887726
1560756365662	TYPE_ACCELEROMETER	-1.0681	0.95425415	9.701569
1560756365662	TYPE_MAGNETIC_FIELD	-5.2124023	-38.095093	-25.183105
1560756365662	TYPE_GYROSCOPE	0.03515625	-0.06008911	0.0019989014
1560756365662	TYPE_ROTATION_VECTOR	0.053628176	-0.047034655	-0.9921738
1560756365662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-102.656555	-106.762695	-360.10284
1560756365662	TYPE_GYROSCOPE_UNCALIBRATED	0.07015991	-0.033950806	0.025314331
1560756365662	TYPE_ACCELEROMETER_UNCALIBRATED	-1.107605	0.91056824	9.836838
1560756365681	TYPE_ACCELEROMETER	-0.8861389	1.0446472	9.416061
1560756365681	TYPE_MAGNETIC_FIELD	-5.2124023	-37.409973	-24.517822
1560756365681	TYPE_GYROSCOPE	0.087890625	-0.017486572	0.04408264
1560756365681	TYPE_ROTATION_VECTOR	0.05381076	-0.047826875	-0.99205726
1560756365681	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-102.656555	-106.077576	-359.43756
1560756365681	TYPE_GYROSCOPE_UNCALIBRATED	0.08773804	-0.0051879883	0.059936523
1560756365681	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9801178	1.0123138	9.552536
1560756365701	TYPE_ACCELEROMETER	-0.6886139	1.0057373	9.218536
1560756365701	TYPE_MAGNETIC_FIELD	-4.5272827	-38.095093	-25.183105
1560756365701	TYPE_GYROSCOPE	0.06764221	-0.00630188	0.064315796
1560756365701	TYPE_ROTATION_VECTOR	0.05316366	-0.048753023	-0.9920157
1560756365701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-101.971436	-106.762695	-360.10284
1560756365701	TYPE_GYROSCOPE_UNCALIBRATED	0.03074646	-0.0062408447	0.06260681
1560756365701	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7825928	1.0350647	9.282593
1560756365721	TYPE_ACCELEROMETER	-0.76942444	0.9267273	9.476517
1560756365721	TYPE_MAGNETIC_FIELD	-5.2124023	-39.463806	-23.187256
1560756365721	TYPE_GYROSCOPE	-0.015991211	-0.008956909	0.050476074
1560756365721	TYPE_ROTATION_VECTOR	0.05203446	-0.04855887	-0.99211246
1560756365721	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-102.656555	-108.13141	-358.107
1560756365721	TYPE_GYROSCOPE_UNCALIBRATED	-0.057678223	-0.01637268	0.03970337
1560756365721	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6880188	0.96203613	9.295746
1560756365741	TYPE_ACCELEROMETER	-0.7496643	0.803421	9.743469
1560756365741	TYPE_MAGNETIC_FIELD	-5.895996	-37.409973	-23.85254
1560756365741	TYPE_GYROSCOPE	-0.08842468	-0.043060303	0.030761719
1560756365741	TYPE_ROTATION_VECTOR	0.05096514	-0.047185548	-0.9922501
1560756365741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-106.077576	-358.77228
1560756365741	TYPE_GYROSCOPE_UNCALIBRATED	-0.10775757	-0.06590271	0.024780273
1560756365741	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79096985	0.87464905	9.645309
1560756365761	TYPE_ACCELEROMETER	-0.76283264	0.8626709	9.811096
1560756365761	TYPE_MAGNETIC_FIELD	-5.2124023	-37.409973	-25.848389
1560756365761	TYPE_GYROSCOPE	-0.11505127	-0.07766724	0.0121154785
1560756365761	TYPE_ROTATION_VECTOR	0.049380098	-0.045474008	-0.9924327
1560756365761	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-102.656555	-106.077576	-360.76813
1560756365761	TYPE_GYROSCOPE_UNCALIBRATED	-0.10241699	-0.07015991	0.0040130615
1560756365761	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72991943	0.8117981	9.775192
1560756365780	TYPE_ACCELEROMETER	-0.8448334	0.9458771	9.753052
1560756365780	TYPE_MAGNETIC_FIELD	-5.895996	-39.463806	-23.187256
1560756365780	TYPE_GYROSCOPE	-0.0745697	-0.06222534	-0.0022583008
1560756365780	TYPE_ROTATION_VECTOR	0.048494592	-0.044540025	-0.992529
1560756365780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-108.13141	-358.107
1560756365780	TYPE_GYROSCOPE_UNCALIBRATED	-0.10241699	-0.07015991	0.0040130615
1560756365780	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8220978	0.90338135	9.845215
1560756365800	TYPE_ACCELEROMETER	-0.6664734	1.0015411	9.408279
1560756365800	TYPE_MAGNETIC_FIELD	-4.5272827	-38.095093	-25.848389
1560756365800	TYPE_GYROSCOPE	-0.011184692	-0.041992188	-1.373291E-4
