#	startTime:1560756587723
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560756587723	TYPE_WAYPOINT	218.16681	74.20763
1560756587846	TYPE_ACCELEROMETER	0.09010315	0.9668274	10.10379
1560756587846	TYPE_MAGNETIC_FIELD	14.634705	22.814941	-37.164307
1560756587846	TYPE_GYROSCOPE	-0.2263794	-0.037719727	-0.20732117
1560756587846	TYPE_ROTATION_VECTOR	0.05846458	0.012198578	0.25401703
1560756587846	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-45.85266	-372.08405
1560756587846	TYPE_GYROSCOPE_UNCALIBRATED	-0.22599792	-0.03553772	-0.20584106
1560756587846	TYPE_ACCELEROMETER_UNCALIBRATED	0.086502075	1.0530243	10.02478
1560756587866	TYPE_ACCELEROMETER	-0.114608765	0.89320374	10.149887
1560756587866	TYPE_MAGNETIC_FIELD	16.688538	22.814941	-36.499023
1560756587866	TYPE_GYROSCOPE	-0.1917572	0.0064849854	-0.23182678
1560756587866	TYPE_ROTATION_VECTOR	0.05395051	0.011961887	0.25292867
1560756587866	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-80.755615	-45.85266	-371.41876
1560756587866	TYPE_GYROSCOPE_UNCALIBRATED	-0.19137573	0.008666992	-0.23034668
1560756587866	TYPE_ACCELEROMETER_UNCALIBRATED	-0.008056641	0.92552185	10.137314
1560756587886	TYPE_ACCELEROMETER	-0.2367096	0.7279968	10.183395
1560756587886	TYPE_MAGNETIC_FIELD	13.951111	24.867249	-39.161682
1560756587886	TYPE_GYROSCOPE	-0.18217468	0.038986206	-0.23875427
1560756587886	TYPE_ROTATION_VECTOR	0.049452312	0.013048622	0.24968366
1560756587886	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-83.49304	-43.800354	-374.08142
1560756587886	TYPE_GYROSCOPE_UNCALIBRATED	-0.18179321	0.041168213	-0.23727417
1560756587886	TYPE_ACCELEROMETER_UNCALIBRATED	-0.174469	0.81658936	10.149277
1560756587906	TYPE_ACCELEROMETER	-0.45817566	0.672348	10.461136
1560756587906	TYPE_MAGNETIC_FIELD	14.634705	23.498535	-37.164307
1560756587906	TYPE_GYROSCOPE	-0.20347595	0.08798218	-0.2536621
1560756587906	TYPE_ROTATION_VECTOR	0.040024593	0.018497	0.24190524
1560756587906	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.12433	-45.85266	-372.74933
1560756587906	TYPE_GYROSCOPE_UNCALIBRATED	-0.16633606	0.11520386	-0.23620605
1560756587906	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32888794	0.692688	10.304306
1560756587926	TYPE_ACCELEROMETER	-0.8621979	0.70047	10.597595
1560756587926	TYPE_MAGNETIC_FIELD	15.319824	22.814941	-37.82959
1560756587926	TYPE_GYROSCOPE	-0.16671753	0.11302185	-0.23768616
1560756587926	TYPE_ROTATION_VECTOR	0.040024593	0.018497	0.24190524
1560756587926	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.12433	-45.85266	-372.74933
1560756587926	TYPE_GYROSCOPE_UNCALIBRATED	-0.16633606	0.11520386	-0.23620605
1560756587926	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64372253	0.6621704	10.570663
1560756587945	TYPE_ACCELEROMETER	-1.233902	0.8076172	10.363556
1560756587945	TYPE_MAGNETIC_FIELD	16.003418	24.867249	-38.4964
1560756587945	TYPE_GYROSCOPE	-0.08735657	0.16041565	-0.170578
1560756587945	TYPE_ROTATION_VECTOR	0.036915857	0.024105938	0.2361433
1560756587945	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.440735	-43.800354	-373.41614
1560756587945	TYPE_GYROSCOPE_UNCALIBRATED	-0.0869751	0.16259766	-0.1690979
1560756587945	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0657043	0.7423706	10.532349
1560756587965	TYPE_ACCELEROMETER	-1.3422394	1.0111237	9.737488
1560756587965	TYPE_MAGNETIC_FIELD	16.003418	24.183655	-35.83374
1560756587965	TYPE_GYROSCOPE	0.009063721	0.2312622	-0.073638916
1560756587965	TYPE_ROTATION_VECTOR	0.035794705	0.03104384	0.2305676
1560756587965	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.440735	-44.483948	-370.75348
1560756587965	TYPE_GYROSCOPE_UNCALIBRATED	0.00944519	0.23344421	-0.07215881
1560756587965	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3350677	0.9189453	10.104996
1560756587985	TYPE_ACCELEROMETER	-1.2871704	1.1481781	9.100021
1560756587985	TYPE_MAGNETIC_FIELD	14.634705	24.183655	-36.499023
1560756587985	TYPE_GYROSCOPE	0.06285095	0.2632141	0.011581421
1560756587985	TYPE_ROTATION_VECTOR	0.036308628	0.037488263	0.2261293
1560756587985	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-82.80945	-44.483948	-371.41876
1560756587985	TYPE_GYROSCOPE_UNCALIBRATED	0.06323242	0.26539612	0.013061523
1560756587985	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2931519	1.076355	9.355011
1560756588005	TYPE_ACCELEROMETER	-1.3967133	1.3493042	9.005447
1560756588005	TYPE_MAGNETIC_FIELD	16.003418	24.867249	-36.499023
