#	startTime:1560756776929
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560756776930	TYPE_WAYPOINT	220.90167	75.699
1560756777042	TYPE_ACCELEROMETER	-1.1417236	0.8518982	9.600418
1560756777042	TYPE_MAGNETIC_FIELD	32.42798	-29.882812	-25.848389
1560756777042	TYPE_GYROSCOPE	-0.234375	-0.1096344	-0.055526733
1560756777042	TYPE_ROTATION_VECTOR	-0.049323782	0.07277717	0.92060816
1560756777042	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-98.550415	-360.76813
1560756777042	TYPE_GYROSCOPE_UNCALIBRATED	-0.13597107	0.0065460205	-0.017303467
1560756777042	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2404785	0.89260864	9.329269
1560756777062	TYPE_ACCELEROMETER	-1.2859802	0.87405396	9.7135315
1560756777062	TYPE_MAGNETIC_FIELD	31.744385	-29.197693	-25.183105
1560756777062	TYPE_GYROSCOPE	-0.18696594	-0.042526245	-0.08163452
1560756777062	TYPE_ROTATION_VECTOR	-0.045854203	0.06659679	0.9197273
1560756777062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-97.865295	-360.10284
1560756777062	TYPE_GYROSCOPE_UNCALIBRATED	-0.23399353	-0.10745239	-0.05404663
1560756777062	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1417236	0.8518982	9.600418
1560756777082	TYPE_ACCELEROMETER	-1.6103973	0.88601685	9.885315
1560756777082	TYPE_MAGNETIC_FIELD	29.690552	-29.882812	-27.180481
1560756777082	TYPE_GYROSCOPE	-0.12516785	0.0778656	-0.09068298
1560756777082	TYPE_ROTATION_VECTOR	-0.045854203	0.06659679	0.9197273
1560756777082	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-98.550415	-362.10022
1560756777082	TYPE_GYROSCOPE_UNCALIBRATED	-0.18658447	-0.04034424	-0.08015442
1560756777082	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2859802	0.87405396	9.7135315
1560756777102	TYPE_ACCELEROMETER	-1.8946991	0.9554596	10.110382
1560756777102	TYPE_MAGNETIC_FIELD	31.059265	-29.197693	-24.517822
1560756777102	TYPE_GYROSCOPE	-0.08735657	0.10183716	-0.081100464
1560756777102	TYPE_ROTATION_VECTOR	-0.048921473	0.0667117	0.91981053
1560756777102	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-97.865295	-359.43756
1560756777102	TYPE_GYROSCOPE_UNCALIBRATED	-0.12478638	0.08004761	-0.08920288
1560756777102	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6103973	0.88601685	9.885315
1560756777121	TYPE_ACCELEROMETER	-1.87854	0.98298645	10.016403
1560756777121	TYPE_MAGNETIC_FIELD	29.690552	-27.82898	-25.848389
1560756777121	TYPE_GYROSCOPE	-0.057525635	0.038986206	-0.073638916
1560756777121	TYPE_ROTATION_VECTOR	-0.052885037	0.068029955	0.91981775
1560756777121	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.7536	-96.49658	-360.76813
1560756777121	TYPE_GYROSCOPE_UNCALIBRATED	-0.0869751	0.104019165	-0.07962036
1560756777121	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8946991	0.9554596	10.110382
1560756777141	TYPE_ACCELEROMETER	-1.8222809	1.0536194	9.501053
1560756777141	TYPE_MAGNETIC_FIELD	31.059265	-28.5141	-24.517822
1560756777141	TYPE_GYROSCOPE	-0.034103394	0.01927185	-0.08908081
1560756777141	TYPE_ROTATION_VECTOR	-0.055268977	0.069186285	0.919705
1560756777141	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-97.1817	-359.43756
1560756777141	TYPE_GYROSCOPE_UNCALIBRATED	-0.057144165	0.041168213	-0.07215881
1560756777141	TYPE_ACCELEROMETER_UNCALIBRATED	-1.87854	0.98298645	10.016403
1560756777161	TYPE_ACCELEROMETER	-1.8551941	1.1523743	9.33107
1560756777161	TYPE_MAGNETIC_FIELD	31.744385	-29.882812	-23.85254
1560756777161	TYPE_GYROSCOPE	-0.030899048	0.08052063	-0.097076416
1560756777161	TYPE_ROTATION_VECTOR	-0.05679267	0.07082589	0.91928786
1560756777161	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-98.550415	-358.77228
1560756777161	TYPE_GYROSCOPE_UNCALIBRATED	-0.033721924	0.021453857	-0.08760071
1560756777161	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8222809	1.0536194	9.501053
1560756777181	TYPE_ACCELEROMETER	-1.7468567	1.3085938	9.414856
1560756777181	TYPE_MAGNETIC_FIELD	31.059265	-27.82898	-26.515198
1560756777181	TYPE_GYROSCOPE	-0.015991211	0.107162476	-0.10240173
1560756777181	TYPE_ROTATION_VECTOR	-0.05858807	0.07300292	0.9187339
1560756777181	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-96.49658	-361.43494
1560756777181	TYPE_GYROSCOPE_UNCALIBRATED	-0.030517578	0.08270264	-0.09559631
1560756777181	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8551941	1.1523743	9.33107
1560756777201	TYPE_ACCELEROMETER	-1.636734	1.5360413	9.171249
1560756777201	TYPE_MAGNETIC_FIELD	30.375671	-29.197693	-26.515198
1560756777201	TYPE_GYROSCOPE	-0.002670288	0.1013031	-0.10293579
1560756777201	TYPE_ROTATION_VECTOR	-0.05940864	0.078582466	0.91669095
1560756777201	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-97.865295	-361.43494
1560756777201	TYPE_GYROSCOPE_UNCALIBRATED	-0.015609741	0.10934448	-0.10092163
1560756777201	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7468567	1.3085938	9.414856
1560756777220	TYPE_ACCELEROMETER	-1.4589539	1.6743164	9.092239
1560756777220	TYPE_MAGNETIC_FIELD	32.42798	-29.882812	-26.515198
1560756777220	TYPE_GYROSCOPE	-0.05859375	0.08319092	-0.08375549
1560756777220	TYPE_ROTATION_VECTOR	-0.05940864	0.078582466	0.91669095
