#	startTime:1560758190469
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560758190469	TYPE_WAYPOINT	295.62604	128.6357
1560758190586	TYPE_ACCELEROMETER	-0.84243774	0.5520325	9.560318
1560758190586	TYPE_MAGNETIC_FIELD	-18.922424	30.252075	-30.566406
1560758190586	TYPE_GYROSCOPE	-0.028762817	-0.06915283	0.04940796
1560758190586	TYPE_ROTATION_VECTOR	0.033407602	0.03326179	-0.2703214
1560758190586	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-43.115234	-364.0976
1560758190586	TYPE_GYROSCOPE_UNCALIBRATED	0.04937744	-0.008377075	0.033843994
1560758190586	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8729706	0.5622101	9.571091
1560758190606	TYPE_ACCELEROMETER	-0.91067505	0.5155182	9.580063
1560758190606	TYPE_MAGNETIC_FIELD	-17.55371	29.566956	-31.23169
1560758190606	TYPE_GYROSCOPE	-0.050613403	-0.06489563	0.047286987
1560758190606	TYPE_ROTATION_VECTOR	0.033948906	0.033843767	-0.2705927
1560758190606	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-43.800354	-364.76288
1560758190606	TYPE_GYROSCOPE_UNCALIBRATED	-0.028381348	-0.066970825	0.05088806
1560758190606	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8729706	0.5622101	9.571091
1560758190626	TYPE_ACCELEROMETER	-0.94659424	0.48080444	9.663269
1560758190626	TYPE_MAGNETIC_FIELD	-18.23883	30.252075	-31.23169
1560758190626	TYPE_GYROSCOPE	-0.05593872	-0.037200928	0.031829834
1560758190626	TYPE_ROTATION_VECTOR	0.033979803	0.034702025	-0.27116498
1560758190626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-43.115234	-364.76288
1560758190626	TYPE_GYROSCOPE_UNCALIBRATED	-0.050231934	-0.06271362	0.04876709
1560758190626	TYPE_ACCELEROMETER_UNCALIBRATED	-0.91368103	0.48379517	9.6141815
1560758190646	TYPE_ACCELEROMETER	-1.0046539	0.4245453	9.9110565
1560758190646	TYPE_MAGNETIC_FIELD	-18.922424	29.566956	-29.234314
1560758190646	TYPE_GYROSCOPE	-0.04475403	-0.022277832	0.025436401
1560758190646	TYPE_ROTATION_VECTOR	0.03365286	0.035754867	-0.2721579
1560758190646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-43.800354	-362.7655
1560758190646	TYPE_GYROSCOPE_UNCALIBRATED	-0.05555725	-0.03501892	0.033309937
1560758190646	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9950714	0.45925903	9.783569
1560758190666	TYPE_ACCELEROMETER	-0.9238434	0.42034912	9.882324
1560758190666	TYPE_MAGNETIC_FIELD	-16.870117	30.252075	-30.566406
1560758190666	TYPE_GYROSCOPE	-0.021316528	-0.028137207	0.023834229
1560758190666	TYPE_ROTATION_VECTOR	0.03365286	0.035754867	-0.2721579
1560758190666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-43.115234	-364.0976
1560758190666	TYPE_GYROSCOPE_UNCALIBRATED	-0.04437256	-0.020095825	0.026916504
1560758190666	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9615631	0.4131775	9.917038
1560758190685	TYPE_ACCELEROMETER	-0.97532654	0.43710327	9.875153
1560758190685	TYPE_MAGNETIC_FIELD	-18.922424	30.935669	-31.896973
1560758190685	TYPE_GYROSCOPE	-0.008529663	-0.030273438	0.03024292
1560758190685	TYPE_ROTATION_VECTOR	0.03338496	0.036304783	-0.27266183
1560758190685	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-42.43164	-365.42816
1560758190685	TYPE_GYROSCOPE_UNCALIBRATED	-0.020935059	-0.0259552	0.025314331
1560758190685	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9585571	0.43052673	9.8871155
1560758190705	TYPE_ACCELEROMETER	-0.8837433	0.44908142	9.872757
1560758190705	TYPE_MAGNETIC_FIELD	-18.922424	31.620789	-31.23169
1560758190705	TYPE_GYROSCOPE	-0.014389038	-0.032409668	0.043548584
1560758190705	TYPE_ROTATION_VECTOR	0.03326433	0.03608352	-0.27249974
1560758190705	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.7124	-41.74652	-364.76288
1560758190705	TYPE_GYROSCOPE_UNCALIBRATED	-0.008148193	-0.02809143	0.031723022
1560758190705	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92863464	0.44070435	9.852402
1560758190725	TYPE_ACCELEROMETER	-0.80055237	0.48439026	9.935608
1560758190725	TYPE_MAGNETIC_FIELD	-18.23883	31.620789	-30.566406
1560758190725	TYPE_GYROSCOPE	-0.012786865	-0.028671265	0.048339844
1560758190725	TYPE_ROTATION_VECTOR	0.03326433	0.03608352	-0.27249974
1560758190725	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-41.74652	-364.0976
1560758190725	TYPE_GYROSCOPE_UNCALIBRATED	-0.014007568	-0.030227661	0.045028687
1560758190725	TYPE_ACCELEROMETER_UNCALIBRATED	-0.83406067	0.46524048	9.905075
1560758190745	TYPE_ACCELEROMETER	-0.8190918	0.51371765	9.988876
1560758190745	TYPE_MAGNETIC_FIELD	-16.870117	32.304382	-29.234314
1560758190745	TYPE_GYROSCOPE	0.004257202	-0.026535034	0.049942017
1560758190745	TYPE_ROTATION_VECTOR	0.03319004	0.03548346	-0.27186528
1560758190745	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-41.062927	-362.7655
1560758190745	TYPE_GYROSCOPE_UNCALIBRATED	-0.0124053955	-0.026489258	0.049819946
1560758190745	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80233765	0.5005493	9.969116
1560758190765	TYPE_ACCELEROMETER	-0.86938477	0.5681915	9.972107
1560758190765	TYPE_MAGNETIC_FIELD	-19.607544	30.935669	-30.566406
1560758190765	TYPE_GYROSCOPE	0.029830933	-0.0158844	0.055267334
1560758190765	TYPE_ROTATION_VECTOR	0.034076132	0.034669153	-0.27070993
1560758190765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-42.43164	-364.0976
1560758190765	TYPE_GYROSCOPE_UNCALIBRATED	0.004638672	-0.024353027	0.05142212
1560758190765	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84902954	0.5400543	9.991272
1560758190784	TYPE_ACCELEROMETER	-0.8460388	0.56159973	9.881729
1560758190784	TYPE_MAGNETIC_FIELD	-17.55371	31.620789	-29.899597
1560758190784	TYPE_GYROSCOPE	0.037826538	-0.009490967	0.062194824
1560758190784	TYPE_ROTATION_VECTOR	0.03474016	0.03438551	-0.2699807
1560758190784	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-41.74652	-363.4308
1560758190784	TYPE_GYROSCOPE_UNCALIBRATED	0.030212402	-0.013702393	0.056747437
1560758190784	TYPE_ACCELEROMETER_UNCALIBRATED	-0.86639404	0.5681915	9.924225
1560758190804	TYPE_ACCELEROMETER	-0.7825928	0.55682373	9.850006
1560758190804	TYPE_MAGNETIC_FIELD	-17.55371	30.935669	-30.566406
1560758190804	TYPE_GYROSCOPE	0.018112183	-0.023345947	0.06059265
1560758190804	TYPE_ROTATION_VECTOR	0.03506151	0.033860315	-0.26926246
1560758190804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-42.43164	-364.0976
1560758190804	TYPE_GYROSCOPE_UNCALIBRATED	0.038208008	-0.00730896	0.06367493
1560758190804	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8167114	0.55981445	9.866165
1560758190824	TYPE_ACCELEROMETER	-0.8215027	0.5879364	9.832657
1560758190824	TYPE_MAGNETIC_FIELD	-17.55371	30.935669	-31.23169
1560758190824	TYPE_GYROSCOPE	0.0021209717	-0.031341553	0.054733276
1560758190824	TYPE_ROTATION_VECTOR	0.03506151	0.033860315	-0.26926246
1560758190824	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-42.43164	-364.76288
1560758190824	TYPE_GYROSCOPE_UNCALIBRATED	0.018493652	-0.02116394	0.062072754
1560758190824	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76283264	0.5729828	9.82547
1560758190844	TYPE_ACCELEROMETER	-0.9250488	0.5376587	9.916443
1560758190844	TYPE_MAGNETIC_FIELD	-17.55371	32.304382	-31.23169
1560758190844	TYPE_GYROSCOPE	0.0079956055	-0.0068359375	0.069122314
1560758190844	TYPE_ROTATION_VECTOR	0.035584163	0.03358182	-0.2680845
1560758190844	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-41.062927	-364.76288
1560758190844	TYPE_GYROSCOPE_UNCALIBRATED	0.0025024414	-0.029159546	0.05621338
1560758190844	TYPE_ACCELEROMETER_UNCALIBRATED	-0.90948486	0.5657959	9.870361
1560758190864	TYPE_ACCELEROMETER	-0.8585968	0.5406494	9.930817
1560758190864	TYPE_MAGNETIC_FIELD	-16.870117	29.566956	-30.566406
1560758190864	TYPE_GYROSCOPE	0.04208374	0.021408081	0.09307861
1560758190864	TYPE_ROTATION_VECTOR	0.036164578	0.03367131	-0.26729548
1560758190864	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-43.800354	-364.0976
1560758190864	TYPE_GYROSCOPE_UNCALIBRATED	0.008377075	-0.0046539307	0.07060242
1560758190864	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89212036	0.52809143	9.953552
1560758190883	TYPE_ACCELEROMETER	-0.8855438	0.5669861	9.791946
1560758190883	TYPE_MAGNETIC_FIELD	-16.870117	32.989502	-29.899597
1560758190883	TYPE_GYROSCOPE	0.069244385	0.046966553	0.10960388
1560758190883	TYPE_ROTATION_VECTOR	0.036164578	0.03367131	-0.26729548
1560758190883	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-40.377808	-363.4308
1560758190883	TYPE_GYROSCOPE_UNCALIBRATED	0.04246521	0.023590088	0.094558716
1560758190883	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8502197	0.5592041	9.851212
1560758190903	TYPE_ACCELEROMETER	-0.9382019	0.608902	9.86438
1560758190903	TYPE_MAGNETIC_FIELD	-17.55371	32.304382	-28.56903
1560758190903	TYPE_GYROSCOPE	0.062316895	0.032592773	0.122909546
1560758190903	TYPE_ROTATION_VECTOR	0.037125476	0.03399927	-0.26605612
1560758190903	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-41.062927	-362.10022
1560758190903	TYPE_GYROSCOPE_UNCALIBRATED	0.069625854	0.04914856	0.111083984
1560758190903	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93222046	0.58973694	9.811111
1560758190923	TYPE_ACCELEROMETER	-0.95796204	0.61787415	9.820084
1560758190923	TYPE_MAGNETIC_FIELD	-16.184998	29.566956	-30.566406
1560758190923	TYPE_GYROSCOPE	0.057525635	-0.012161255	0.12876892
1560758190923	TYPE_ROTATION_VECTOR	0.038063783	0.03426992	-0.26490942
1560758190923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-43.800354	-364.0976
1560758190923	TYPE_GYROSCOPE_UNCALIBRATED	0.062698364	0.03477478	0.12438965
1560758190923	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9453888	0.6268463	9.86676
1560758190943	TYPE_ACCELEROMETER	-0.93940735	0.5765686	9.672241
1560758190943	TYPE_MAGNETIC_FIELD	-15.501404	30.935669	-27.903748
1560758190943	TYPE_GYROSCOPE	0.04473877	-0.0393219	0.12451172
1560758190943	TYPE_ROTATION_VECTOR	0.03929656	0.033864405	-0.26259303
1560758190943	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.29138	-42.43164	-361.43494
