#	startTime:1560758321733
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560758321733	TYPE_WAYPOINT	306.68643	152.25377
1560758321852	TYPE_ACCELEROMETER	-1.2745972	1.723999	8.706177
1560758321852	TYPE_MAGNETIC_FIELD	-11.393738	-31.341553	-28.56903
1560758321852	TYPE_GYROSCOPE	-0.052734375	0.2467041	0.1937561
1560758321852	TYPE_ROTATION_VECTOR	0.10022106	-0.051292494	-0.95617753
1560758321852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-104.70886	-362.10022
1560758321852	TYPE_GYROSCOPE_UNCALIBRATED	0.09039307	0.22332764	0.2298584
1560758321852	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3200989	1.7485352	8.5828705
1560758321872	TYPE_ACCELEROMETER	-1.5140228	1.5749512	9.131149
1560758321872	TYPE_MAGNETIC_FIELD	-11.393738	-29.289246	-28.56903
1560758321872	TYPE_GYROSCOPE	-0.21624756	0.19717407	0.106399536
1560758321872	TYPE_ROTATION_VECTOR	0.10066822	-0.05596522	-0.95514446
1560758321872	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-102.656555	-362.10022
1560758321872	TYPE_GYROSCOPE_UNCALIBRATED	-0.052352905	0.24888611	0.1952362
1560758321872	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3464203	1.652771	8.869583
1560758321892	TYPE_ACCELEROMETER	-1.8869171	1.439682	10.114578
