#	startTime:1560760857011
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560760857011	TYPE_WAYPOINT	297.84683	125.11404
1560760857143	TYPE_ACCELEROMETER	-0.53419495	1.8006134	9.7285
1560760857143	TYPE_MAGNETIC_FIELD	-30.929565	-19.482422	-36.706543
1560760857143	TYPE_GYROSCOPE	-0.12730408	-0.23266602	-0.11198425
1560760857143	TYPE_ROTATION_VECTOR	0.07518297	-0.061306793	-0.8268086
1560760857143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-130.71594	-95.12787	-371.41876
1560760857143	TYPE_GYROSCOPE_UNCALIBRATED	-0.077926636	-0.18041992	-0.11743164
1560760857143	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5329895	1.8496857	9.705154
1560760857163	TYPE_ACCELEROMETER	-0.518631	1.7730713	9.576477
1560760857163	TYPE_MAGNETIC_FIELD	-32.29828	-20.167542	-39.3692
1560760857163	TYPE_GYROSCOPE	-0.022903442	-0.117614746	-0.12263489
1560760857163	TYPE_ROTATION_VECTOR	0.07389893	-0.061417446	-0.8276785
1560760857163	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.08466	-95.81299	-374.08142
1560760857163	TYPE_GYROSCOPE_UNCALIBRATED	0.01210022	-0.06376648	-0.118499756
1560760857163	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5294037	1.7742767	9.654282
1560760857183	TYPE_ACCELEROMETER	-0.45936584	1.7407532	9.489075
1560760857183	TYPE_MAGNETIC_FIELD	-30.244446	-20.167542	-37.371826
1560760857183	TYPE_GYROSCOPE	0.01864624	-0.04145813	-0.115722656
1560760857183	TYPE_ROTATION_VECTOR	0.07351219	-0.06172108	-0.82823443
1560760857183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-130.03082	-95.81299	-372.08405
1560760857183	TYPE_GYROSCOPE_UNCALIBRATED	0.0035705566	-0.037139893	-0.11424255
1560760857183	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5000763	1.7688751	9.526184
1560760857203	TYPE_ACCELEROMETER	-0.40429688	1.7461395	9.510635
1560760857203	TYPE_MAGNETIC_FIELD	-32.29828	-22.904968	-36.04126
1560760857203	TYPE_GYROSCOPE	-0.022384644	-0.05050659	-0.12156677
1560760857203	TYPE_ROTATION_VECTOR	0.07231815	-0.06195677	-0.8291755
1560760857203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-132.08466	-98.550415	-370.75348
1560760857203	TYPE_GYROSCOPE_UNCALIBRATED	-0.047027588	-0.060043335	-0.12754822
1560760857203	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41567993	1.7335663	9.477707
1560760857222	TYPE_ACCELEROMETER	-0.37677002	1.6342163	9.627945
1560760857222	TYPE_MAGNETIC_FIELD	-30.244446	-19.482422	-38.03711
1560760857222	TYPE_GYROSCOPE	-0.06391907	-0.06755066	-0.13595581
1560760857222	TYPE_ROTATION_VECTOR	0.070780404	-0.06176943	-0.8305482
1560760857222	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-130.03082	-95.12787	-372.74933
