#	startTime:1560760955093
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560760955093	TYPE_WAYPOINT	323.42157	151.87543
1560760955218	TYPE_ACCELEROMETER	-0.9914856	0.850708	9.035385
1560760955218	TYPE_MAGNETIC_FIELD	21.768188	25.686646	-26.722717
1560760955218	TYPE_GYROSCOPE	-0.0069274902	0.083724976	0.025970459
1560760955218	TYPE_ROTATION_VECTOR	0.017656451	0.082762286	0.29978052
1560760955218	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.01819	-49.9588	-361.43494
1560760955218	TYPE_GYROSCOPE_UNCALIBRATED	-0.0715332	0.020385742	0.0056152344
1560760955218	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9914856	0.850708	9.035385
1560760955238	TYPE_ACCELEROMETER	-0.89212036	0.8201752	9.247269
1560760955238	TYPE_MAGNETIC_FIELD	22.451782	24.317932	-26.055908
1560760955238	TYPE_GYROSCOPE	-0.15020752	-0.026550293	-0.016113281
1560760955238	TYPE_ROTATION_VECTOR	0.019047566	0.078171834	0.30193323
1560760955238	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.334595	-51.327515	-360.76813
1560760955238	TYPE_GYROSCOPE_UNCALIBRATED	-0.22865295	-0.04246521	-0.03274536
1560760955238	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89212036	0.8201752	9.247269
1560760955258	TYPE_ACCELEROMETER	-0.7879791	0.82437134	9.735092
1560760955258	TYPE_MAGNETIC_FIELD	23.820496	25.001526	-26.722717
1560760955258	TYPE_GYROSCOPE	-0.28497314	-0.049438477	-0.0491333
1560760955258	TYPE_ROTATION_VECTOR	0.018509833	0.07333909	0.30404395
1560760955258	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-50.64392	-361.43494
1560760955258	TYPE_GYROSCOPE_UNCALIBRATED	-0.30110168	-0.055252075	-0.058303833
1560760955258	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7879791	0.82437134	9.735092
1560760955278	TYPE_ACCELEROMETER	-0.6808319	0.83454895	9.691391
1560760955278	TYPE_MAGNETIC_FIELD	22.451782	25.686646	-26.055908
1560760955278	TYPE_GYROSCOPE	-0.27963257	-0.059036255	-0.06777954
1560760955278	TYPE_ROTATION_VECTOR	0.01789604	0.068393126	0.3061482
1560760955278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-50.64392	-361.43494
1560760955278	TYPE_GYROSCOPE_UNCALIBRATED	-0.30110168	-0.055252075	-0.058303833
1560760955278	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7879791	0.82437134	9.735092
1560760955297	TYPE_ACCELEROMETER	-0.8681793	0.9063721	9.668045
1560760955297	TYPE_MAGNETIC_FIELD	22.451782	25.686646	-26.055908
1560760955297	TYPE_GYROSCOPE	-0.1960144	-0.008422852	-0.08961487
1560760955297	TYPE_ROTATION_VECTOR	0.01797656	0.06462867	0.30728042
1560760955297	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.334595	-49.9588	-360.76813
1560760955297	TYPE_GYROSCOPE_UNCALIBRATED	-0.23876953	-0.038208008	-0.076416016
1560760955297	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6808319	0.83454895	9.691391
1560760955317	TYPE_ACCELEROMETER	-1.0639038	0.96084595	9.939194
1560760955317	TYPE_MAGNETIC_FIELD	22.451782	25.001526	-24.725342
1560760955317	TYPE_GYROSCOPE	-0.13795471	0.052825928	-0.08642578
1560760955317	TYPE_ROTATION_VECTOR	0.018264007	0.06370802	0.30691117
1560760955317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.334595	-50.64392	-359.43756
1560760955317	TYPE_GYROSCOPE_UNCALIBRATED	-0.16101074	0.030517578	-0.09133911
1560760955317	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8681793	0.9063721	9.668045
1560760955337	TYPE_ACCELEROMETER	-1.104599	1.0075226	9.971512
1560760955337	TYPE_MAGNETIC_FIELD	22.451782	25.001526	-24.725342
1560760955337	TYPE_GYROSCOPE	-0.08149719	0.025665283	-0.06564331
1560760955337	TYPE_ROTATION_VECTOR	0.018797096	0.063890934	0.30604345
1560760955337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-77.334595	-50.64392	-359.43756
1560760955337	TYPE_GYROSCOPE_UNCALIBRATED	-0.038497925	-0.011047363	-0.053512573
1560760955337	TYPE_ACCELEROMETER_UNCALIBRATED	-1.104599	1.0075226	9.971512
1560760955357	TYPE_ACCELEROMETER	-0.94898987	1.1038971	9.791351
1560760955357	TYPE_MAGNETIC_FIELD	21.768188	25.001526	-26.055908
1560760955357	TYPE_GYROSCOPE	0.0021209717	-0.05583191	-0.045410156
1560760955357	TYPE_ROTATION_VECTOR	0.020250326	0.063815475	0.30497253
1560760955357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.01819	-50.64392	-360.76813
1560760955357	TYPE_GYROSCOPE_UNCALIBRATED	0.03765869	-0.09094238	-0.03540039
1560760955357	TYPE_ACCELEROMETER_UNCALIBRATED	-0.94898987	1.1038971	9.791351
1560760955377	TYPE_ACCELEROMETER	-0.8370514	1.3032074	9.772202
1560760955377	TYPE_MAGNETIC_FIELD	21.083069	24.317932	-25.390625
