#	startTime:1560761512960
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560761512960	TYPE_WAYPOINT	315.64243	172.52432
1560761513081	TYPE_ACCELEROMETER	-0.9412079	1.2349854	9.556717
1560761513081	TYPE_MAGNETIC_FIELD	-7.659912	-30.432129	-26.722717
1560761513081	TYPE_GYROSCOPE	-0.11451721	-0.115493774	-0.032089233
1560761513081	TYPE_ROTATION_VECTOR	0.0670418	-0.051481392	-0.97659427
1560761513081	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.077576	-361.43494
1560761513081	TYPE_GYROSCOPE_UNCALIBRATED	-0.10241699	-0.07601929	-0.023162842
1560761513081	TYPE_ACCELEROMETER_UNCALIBRATED	-0.99687195	1.2086487	9.645309
1560761513101	TYPE_ACCELEROMETER	-0.9334259	1.281662	9.417252
1560761513101	TYPE_MAGNETIC_FIELD	-6.9763184	-30.432129	-28.053284
1560761513101	TYPE_GYROSCOPE	-0.094818115	-0.08885193	-0.03955078
1560761513101	TYPE_ROTATION_VECTOR	0.06454362	-0.05139738	-0.97712094
1560761513101	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.762695	-106.077576	-362.7655
1560761513101	TYPE_GYROSCOPE_UNCALIBRATED	-0.10775757	-0.11277771	-0.037002563
1560761513101	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9412079	1.2349854	9.556717
1560761513121	TYPE_ACCELEROMETER	-0.9136658	1.2666931	9.529785
1560761513121	TYPE_MAGNETIC_FIELD	-7.659912	-31.117249	-28.053284
1560761513121	TYPE_GYROSCOPE	-0.08149719	-0.016418457	-0.028366089
1560761513121	TYPE_ROTATION_VECTOR	0.06363596	-0.051800683	-0.97729045
1560761513121	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.762695	-362.7655
1560761513121	TYPE_GYROSCOPE_UNCALIBRATED	-0.08590698	-0.052581787	-0.03327942
1560761513121	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9334259	1.281662	9.417252
1560761513141	TYPE_ACCELEROMETER	-0.9142761	1.2463531	9.782379
1560761513141	TYPE_MAGNETIC_FIELD	-8.345032	-31.117249	-26.722717
1560761513141	TYPE_GYROSCOPE	-0.08416748	0.02885437	-0.025161743
1560761513141	TYPE_ROTATION_VECTOR	0.06301043	-0.051673405	-0.9774779
1560761513141	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.13141	-106.762695	-361.43494
1560761513141	TYPE_GYROSCOPE_UNCALIBRATED	-0.07897949	0.0209198	-0.02368164
1560761513141	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9136658	1.2666931	9.529785
1560761513160	TYPE_ACCELEROMETER	-0.92025757	1.1966705	9.96373
1560761513160	TYPE_MAGNETIC_FIELD	-7.659912	-30.432129	-27.388
1560761513160	TYPE_GYROSCOPE	-0.10760498	-0.021743774	-0.03741455
1560761513160	TYPE_ROTATION_VECTOR	0.061856646	-0.05102224	-0.9777856
1560761513160	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.077576	-362.10022
1560761513160	TYPE_GYROSCOPE_UNCALIBRATED	-0.1104126	-0.053115845	-0.04286194
1560761513160	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92025757	1.1966705	9.96373
1560761513180	TYPE_ACCELEROMETER	-0.9627533	1.1972656	9.96553
1560761513180	TYPE_MAGNETIC_FIELD	-7.659912	-30.432129	-27.388
1560761513180	TYPE_GYROSCOPE	-0.10813904	-0.08140564	-0.05126953
1560761513180	TYPE_ROTATION_VECTOR	0.06027661	-0.05006898	-0.9781593
1560761513180	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.077576	-362.10022
1560761513180	TYPE_GYROSCOPE_UNCALIBRATED	-0.1104126	-0.053115845	-0.04286194
1560761513180	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92025757	1.1966705	9.96373
1560761513200	TYPE_ACCELEROMETER	-0.9878998	1.1847076	10.026581
1560761513200	TYPE_MAGNETIC_FIELD	-8.345032	-29.748535	-28.053284
1560761513200	TYPE_GYROSCOPE	-0.094818115	-0.092056274	-0.053390503
1560761513200	TYPE_ROTATION_VECTOR	0.05914373	-0.04928061	-0.9783564
1560761513200	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.13141	-105.39398	-362.7655
1560761513200	TYPE_GYROSCOPE_UNCALIBRATED	-0.10243225	-0.090408325	-0.052978516
1560761513200	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9627533	1.1972656	9.96553
1560761513220	TYPE_ACCELEROMETER	-0.981308	1.1864929	10.037949
1560761513220	TYPE_MAGNETIC_FIELD	-8.345032	-30.432129	-27.388
1560761513220	TYPE_GYROSCOPE	-0.06712341	-0.07873535	-0.0491333
1560761513220	TYPE_ROTATION_VECTOR	0.05837646	-0.048677273	-0.9785068
1560761513220	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.13141	-106.077576	-362.10022
1560761513220	TYPE_GYROSCOPE_UNCALIBRATED	-0.08325195	-0.08294678	-0.04978943
1560761513220	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9878998	1.1847076	10.026581
1560761513240	TYPE_ACCELEROMETER	-0.9519806	1.1739349	9.902084
1560761513240	TYPE_MAGNETIC_FIELD	-6.2911987	-29.748535	-26.055908
1560761513240	TYPE_GYROSCOPE	-0.028244019	-0.06594849	-0.04168701
1560761513240	TYPE_ROTATION_VECTOR	0.057786386	-0.048500225	-0.9787117
1560761513240	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-105.39398	-360.76813
1560761513240	TYPE_GYROSCOPE_UNCALIBRATED	-0.04649353	-0.07122803	-0.04446411
1560761513240	TYPE_ACCELEROMETER_UNCALIBRATED	-0.981308	1.1864929	10.037949
1560761513260	TYPE_ACCELEROMETER	-0.9477844	1.19487	9.790161
1560761513260	TYPE_MAGNETIC_FIELD	-7.659912	-29.063416	-27.388
1560761513260	TYPE_GYROSCOPE	-0.009597778	-0.059570312	-0.036346436
1560761513260	TYPE_ROTATION_VECTOR	0.057278585	-0.048502848	-0.97880447
1560761513260	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-104.70886	-362.10022
1560761513260	TYPE_GYROSCOPE_UNCALIBRATED	-0.014541626	-0.057388306	-0.036468506
1560761513260	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9519806	1.1739349	9.902084
1560761513279	TYPE_ACCELEROMETER	-0.9771118	1.1170654	9.650696
1560761513279	TYPE_MAGNETIC_FIELD	-9.0286255	-29.748535	-28.718567
1560761513279	TYPE_GYROSCOPE	-0.01171875	-0.07766724	-0.039016724
1560761513279	TYPE_ROTATION_VECTOR	0.05670958	-0.048617505	-0.9788163
1560761513279	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-105.39398	-363.4308
1560761513279	TYPE_GYROSCOPE_UNCALIBRATED	-0.009216309	-0.064834595	-0.03540039
1560761513279	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9477844	1.19487	9.790161
1560761513299	TYPE_ACCELEROMETER	-1.0315857	1.0727692	9.657272
1560761513299	TYPE_MAGNETIC_FIELD	-7.659912	-29.748535	-26.722717
1560761513299	TYPE_GYROSCOPE	-0.019180298	-0.08778381	-0.0491333
1560761513299	TYPE_ROTATION_VECTOR	0.056161948	-0.04843268	-0.978929
1560761513299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-105.39398	-361.43494
1560761513299	TYPE_GYROSCOPE_UNCALIBRATED	-0.010284424	-0.08773804	-0.052444458
1560761513299	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0315857	1.0727692	9.657272
1560761513319	TYPE_ACCELEROMETER	-0.96813965	1.2002563	9.201187
1560761513319	TYPE_MAGNETIC_FIELD	-7.659912	-31.117249	-27.388
1560761513319	TYPE_GYROSCOPE	0.004257202	-0.09577942	-0.05392456
1560761513319	TYPE_ROTATION_VECTOR	0.055750445	-0.04830893	-0.9790429
1560761513319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.762695	-362.10022
1560761513319	TYPE_GYROSCOPE_UNCALIBRATED	-0.010284424	-0.08773804	-0.052444458
1560761513319	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0315857	1.0727692	9.657272
1560761513339	TYPE_ACCELEROMETER	-0.8729706	1.2696838	8.933624
1560761513339	TYPE_MAGNETIC_FIELD	-7.659912	-31.117249	-28.718567
1560761513339	TYPE_GYROSCOPE	-0.014389038	-0.082473755	-0.045410156
1560761513339	TYPE_ROTATION_VECTOR	0.055465344	-0.048587993	-0.9790681
1560761513339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.762695	-363.4308
1560761513339	TYPE_GYROSCOPE_UNCALIBRATED	0.008377075	-0.09359741	-0.048187256
1560761513339	TYPE_ACCELEROMETER_UNCALIBRATED	-0.96813965	1.2002563	9.201187
1560761513359	TYPE_ACCELEROMETER	-0.96813965	1.3355255	9.27121
1560761513359	TYPE_MAGNETIC_FIELD	-4.9224854	-30.432129	-27.388
1560761513359	TYPE_GYROSCOPE	-0.120910645	-0.06329346	-0.045928955
1560761513359	TYPE_ROTATION_VECTOR	0.054966815	-0.04820179	-0.97925943
1560761513359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-106.077576	-362.10022
1560761513359	TYPE_GYROSCOPE_UNCALIBRATED	-0.061935425	-0.06271362	-0.043395996
1560761513359	TYPE_ACCELEROMETER_UNCALIBRATED	-0.96813965	1.3355255	9.27121
1560761513378	TYPE_ACCELEROMETER	-0.92085266	1.4085541	9.601013
1560761513378	TYPE_MAGNETIC_FIELD	-7.659912	-30.432129	-29.385376
1560761513378	TYPE_GYROSCOPE	-0.21891785	-0.12081909	-0.04168701
1560761513378	TYPE_ROTATION_VECTOR	0.054015283	-0.04699526	-0.9793173
1560761513378	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-106.077576	-364.0976
1560761513378	TYPE_GYROSCOPE_UNCALIBRATED	-0.1769867	-0.08294678	-0.043930054
1560761513378	TYPE_ACCELEROMETER_UNCALIBRATED	-0.96813965	1.3355255	9.27121
1560761513398	TYPE_ACCELEROMETER	-0.68382263	1.4803925	9.432816
1560761513398	TYPE_MAGNETIC_FIELD	-9.0286255	-30.432129	-28.053284
1560761513398	TYPE_GYROSCOPE	-0.22903442	-0.1719513	-0.027297974
1560761513398	TYPE_ROTATION_VECTOR	0.05241034	-0.04594259	-0.97934514
1560761513398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-106.077576	-362.7655
1560761513398	TYPE_GYROSCOPE_UNCALIBRATED	-0.22225952	-0.16017151	-0.023147583
1560761513398	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68382263	1.4803925	9.432816
1560761513418	TYPE_ACCELEROMETER	-0.5246124	1.5599823	9.483688
1560761513418	TYPE_MAGNETIC_FIELD	-6.9763184	-31.800842	-27.388
1560761513418	TYPE_GYROSCOPE	-0.22317505	-0.13945007	-0.02355957
1560761513418	TYPE_ROTATION_VECTOR	0.050607022	-0.04528686	-0.979547
1560761513418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.762695	-107.44629	-362.10022
1560761513418	TYPE_GYROSCOPE_UNCALIBRATED	-0.22225952	-0.16017151	-0.023147583
1560761513418	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68382263	1.4803925	9.432816
1560761513438	TYPE_ACCELEROMETER	-0.50964355	1.5162964	9.557907
1560761513438	TYPE_MAGNETIC_FIELD	-8.345032	-29.748535	-27.388
1560761513438	TYPE_GYROSCOPE	-0.23596191	-0.11175537	-0.028900146
1560761513438	TYPE_ROTATION_VECTOR	0.048778046	-0.04467581	-0.9797004
1560761513438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.13141	-105.39398	-362.10022
1560761513438	TYPE_GYROSCOPE_UNCALIBRATED	-0.24197388	-0.097335815	-0.03274536
1560761513438	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50964355	1.5162964	9.557907
1560761513458	TYPE_ACCELEROMETER	-0.71195984	1.3876038	9.757828
1560761513458	TYPE_MAGNETIC_FIELD	-6.9763184	-29.748535	-27.388
1560761513458	TYPE_GYROSCOPE	-0.24661255	-0.07980347	-0.03475952
1560761513458	TYPE_ROTATION_VECTOR	0.047239285	-0.043776114	-0.9799247
1560761513458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.762695	-105.39398	-362.10022
1560761513458	TYPE_GYROSCOPE_UNCALIBRATED	-0.24197388	-0.097335815	-0.03274536
1560761513458	TYPE_ACCELEROMETER_UNCALIBRATED	-0.71195984	1.3876038	9.757828
1560761513477	TYPE_ACCELEROMETER	-0.7322998	1.0057373	10.249847
1560761513477	TYPE_MAGNETIC_FIELD	-6.9763184	-29.063416	-28.718567
1560761513477	TYPE_GYROSCOPE	-0.24075317	-0.04624939	-0.012390137
1560761513477	TYPE_ROTATION_VECTOR	0.046458833	-0.04243637	-0.9800132
1560761513477	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.762695	-104.70886	-363.4308
1560761513477	TYPE_GYROSCOPE_UNCALIBRATED	-0.22172546	-0.048324585	-0.0034484863
1560761513477	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7322998	1.0057373	10.249847
1560761513497	TYPE_ACCELEROMETER	-0.77659607	0.771698	10.390503
1560761513497	TYPE_MAGNETIC_FIELD	-9.0286255	-29.063416	-26.722717
1560761513497	TYPE_GYROSCOPE	-0.1917572	-0.068618774	-0.008651733
1560761513497	TYPE_ROTATION_VECTOR	0.045375843	-0.040721275	-0.98015124
1560761513497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-104.70886	-361.43494
1560761513497	TYPE_GYROSCOPE_UNCALIBRATED	-0.14663696	-0.07496643	-0.014099121
1560761513497	TYPE_ACCELEROMETER_UNCALIBRATED	-0.77659607	0.771698	10.390503
1560761513517	TYPE_ACCELEROMETER	-0.9986572	0.7351837	10.133728
1560761513517	TYPE_MAGNETIC_FIELD	-9.0286255	-27.694702	-28.053284
1560761513517	TYPE_GYROSCOPE	-0.092681885	-0.06542969	-0.015579224
1560761513517	TYPE_ROTATION_VECTOR	0.04452931	-0.039484445	-0.98027265
1560761513517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-103.34015	-362.7655
1560761513517	TYPE_GYROSCOPE_UNCALIBRATED	-0.14663696	-0.07496643	-0.014099121
1560761513517	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9986572	0.7351837	10.133728
1560761513537	TYPE_ACCELEROMETER	-0.99687195	0.7304077	9.638718
1560761513537	TYPE_MAGNETIC_FIELD	-6.2911987	-29.063416	-27.388
1560761513537	TYPE_GYROSCOPE	-0.010131836	-0.021743774	0.02331543
1560761513537	TYPE_ROTATION_VECTOR	0.044739034	-0.038880773	-0.98014116
1560761513537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-104.70886	-362.10022
1560761513537	TYPE_GYROSCOPE_UNCALIBRATED	-0.040634155	-0.042999268	-2.4414062E-4
1560761513537	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9986572	0.7351837	10.133728
1560761513557	TYPE_ACCELEROMETER	-0.9328308	0.60350037	9.559708
1560761513557	TYPE_MAGNETIC_FIELD	-7.659912	-29.063416	-28.053284
1560761513557	TYPE_GYROSCOPE	-0.036224365	0.016082764	0.07498169
1560761513557	TYPE_ROTATION_VECTOR	0.0452659	-0.038121264	-0.9800247
1560761513557	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-107.44629	-104.70886	-362.7655
1560761513557	TYPE_GYROSCOPE_UNCALIBRATED	-0.07472229	0.016662598	0.094573975
1560761513557	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9328308	0.60350037	9.559708
1560761513576	TYPE_ACCELEROMETER	-0.80532837	0.40597534	9.732086
1560761513576	TYPE_MAGNETIC_FIELD	-9.0286255	-29.063416	-25.390625
1560761513576	TYPE_GYROSCOPE	-0.113983154	-0.009490967	0.106933594
1560761513576	TYPE_ROTATION_VECTOR	0.04522645	-0.036535706	-0.97987694
