#	startTime:1560762195727
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c475f1097cf00130c939d	FloorName:B1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560762195728	TYPE_WAYPOINT	299.5293	127.761024
1560762195857	TYPE_ACCELEROMETER	-1.0220032	1.2236023	9.711746
1560762195857	TYPE_MAGNETIC_FIELD	19.371033	-34.529114	-27.220154
1560762195857	TYPE_GYROSCOPE	0.0053253174	-0.0030975342	0.052078247
1560762195857	TYPE_ROTATION_VECTOR	-0.04372507	0.07049781	0.9785751
1560762195857	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.01819	-111.55243	-364.76288
1560762195857	TYPE_GYROSCOPE_UNCALIBRATED	0.005706787	-9.1552734E-4	0.05355835
1560762195857	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0860596	1.2266083	9.815887
1560762195877	TYPE_ACCELEROMETER	-1.0465546	1.2559204	9.675232
1560762195877	TYPE_MAGNETIC_FIELD	16.633606	-35.214233	-27.885437
1560762195877	TYPE_GYROSCOPE	0.019699097	0.04750061	0.06486511
1560762195877	TYPE_ROTATION_VECTOR	-0.04372507	0.07049781	0.9785751
1560762195877	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-80.755615	-112.23755	-365.42816
1560762195877	TYPE_GYROSCOPE_UNCALIBRATED	0.020080566	0.049682617	0.066345215
1560762195877	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0022583	1.218811	9.653687
1560762195897	TYPE_ACCELEROMETER	-1.0507355	1.2954254	9.763809
1560762195897	TYPE_MAGNETIC_FIELD	16.633606	-35.897827	-25.888062
1560762195897	TYPE_GYROSCOPE	-0.008529663	0.026733398	0.08190918
1560762195897	TYPE_ROTATION_VECTOR	-0.043318275	0.07130938	0.97850317
1560762195897	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-80.755615	-112.92114	-363.4308
1560762195897	TYPE_GYROSCOPE_UNCALIBRATED	-0.008148193	0.028915405	0.08338928
