#	startTime:1560763189764
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763189765	TYPE_WAYPOINT	319.91193	146.1303
1560763189888	TYPE_ACCELEROMETER	-0.12815857	-0.19120789	10.784607
1560763189888	TYPE_MAGNETIC_FIELD	-6.436157	-24.043274	-27.612305
1560763189888	TYPE_GYROSCOPE	-0.22624207	-0.5097656	0.084991455
1560763189888	TYPE_ROTATION_VECTOR	0.010984627	0.0110319555	-0.98847836
1560763189888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-50.587463	-125.28229	-361.4441
1560763189888	TYPE_GYROSCOPE_UNCALIBRATED	-0.4113617	-0.52711487	0.109558105
1560763189888	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12815857	-0.19120789	10.784607
1560763189908	TYPE_ACCELEROMETER	-0.09463501	-0.15170288	10.248306
1560763189908	TYPE_MAGNETIC_FIELD	-7.1487427	-24.043274	-27.612305
1560763189908	TYPE_GYROSCOPE	-0.064315796	-0.43093872	0.05142212
1560763189908	TYPE_ROTATION_VECTOR	0.0053358967	0.011799475	-0.9884251
1560763189908	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.30005	-125.28229	-361.4441
1560763189908	TYPE_GYROSCOPE_UNCALIBRATED	-0.22868347	-0.5100708	0.086120605
1560763189908	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12815857	-0.19120789	10.784607
1560763189928	TYPE_ACCELEROMETER	-0.07009888	-0.07029724	9.65155
1560763189928	TYPE_MAGNETIC_FIELD	-7.1487427	-24.043274	-26.223755
1560763189928	TYPE_GYROSCOPE	-0.005722046	-0.33772278	0.043441772
1560763189928	TYPE_ROTATION_VECTOR	-0.0011877487	0.009633105	-0.98811305
1560763189928	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.30005	-125.28229	-360.05554
1560763189928	TYPE_GYROSCOPE_UNCALIBRATED	-0.008163452	-0.33802795	0.044570923
1560763189928	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07009888	-0.07029724	9.65155
1560763189948	TYPE_ACCELEROMETER	-0.0443573	0.08772278	9.305588
1560763189948	TYPE_MAGNETIC_FIELD	-7.861328	-23.335266	-26.91803
1560763189948	TYPE_GYROSCOPE	-0.03982544	-0.2615509	0.045578003
1560763189948	TYPE_ROTATION_VECTOR	-0.0029727947	0.007852668	-0.98786
1560763189948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.012634	-124.57428	-360.74982
1560763189948	TYPE_GYROSCOPE_UNCALIBRATED	-0.042266846	-0.26185608	0.046707153
