#	startTime:1560763097199
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763097199	TYPE_WAYPOINT	310.37262	122.44751
1560763097327	TYPE_ACCELEROMETER	1.0605621	-0.7987366	10.595474
1560763097327	TYPE_MAGNETIC_FIELD	-32.08618	9.223938	-31.080627
1560763097327	TYPE_GYROSCOPE	-0.37963867	-0.002166748	-0.26708984
1560763097327	TYPE_ROTATION_VECTOR	-0.059972342	-0.04020864	-0.5924151
1560763097327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-92.015076	-364.9124
1560763097327	TYPE_GYROSCOPE_UNCALIBRATED	-0.39378357	-0.082901	-0.2936554
1560763097327	TYPE_ACCELEROMETER_UNCALIBRATED	1.2269592	-0.7077484	10.725952
1560763097347	TYPE_ACCELEROMETER	0.7720642	-0.7640228	10.30098
1560763097347	TYPE_MAGNETIC_FIELD	-32.08618	9.223938	-30.386353
1560763097347	TYPE_GYROSCOPE	-0.32743835	0.20184326	-0.24046326
1560763097347	TYPE_ROTATION_VECTOR	-0.060722746	-0.031314757	-0.598466
1560763097347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-92.015076	-364.21814
1560763097347	TYPE_GYROSCOPE_UNCALIBRATED	-0.35598755	0.098739624	-0.24784851
1560763097347	TYPE_ACCELEROMETER_UNCALIBRATED	0.9079437	-0.8340454	10.454803
1560763097367	TYPE_ACCELEROMETER	0.64697266	-0.59103394	9.922699
1560763097367	TYPE_MAGNETIC_FIELD	-32.798767	9.931946	-31.080627
1560763097367	TYPE_GYROSCOPE	-0.2768402	0.31582642	-0.2564392
1560763097367	TYPE_ROTATION_VECTOR	-0.058640637	-0.023952363	-0.6021856
1560763097367	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-92.015076	-364.21814
1560763097367	TYPE_GYROSCOPE_UNCALIBRATED	-0.30537415	0.27664185	-0.24305725
1560763097367	TYPE_ACCELEROMETER_UNCALIBRATED	0.68647766	-0.6604614	10.100464
1560763097387	TYPE_ACCELEROMETER	0.5170746	-0.4689331	9.625809
1560763097387	TYPE_MAGNETIC_FIELD	-32.08618	9.931946	-30.386353
1560763097387	TYPE_GYROSCOPE	-0.22038269	0.30303955	-0.29638672
1560763097387	TYPE_ROTATION_VECTOR	-0.055936705	-0.018586006	-0.6048289
1560763097387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-91.30707	-364.21814
1560763097387	TYPE_GYROSCOPE_UNCALIBRATED	-0.25212097	0.3245697	-0.27235413
1560763097387	TYPE_ACCELEROMETER_UNCALIBRATED	0.5841217	-0.5335846	9.791611
1560763097407	TYPE_ACCELEROMETER	0.47099304	-0.31210327	9.378006
1560763097407	TYPE_MAGNETIC_FIELD	-32.08618	8.51593	-31.774902
1560763097407	TYPE_GYROSCOPE	-0.13995361	0.21568298	-0.34751892
1560763097407	TYPE_ROTATION_VECTOR	-0.052969158	-0.01534534	-0.6070076
1560763097407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-92.72308	-365.6067
1560763097407	TYPE_GYROSCOPE_UNCALIBRATED	-0.18606567	0.25852966	-0.32029724
1560763097407	TYPE_ACCELEROMETER_UNCALIBRATED	0.49913025	-0.39291382	9.466003
1560763097427	TYPE_ACCELEROMETER	0.34649658	-0.24687195	9.321747
1560763097427	TYPE_MAGNETIC_FIELD	-34.223938	9.931946	-32.46765
1560763097427	TYPE_GYROSCOPE	-0.08988953	0.13206482	-0.40078735
1560763097427	TYPE_ROTATION_VECTOR	-0.049854126	-0.013453685	-0.6094529
1560763097427	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.375244	-91.30707	-366.29944
1560763097427	TYPE_GYROSCOPE_UNCALIBRATED	-0.10723877	0.17703247	-0.37355042
1560763097427	TYPE_ACCELEROMETER_UNCALIBRATED	0.399765	-0.25883484	9.328934
1560763097447	TYPE_ACCELEROMETER	0.38659668	-0.2821808	9.448639
1560763097447	TYPE_MAGNETIC_FIELD	-32.798767	10.638428	-31.080627
1560763097447	TYPE_GYROSCOPE	-0.10266113	0.036193848	-0.4348755
