#	startTime:1560763261547
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763261547	TYPE_WAYPOINT	329.1907	128.22542
1560763261666	TYPE_ACCELEROMETER	-0.7596283	0.25891113	9.39238
1560763261666	TYPE_MAGNETIC_FIELD	37.739563	6.3919067	-18.592834
1560763261666	TYPE_GYROSCOPE	0.18656921	-0.5023041	0.31614685
1560763261666	TYPE_ROTATION_VECTOR	-0.02209374	0.0537699	0.64296144
1560763261666	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.411743	-94.84711	-352.42462
1560763261666	TYPE_GYROSCOPE_UNCALIBRATED	0.13778687	-0.4823761	0.30395508
1560763261666	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0828552	0.29542542	9.970581
1560763261686	TYPE_ACCELEROMETER	-0.5142212	0.2858429	8.973389
1560763261686	TYPE_MAGNETIC_FIELD	36.314392	4.269409	-19.28711
1560763261686	TYPE_GYROSCOPE	0.16685486	-0.46768188	0.30656433
1560763261686	TYPE_ROTATION_VECTOR	-0.016900677	0.048487235	0.6461987
1560763261686	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.836914	-96.969604	-353.1189
1560763261686	TYPE_GYROSCOPE_UNCALIBRATED	0.18412781	-0.50260925	0.317276
1560763261686	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7596283	0.25891113	9.39238
1560763261706	TYPE_ACCELEROMETER	-0.24247742	0.36724854	8.898575
1560763261706	TYPE_MAGNETIC_FIELD	37.026978	4.269409	-21.368408
1560763261706	TYPE_GYROSCOPE	0.09121704	-0.4202881	0.2852478
1560763261706	TYPE_ROTATION_VECTOR	-0.011402024	0.043496158	0.64939004
1560763261706	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1243286	-96.969604	-355.2002
1560763261706	TYPE_GYROSCOPE_UNCALIBRATED	0.088775635	-0.42059326	0.28637695
1560763261706	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24247742	0.36724854	8.898575
1560763261726	TYPE_ACCELEROMETER	-0.09164429	0.31637573	9.134399
1560763261726	TYPE_MAGNETIC_FIELD	37.739563	5.683899	-19.28711
1560763261726	TYPE_GYROSCOPE	0.06298828	-0.3776703	0.2655487
1560763261726	TYPE_ROTATION_VECTOR	-0.00562908	0.038297113	0.65204096
1560763261726	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.411743	-95.555115	-353.1189
1560763261726	TYPE_GYROSCOPE_UNCALIBRATED	0.088775635	-0.42059326	0.28637695
1560763261726	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09164429	0.31637573	9.134399
1560763261746	TYPE_ACCELEROMETER	0.018478394	0.18887329	9.407349
1560763261746	TYPE_MAGNETIC_FIELD	36.314392	4.269409	-20.674133
1560763261746	TYPE_GYROSCOPE	0.071517944	-0.3441162	0.2612915
1560763261746	TYPE_ROTATION_VECTOR	-9.135994E-4	0.033047196	0.6544607
1560763261746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.836914	-96.969604	-354.50592
1560763261746	TYPE_GYROSCOPE_UNCALIBRATED	0.06907654	-0.3444214	0.26242065
1560763261746	TYPE_ACCELEROMETER_UNCALIBRATED	0.018478394	0.18887329	9.407349
1560763261766	TYPE_ACCELEROMETER	-0.0030517578	0.02128601	9.868225
1560763261766	TYPE_MAGNETIC_FIELD	37.026978	4.269409	-22.062683
1560763261766	TYPE_GYROSCOPE	0.08003235	-0.36967468	0.2570343
1560763261766	TYPE_ROTATION_VECTOR	0.0027110064	0.02784572	0.6573734
1560763261766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1243286	-96.969604	-355.89447
1560763261766	TYPE_GYROSCOPE_UNCALIBRATED	0.06907654	-0.3444214	0.26242065
1560763261766	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0030517578	0.02128601	9.868225
1560763261786	TYPE_ACCELEROMETER	0.2626953	-0.06790161	10.067551
1560763261786	TYPE_MAGNETIC_FIELD	35.601807	5.683899	-20.674133
1560763261786	TYPE_GYROSCOPE	0.14181519	-0.47886658	0.24157715
1560763261786	TYPE_ROTATION_VECTOR	0.0052104956	0.022766866	0.66049635
1560763261786	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.5494995	-95.555115	-354.50592
