#	startTime:1560763282958
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763282959	TYPE_WAYPOINT	320.78595	128.08257
1560763283080	TYPE_ACCELEROMETER	-0.54893494	0.07035828	9.839508
1560763283080	TYPE_MAGNETIC_FIELD	26.338196	20.549011	-42.181396
1560763283080	TYPE_GYROSCOPE	-0.29493713	-0.10443115	0.12387085
1560763283080	TYPE_ROTATION_VECTOR	0.008016687	0.02915751	0.41667607
1560763283080	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-80.69	-376.01318
1560763283080	TYPE_GYROSCOPE_UNCALIBRATED	-0.29100037	-0.18249512	0.11860657
1560763283080	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5046387	0.20861816	9.685074
1560763283100	TYPE_ACCELEROMETER	-0.6542969	-0.10681152	10.160919
1560763283100	TYPE_MAGNETIC_FIELD	26.338196	21.255493	-41.48712
1560763283100	TYPE_GYROSCOPE	-0.27790833	-0.01121521	0.118011475
1560763283100	TYPE_ROTATION_VECTOR	0.0019683477	0.0272769	0.41932935
1560763283100	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-79.98352	-375.3189
1560763283100	TYPE_GYROSCOPE_UNCALIBRATED	-0.29737854	-0.10473633	0.125
1560763283100	TYPE_ACCELEROMETER_UNCALIBRATED	-0.60102844	-0.04096985	10.005905
1560763283120	TYPE_ACCELEROMETER	-0.72073364	-0.15229797	10.333298
1560763283120	TYPE_MAGNETIC_FIELD	26.338196	20.549011	-40.100098
1560763283120	TYPE_GYROSCOPE	-0.20973206	0.03779602	0.113220215
1560763283120	TYPE_ROTATION_VECTOR	-0.0041917213	0.026500186	0.42189518
1560763283120	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-80.69	-373.9319
1560763283120	TYPE_GYROSCOPE_UNCALIBRATED	-0.28034973	-0.011520386	0.119140625
1560763283120	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69918823	-0.12954712	10.274643
1560763283140	TYPE_ACCELEROMETER	-0.6255646	-0.14511108	10.277039
1560763283140	TYPE_MAGNETIC_FIELD	25.62561	19.841003	-42.874146
1560763283140	TYPE_GYROSCOPE	-0.0957489	0.039382935	0.10575867
1560763283140	TYPE_ROTATION_VECTOR	-0.008530018	0.026642106	0.42368567
1560763283140	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-81.39801	-376.70593
1560763283140	TYPE_GYROSCOPE_UNCALIBRATED	-0.21217346	0.037490845	0.114349365
1560763283140	TYPE_ACCELEROMETER_UNCALIBRATED	-0.69200134	-0.17025757	10.350052
1560763283160	TYPE_ACCELEROMETER	-0.5501404	-0.06970215	9.923889
1560763283160	TYPE_MAGNETIC_FIELD	27.050781	20.549011	-40.100098
1560763283160	TYPE_GYROSCOPE	-0.05419922	-0.019744873	0.094573975
1560763283160	TYPE_ROTATION_VECTOR	-0.010641398	0.026242916	0.42562145
1560763283160	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.100525	-80.69	-373.9319
1560763283160	TYPE_GYROSCOPE_UNCALIBRATED	-0.09819031	0.03907776	0.10688782
1560763283160	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57229614	-0.10380554	10.1106415
1560763283180	TYPE_ACCELEROMETER	-0.40229797	-0.11099243	9.761078
1560763283180	TYPE_MAGNETIC_FIELD	25.62561	20.549011	-40.100098
1560763283180	TYPE_GYROSCOPE	-0.115448	-0.06713867	0.10522461
1560763283180	TYPE_ROTATION_VECTOR	-0.011618627	0.025212605	0.42675406
1560763283180	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-80.69	-373.9319
1560763283180	TYPE_GYROSCOPE_UNCALIBRATED	-0.056640625	-0.020050049	0.095703125
1560763283180	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50105286	-0.07449341	9.802383
1560763283200	TYPE_ACCELEROMETER	-0.2574463	-0.12835693	9.931076
1560763283200	TYPE_MAGNETIC_FIELD	27.763367	19.841003	-40.100098
1560763283200	TYPE_GYROSCOPE	-0.19215393	-0.09857178	0.12547302
1560763283200	TYPE_ROTATION_VECTOR	-0.012819105	0.022954077	0.42903712
1560763283200	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-81.39801	-373.9319
1560763283200	TYPE_GYROSCOPE_UNCALIBRATED	-0.117889404	-0.06744385	0.10635376
1560763283200	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31430054	-0.1265564	9.792801
1560763283220	TYPE_ACCELEROMETER	-0.16647339	-0.19299316	10.292603
1560763283220	TYPE_MAGNETIC_FIELD	27.050781	19.841003	-40.792847
1560763283220	TYPE_GYROSCOPE	-0.20227051	-0.10282898	0.13824463
1560763283220	TYPE_ROTATION_VECTOR	-0.0139915515	0.019851096	0.43158305
1560763283220	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.100525	-81.39801	-374.62463
1560763283220	TYPE_GYROSCOPE_UNCALIBRATED	-0.19459534	-0.09887695	0.12660217
1560763283220	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2215271	-0.15350342	10.116028
1560763283240	TYPE_ACCELEROMETER	0.023880005	-0.22531128	10.52005
1560763283240	TYPE_MAGNETIC_FIELD	26.338196	20.549011	-40.100098
1560763283240	TYPE_GYROSCOPE	-0.109054565	-0.1118927	0.13345337
1560763283240	TYPE_ROTATION_VECTOR	-0.014759204	0.016792586	0.43413118
