#	startTime:1560763782327
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763782328	TYPE_WAYPOINT	297.34967	145.39987
1560763782443	TYPE_ACCELEROMETER	1.9589844	-0.3390503	8.161163
1560763782443	TYPE_MAGNETIC_FIELD	-21.398926	15.592957	-33.161926
1560763782443	TYPE_GYROSCOPE	0.10293579	-0.35369873	-0.25590515
1560763782443	TYPE_ROTATION_VECTOR	-0.041117176	-0.10307444	-0.3726888
1560763782443	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.55023	-85.64606	-366.9937
1560763782443	TYPE_GYROSCOPE_UNCALIBRATED	0.19371033	-0.3140564	-0.059829712
1560763782443	TYPE_ACCELEROMETER_UNCALIBRATED	1.9589844	-0.3390503	8.161163
1560763782463	TYPE_ACCELEROMETER	1.5825043	-0.55152893	8.098907
1560763782463	TYPE_MAGNETIC_FIELD	-22.824097	14.886475	-31.080627
1560763782463	TYPE_GYROSCOPE	-0.030761719	-0.17953491	-0.37149048
1560763782463	TYPE_ROTATION_VECTOR	-0.041117176	-0.10307444	-0.3726888
1560763782463	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-86.35254	-364.9124
1560763782463	TYPE_GYROSCOPE_UNCALIBRATED	-0.033203125	-0.17984009	-0.37036133
1560763782463	TYPE_ACCELEROMETER_UNCALIBRATED	1.5825043	-0.55152893	8.098907
1560763782483	TYPE_ACCELEROMETER	1.3550568	-0.61917114	8.289246
1560763782483	TYPE_MAGNETIC_FIELD	-22.111511	15.592957	-31.774902
1560763782483	TYPE_GYROSCOPE	-0.17936707	-0.0090789795	-0.38000488
1560763782483	TYPE_ROTATION_VECTOR	-0.052839812	-0.0914633	-0.40030876
1560763782483	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-85.64606	-365.6067
1560763782483	TYPE_GYROSCOPE_UNCALIBRATED	-0.18180847	-0.009384155	-0.37887573
1560763782483	TYPE_ACCELEROMETER_UNCALIBRATED	1.3550568	-0.61917114	8.289246
1560763782503	TYPE_ACCELEROMETER	1.2030182	-0.5192108	8.474197
1560763782503	TYPE_MAGNETIC_FIELD	-24.961853	16.300964	-31.774902
1560763782503	TYPE_GYROSCOPE	-0.25979614	0.16349792	-0.35923767
1560763782503	TYPE_ROTATION_VECTOR	-0.052839812	-0.0914633	-0.40030876
1560763782503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.11316	-84.93805	-365.6067
1560763782503	TYPE_GYROSCOPE_UNCALIBRATED	-0.26223755	0.16319275	-0.35810852
1560763782503	TYPE_ACCELEROMETER_UNCALIBRATED	1.2030182	-0.5192108	8.474197
1560763782523	TYPE_ACCELEROMETER	1.1335907	-0.3210907	8.467026
1560763782523	TYPE_MAGNETIC_FIELD	-22.111511	14.178467	-31.080627
1560763782523	TYPE_GYROSCOPE	-0.27416992	0.24125671	-0.33366394
1560763782523	TYPE_ROTATION_VECTOR	-0.055237524	-0.08333603	-0.411651
1560763782523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-87.06055	-364.9124
1560763782523	TYPE_GYROSCOPE_UNCALIBRATED	-0.26223755	0.16319275	-0.35810852
1560763782523	TYPE_ACCELEROMETER_UNCALIBRATED	1.2030182	-0.5192108	8.474197
1560763782543	TYPE_ACCELEROMETER	1.088089	-0.087646484	8.364075
1560763782543	TYPE_MAGNETIC_FIELD	-23.536682	15.592957	-31.080627
1560763782543	TYPE_GYROSCOPE	-0.26298523	0.24446106	-0.33473206
1560763782543	TYPE_ROTATION_VECTOR	-0.05533227	-0.07650215	-0.41906515
1560763782543	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-85.64606	-364.9124
1560763782543	TYPE_GYROSCOPE_UNCALIBRATED	-0.27661133	0.24095154	-0.3325348
1560763782543	TYPE_ACCELEROMETER_UNCALIBRATED	1.088089	-0.087646484	8.364075
1560763782563	TYPE_ACCELEROMETER	0.941452	0.12004089	8.386215
1560763782563	TYPE_MAGNETIC_FIELD	-22.824097	16.300964	-29.693604
1560763782563	TYPE_GYROSCOPE	-0.27523804	0.18640137	-0.3310089
1560763782563	TYPE_ROTATION_VECTOR	-0.051531848	-0.0672764	-0.4265624
1560763782563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-84.93805	-363.5254
1560763782563	TYPE_GYROSCOPE_UNCALIBRATED	-0.27767944	0.18609619	-0.32987976
1560763782563	TYPE_ACCELEROMETER_UNCALIBRATED	0.941452	0.12004089	8.386215
1560763782583	TYPE_ACCELEROMETER	0.9109192	0.28346252	8.372452
1560763782583	TYPE_MAGNETIC_FIELD	-23.536682	14.886475	-33.161926
1560763782583	TYPE_GYROSCOPE	-0.29388428	0.15124512	-0.2868042
1560763782583	TYPE_ROTATION_VECTOR	-0.049204573	-0.064089134	-0.42847535
1560763782583	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-86.35254	-366.9937
1560763782583	TYPE_GYROSCOPE_UNCALIBRATED	-0.29632568	0.15093994	-0.28567505
1560763782583	TYPE_ACCELEROMETER_UNCALIBRATED	0.9109192	0.28346252	8.372452
1560763782603	TYPE_ACCELEROMETER	1.1060638	0.4109497	8.370651
1560763782603	TYPE_MAGNETIC_FIELD	-22.111511	16.300964	-31.774902
1560763782603	TYPE_GYROSCOPE	-0.31678772	0.12620544	-0.24790955
1560763782603	TYPE_ROTATION_VECTOR	-0.049204573	-0.064089134	-0.42847535
1560763782603	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-84.93805	-365.6067
1560763782603	TYPE_GYROSCOPE_UNCALIBRATED	-0.29632568	0.15093994	-0.28567505
1560763782603	TYPE_ACCELEROMETER_UNCALIBRATED	0.9109192	0.28346252	8.372452
1560763782623	TYPE_ACCELEROMETER	1.2628784	0.49893188	8.558594
1560763782623	TYPE_MAGNETIC_FIELD	-23.536682	14.178467	-31.080627
1560763782623	TYPE_GYROSCOPE	-0.35673523	0.13685608	-0.2399292
1560763782623	TYPE_ROTATION_VECTOR	-0.04742177	-0.062551364	-0.42779058
1560763782623	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-87.06055	-364.9124
1560763782623	TYPE_GYROSCOPE_UNCALIBRATED	-0.31922913	0.12590027	-0.2467804
1560763782623	TYPE_ACCELEROMETER_UNCALIBRATED	1.2628784	0.49893188	8.558594
1560763782644	TYPE_ACCELEROMETER	1.2479095	0.56536865	8.767487
1560763782644	TYPE_MAGNETIC_FIELD	-22.824097	16.300964	-32.46765
1560763782644	TYPE_GYROSCOPE	-0.3822937	0.17733765	-0.26283264
1560763782644	TYPE_ROTATION_VECTOR	-0.04622532	-0.061522216	-0.4271255
1560763782644	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-84.93805	-366.29944
1560763782644	TYPE_GYROSCOPE_UNCALIBRATED	-0.35917664	0.1365509	-0.23880005
1560763782644	TYPE_ACCELEROMETER_UNCALIBRATED	1.2628784	0.49893188	8.558594
1560763782664	TYPE_ACCELEROMETER	1.1144257	0.5480194	8.937485
1560763782664	TYPE_MAGNETIC_FIELD	-22.111511	15.592957	-30.386353
1560763782664	TYPE_GYROSCOPE	-0.37696838	0.23165894	-0.2761383
1560763782664	TYPE_ROTATION_VECTOR	-0.04371851	-0.057459965	-0.42602867
1560763782664	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-85.64606	-364.21814
1560763782664	TYPE_GYROSCOPE_UNCALIBRATED	-0.3794098	0.23135376	-0.27500916
1560763782664	TYPE_ACCELEROMETER_UNCALIBRATED	1.1144257	0.5480194	8.937485
1560763782684	TYPE_ACCELEROMETER	0.9384613	0.54263306	9.07695
1560763782684	TYPE_MAGNETIC_FIELD	-23.536682	15.592957	-32.46765
1560763782684	TYPE_GYROSCOPE	-0.36845398	0.25456238	-0.26922607
1560763782684	TYPE_ROTATION_VECTOR	-0.04233697	-0.05417074	-0.4268261
1560763782684	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-85.64606	-366.29944
1560763782684	TYPE_GYROSCOPE_UNCALIBRATED	-0.3708954	0.2542572	-0.26809692
1560763782684	TYPE_ACCELEROMETER_UNCALIBRATED	0.9384613	0.54263306	9.07695
1560763782704	TYPE_ACCELEROMETER	0.7822418	0.5486145	9.187073
1560763782704	TYPE_MAGNETIC_FIELD	-23.536682	15.592957	-32.46765
1560763782704	TYPE_GYROSCOPE	-0.37857056	0.24125671	-0.25590515
1560763782704	TYPE_ROTATION_VECTOR	-0.04233697	-0.05417074	-0.4268261
1560763782704	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-85.64606	-366.29944
1560763782704	TYPE_GYROSCOPE_UNCALIBRATED	-0.38101196	0.24095154	-0.254776
1560763782704	TYPE_ACCELEROMETER_UNCALIBRATED	0.7822418	0.5486145	9.187073
1560763782724	TYPE_ACCELEROMETER	0.6715088	0.5821228	9.480972
1560763782724	TYPE_MAGNETIC_FIELD	-21.398926	16.300964	-31.774902
1560763782724	TYPE_GYROSCOPE	-0.42704773	0.22686768	-0.22502136
1560763782724	TYPE_ROTATION_VECTOR	-0.040413126	-0.046786696	-0.42838582
1560763782724	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.55023	-84.93805	-365.6067
1560763782724	TYPE_GYROSCOPE_UNCALIBRATED	-0.42948914	0.2265625	-0.22389221
1560763782724	TYPE_ACCELEROMETER_UNCALIBRATED	0.6715088	0.5821228	9.480972
1560763782744	TYPE_ACCELEROMETER	0.5410156	0.58691406	9.971771
1560763782744	TYPE_MAGNETIC_FIELD	-23.536682	17.008972	-31.080627
1560763782744	TYPE_GYROSCOPE	-0.45526123	0.20716858	-0.19465637
1560763782744	TYPE_ROTATION_VECTOR	-0.040413126	-0.046786696	-0.42838582
1560763782744	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-84.23004	-364.9124
1560763782744	TYPE_GYROSCOPE_UNCALIBRATED	-0.45770264	0.2068634	-0.19352722
1560763782744	TYPE_ACCELEROMETER_UNCALIBRATED	0.5410156	0.58691406	9.971771
1560763782764	TYPE_ACCELEROMETER	0.38719177	0.6982422	10.583496
1560763782764	TYPE_MAGNETIC_FIELD	-22.111511	16.300964	-30.386353
1560763782764	TYPE_GYROSCOPE	-0.41319275	0.20930481	-0.15524292
1560763782764	TYPE_ROTATION_VECTOR	-0.038826656	-0.038691964	-0.4294031
1560763782764	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-84.93805	-364.21814
1560763782764	TYPE_GYROSCOPE_UNCALIBRATED	-0.41563416	0.20899963	-0.15411377
1560763782764	TYPE_ACCELEROMETER_UNCALIBRATED	0.38719177	0.6982422	10.583496
1560763782784	TYPE_ACCELEROMETER	0.21540833	0.75871277	11.0359955
1560763782784	TYPE_MAGNETIC_FIELD	-23.536682	15.592957	-32.46765
1560763782784	TYPE_GYROSCOPE	-0.30133057	0.243927	-0.09611511
1560763782784	TYPE_ROTATION_VECTOR	-0.036479544	-0.034583785	-0.4296947
1560763782784	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-85.64606	-366.29944
1560763782784	TYPE_GYROSCOPE_UNCALIBRATED	-0.30377197	0.24362183	-0.09498596
1560763782784	TYPE_ACCELEROMETER_UNCALIBRATED	0.21540833	0.75871277	11.0359955
1560763782804	TYPE_ACCELEROMETER	0.18309021	0.64138794	11.412491
1560763782804	TYPE_MAGNETIC_FIELD	-22.824097	16.300964	-33.161926
