#	startTime:1560763850752
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763850752	TYPE_WAYPOINT	305.716	120.94319
1560763850870	TYPE_ACCELEROMETER	-0.65190125	0.539032	9.875412
1560763850870	TYPE_MAGNETIC_FIELD	2.8259277	27.626038	-31.080627
1560763850870	TYPE_GYROSCOPE	0.20361328	-0.23545837	0.009887695
1560763850870	TYPE_ROTATION_VECTOR	0.030693254	0.046062995	0.030743998
1560763850870	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.32538	-73.612976	-364.9124
1560763850870	TYPE_GYROSCOPE_UNCALIBRATED	0.20117188	-0.23576355	0.011016846
1560763850870	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65190125	0.539032	9.875412
1560763850890	TYPE_ACCELEROMETER	-0.45376587	0.7180023	9.116455
1560763850890	TYPE_MAGNETIC_FIELD	3.5385132	26.91803	-30.386353
1560763850890	TYPE_GYROSCOPE	0.16313171	-0.19337463	-0.0519104
1560763850890	TYPE_ROTATION_VECTOR	0.031238258	0.041558042	0.032681044
1560763850890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-40.612793	-74.320984	-364.21814
1560763850890	TYPE_GYROSCOPE_UNCALIBRATED	0.16069031	-0.19367981	-0.05078125
1560763850890	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45376587	0.7180023	9.116455
1560763850910	TYPE_ACCELEROMETER	-0.4453888	0.8125763	9.108673
1560763850910	TYPE_MAGNETIC_FIELD	2.1133423	27.626038	-30.386353
1560763850910	TYPE_GYROSCOPE	0.04008484	-0.101242065	-0.051376343
1560763850910	TYPE_ROTATION_VECTOR	0.033187333	0.037509464	0.033848878
1560763850910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.037964	-73.612976	-364.21814
1560763850910	TYPE_GYROSCOPE_UNCALIBRATED	0.16069031	-0.19367981	-0.05078125
1560763850910	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45376587	0.7180023	9.116455
1560763850930	TYPE_ACCELEROMETER	-0.34902954	0.78144836	9.340897
1560763850930	TYPE_MAGNETIC_FIELD	4.2510986	26.211548	-29.693604
1560763850930	TYPE_GYROSCOPE	-0.014785767	0.02394104	-0.04498291
1560763850930	TYPE_ROTATION_VECTOR	0.034832474	0.035580378	0.035240833
1560763850930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.900208	-75.027466	-363.5254
1560763850930	TYPE_GYROSCOPE_UNCALIBRATED	0.037643433	-0.10154724	-0.050247192
