#	startTime:1560763898749
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763898750	TYPE_WAYPOINT	297.34967	145.39987
1560763898875	TYPE_ACCELEROMETER	-0.44958496	-0.15170288	9.680878
1560763898875	TYPE_MAGNETIC_FIELD	-24.961853	0.7293701	-35.243225
1560763898875	TYPE_GYROSCOPE	0.054992676	-0.09111023	0.11373901
1560763898875	TYPE_ROTATION_VECTOR	0.0061931345	0.011080618	-0.69619113
1560763898875	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.11316	-100.50964	-369.075
1560763898875	TYPE_GYROSCOPE_UNCALIBRATED	0.056289673	-0.121780396	0.121795654
1560763898875	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41007996	-0.13853455	9.823334
1560763898895	TYPE_ACCELEROMETER	-0.50465393	-0.1660614	9.615036
1560763898895	TYPE_MAGNETIC_FIELD	-24.961853	2.1453857	-35.9375
1560763898895	TYPE_GYROSCOPE	0.050735474	-0.16781616	0.12866211
1560763898895	TYPE_ROTATION_VECTOR	0.006816045	0.01227634	-0.6960073
1560763898895	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.11316	-99.09363	-369.7693
1560763898895	TYPE_GYROSCOPE_UNCALIBRATED	0.03817749	-0.2240448	0.14790344
1560763898895	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5040436	-0.14570618	9.588699
1560763898915	TYPE_ACCELEROMETER	-0.44000244	-0.054733276	9.84668
1560763898915	TYPE_MAGNETIC_FIELD	-26.385498	1.4373779	-35.243225
1560763898915	TYPE_GYROSCOPE	0.041152954	-0.2887268	0.16860962
1560763898915	TYPE_ROTATION_VECTOR	0.006096033	0.012104449	-0.6955781
1560763898915	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-70.536804	-99.801636	-369.075
