#	startTime:1560763937327
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560763937327	TYPE_WAYPOINT	319.91193	146.1303
1560763937446	TYPE_ACCELEROMETER	-1.9106445	1.5074921	9.909531
1560763937446	TYPE_MAGNETIC_FIELD	-1.4480591	-35.368347	-20.674133
1560763937446	TYPE_GYROSCOPE	0.25473022	-0.6248169	-1.2828217
1560763937446	TYPE_ROTATION_VECTOR	0.08898537	-0.08679002	-0.9899741
1560763937446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.599365	-136.60736	-354.50592
1560763937446	TYPE_GYROSCOPE_UNCALIBRATED	0.25228882	-0.6251221	-1.2816925
1560763937446	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8735352	1.6846619	9.952026
1560763937466	TYPE_ACCELEROMETER	-1.8501892	1.5978699	9.811966
1560763937466	TYPE_MAGNETIC_FIELD	-0.024414062	-35.368347	-22.755432
1560763937466	TYPE_GYROSCOPE	0.14927673	-0.60298157	-1.3696442
1560763937466	TYPE_ROTATION_VECTOR	0.08769459	-0.08368265	-0.99105644
1560763937466	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.17572	-136.60736	-356.58722
1560763937466	TYPE_GYROSCOPE_UNCALIBRATED	0.25228882	-0.6251221	-1.2816925
1560763937466	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9106445	1.5074921	9.909531
1560763937486	TYPE_ACCELEROMETER	-1.4300079	1.2674713	9.80777
1560763937486	TYPE_MAGNETIC_FIELD	1.4007568	-35.368347	-19.981384
1560763937486	TYPE_GYROSCOPE	-0.015319824	-0.55929565	-1.4255676
1560763937486	TYPE_ROTATION_VECTOR	0.07980735	-0.078250594	-0.9933574
1560763937486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.75055	-136.60736	-353.81317
1560763937486	TYPE_GYROSCOPE_UNCALIBRATED	-0.01776123	-0.55960083	-1.4244385
1560763937486	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8501892	1.5978699	9.811966
1560763937506	TYPE_ACCELEROMETER	-0.9811096	0.5168915	10.532028
1560763937506	TYPE_MAGNETIC_FIELD	1.4007568	-34.66034	-21.368408
1560763937506	TYPE_GYROSCOPE	-0.27470398	-0.5933838	-1.4410095
1560763937506	TYPE_ROTATION_VECTOR	0.07980735	-0.078250594	-0.9933574
1560763937506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.75055	-135.89935	-355.2002
1560763937506	TYPE_GYROSCOPE_UNCALIBRATED	-0.2771454	-0.59368896	-1.4398804
1560763937506	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4300079	1.2674713	9.80777
1560763937526	TYPE_ACCELEROMETER	-0.80513	0.20742798	11.687225
1560763937526	TYPE_MAGNETIC_FIELD	1.4007568	-33.953857	-22.755432
1560763937526	TYPE_GYROSCOPE	-0.45474243	-0.50071716	-1.4069214
1560763937526	TYPE_ROTATION_VECTOR	0.07061454	-0.067373425	-0.99518245
1560763937526	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.75055	-135.19287	-356.58722
1560763937526	TYPE_GYROSCOPE_UNCALIBRATED	-0.2771454	-0.59368896	-1.4398804
1560763937526	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9811096	0.5168915	10.532028
1560763937546	TYPE_ACCELEROMETER	-0.6363373	0.33013916	12.028992
1560763937546	TYPE_MAGNETIC_FIELD	2.8259277	-34.66034	-20.674133
1560763937546	TYPE_GYROSCOPE	-0.2448883	-0.23971558	-1.3131866
1560763937546	TYPE_ROTATION_VECTOR	-0.061883137	0.05473009	0.9965489
1560763937546	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.32538	-135.89935	-354.50592
1560763937546	TYPE_GYROSCOPE_UNCALIBRATED	-0.45718384	-0.50102234	-1.4057922
1560763937546	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80513	0.20742798	11.687225
1560763937566	TYPE_ACCELEROMETER	-0.57289124	0.67370605	10.73613
1560763937566	TYPE_MAGNETIC_FIELD	5.6762695	-35.368347	-22.062683
1560763937566	TYPE_GYROSCOPE	0.21426392	-0.14172363	-1.1837463
1560763937566	TYPE_ROTATION_VECTOR	-0.055810627	0.04696902	0.9970392
1560763937566	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-38.475037	-136.60736	-355.89447
1560763937566	TYPE_GYROSCOPE_UNCALIBRATED	0.21182251	-0.14202881	-1.1826172
1560763937566	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6363373	0.33013916	12.028992
1560763937586	TYPE_ACCELEROMETER	-0.4172516	1.0142822	8.933289
1560763937586	TYPE_MAGNETIC_FIELD	6.388855	-34.66034	-20.674133
1560763937586	TYPE_GYROSCOPE	0.5572815	-0.26101685	-1.068161
1560763937586	TYPE_ROTATION_VECTOR	-0.051803563	0.04691968	0.99679714
