#	startTime:1560764059539
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560764059539	TYPE_WAYPOINT	294.0447	131.0789
1560764059867	TYPE_ACCELEROMETER	-0.77819824	0.24035645	10.053177
1560764059867	TYPE_MAGNETIC_FIELD	-51.322937	2.1453857	-38.0188
1560764059867	TYPE_GYROSCOPE	-0.10372925	0.029266357	0.15049744
1560764059867	TYPE_ROTATION_VECTOR	0.04000585	0.025145423	-0.68845785
1560764059867	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.47424	-99.09363	-371.8506
1560764059867	TYPE_GYROSCOPE_UNCALIBRATED	-0.106170654	0.028961182	0.15162659
1560764059867	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7758026	0.24394226	10.013077
1560764059887	TYPE_ACCELEROMETER	-0.8242798	0.22239685	10.168701
1560764059887	TYPE_MAGNETIC_FIELD	-50.611877	2.8533936	-40.100098
1560764059887	TYPE_GYROSCOPE	-0.102142334	0.08518982	0.1829834
1560764059887	TYPE_ROTATION_VECTOR	0.04000585	0.025145423	-0.68845785
1560764059887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.76318	-98.38562	-373.9319
1560764059887	TYPE_GYROSCOPE_UNCALIBRATED	-0.10458374	0.08488464	0.18411255
1560764059887	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8063202	0.23017883	10.103455
1560764059907	TYPE_ACCELEROMETER	-0.8308563	0.31278992	10.122604
1560764059907	TYPE_MAGNETIC_FIELD	-52.748108	2.8533936	-39.405823
1560764059907	TYPE_GYROSCOPE	-0.052597046	0.10916138	0.21014404
1560764059907	TYPE_ROTATION_VECTOR	0.04029767	0.026000198	-0.68490404
1560764059907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-96.899414	-98.38562	-373.2376
1560764059907	TYPE_GYROSCOPE_UNCALIBRATED	-0.055038452	0.1088562	0.2112732
1560764059907	TYPE_ACCELEROMETER_UNCALIBRATED	-0.83265686	0.25352478	10.199219
1560764059927	TYPE_ACCELEROMETER	-0.82966614	0.3600769	9.852066
1560764059927	TYPE_MAGNETIC_FIELD	-50.611877	2.8533936	-38.711548
1560764059927	TYPE_GYROSCOPE	0.041152954	0.0990448	0.23146057
1560764059927	TYPE_ROTATION_VECTOR	0.04170815	0.02546964	-0.68287724
1560764059927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.76318	-98.38562	-372.54333
1560764059927	TYPE_GYROSCOPE_UNCALIBRATED	0.038711548	0.098739624	0.23258972
1560764059927	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8248749	0.3493042	9.969986
1560764059947	TYPE_ACCELEROMETER	-0.8350525	0.31578064	9.712006
1560764059947	TYPE_MAGNETIC_FIELD	-50.611877	2.1453857	-38.711548
1560764059947	TYPE_GYROSCOPE	0.1151886	0.10916138	0.23199463
1560764059947	TYPE_ROTATION_VECTOR	0.04170815	0.02546964	-0.68287724
1560764059947	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.76318	-99.09363	-372.54333
1560764059947	TYPE_GYROSCOPE_UNCALIBRATED	0.11274719	0.1088562	0.23312378
1560764059947	TYPE_ACCELEROMETER_UNCALIBRATED	-0.836853	0.34570312	9.779053
1560764059968	TYPE_ACCELEROMETER	-0.864975	0.3648529	9.443848
1560764059968	TYPE_MAGNETIC_FIELD	-49.899292	2.1453857	-41.48712
1560764059968	TYPE_GYROSCOPE	0.13542175	0.064956665	0.23464966
1560764059968	TYPE_ROTATION_VECTOR	0.043226227	0.024789978	-0.6811407
1560764059968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.0506	-99.09363	-375.3189
1560764059968	TYPE_GYROSCOPE_UNCALIBRATED	0.13298035	0.06465149	0.23577881
1560764059968	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8464203	0.3253479	9.596481
1560764059988	TYPE_ACCELEROMETER	-0.82069397	0.30560303	9.424698
1560764059988	TYPE_MAGNETIC_FIELD	-49.899292	2.8533936	-40.100098
1560764059988	TYPE_GYROSCOPE	0.05606079	0.032989502	0.2490387
1560764059988	TYPE_ROTATION_VECTOR	0.04455244	0.024143428	-0.6773314
1560764059988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.0506	-98.38562	-373.9319
1560764059988	TYPE_GYROSCOPE_UNCALIBRATED	0.053619385	0.032684326	0.25016785
1560764059988	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8554077	0.3546753	9.346893
1560764060008	TYPE_ACCELEROMETER	-0.82188416	0.28285217	10.0448
1560764060008	TYPE_MAGNETIC_FIELD	-50.611877	2.1453857	-38.0188
1560764060008	TYPE_GYROSCOPE	-0.07710266	0.093185425	0.28152466
1560764060008	TYPE_ROTATION_VECTOR	0.044051353	0.02523286	-0.6753605
1560764060008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.76318	-99.09363	-371.8506
1560764060008	TYPE_GYROSCOPE_UNCALIBRATED	-0.07954407	0.09288025	0.2826538
1560764060008	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7943573	0.28823853	9.700027
1560764060028	TYPE_ACCELEROMETER	-0.83924866	0.26669312	10.683456
1560764060028	TYPE_MAGNETIC_FIELD	-51.322937	3.5614014	-39.405823
1560764060028	TYPE_GYROSCOPE	-0.11705017	0.091049194	0.2612915
1560764060028	TYPE_ROTATION_VECTOR	0.043510247	0.025801498	-0.673585
1560764060028	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.47424	-97.67761	-373.2376
1560764060028	TYPE_GYROSCOPE_UNCALIBRATED	-0.11949158	0.09074402	0.26242065
1560764060028	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8542023	0.25891113	10.406326
