#	startTime:1560764739740
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560764739740	TYPE_WAYPOINT	159.55914	33.120766
1560764739862	TYPE_ACCELEROMETER	-0.8248749	-0.72691345	10.770248
1560764739862	TYPE_MAGNETIC_FIELD	12.800598	18.424988	-19.28711
1560764739862	TYPE_GYROSCOPE	0.16418457	-0.29084778	0.18991089
1560764739862	TYPE_ROTATION_VECTOR	-0.032457996	0.03036872	0.24368355
1560764739862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-82.814026	-353.1189
1560764739862	TYPE_GYROSCOPE_UNCALIBRATED	0.12605286	-0.2709198	0.16920471
1560764739862	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84703064	-0.69818115	10.928268
1560764739882	TYPE_ACCELEROMETER	-0.8661804	-0.61317444	10.367416
1560764739882	TYPE_MAGNETIC_FIELD	10.664368	18.424988	-22.755432
1560764739882	TYPE_GYROSCOPE	0.28030396	-0.27540588	0.1979065
1560764739882	TYPE_ROTATION_VECTOR	-0.03135794	0.028876724	0.2455566
1560764739882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.48694	-82.814026	-356.58722
1560764739882	TYPE_GYROSCOPE_UNCALIBRATED	0.21768188	-0.29275513	0.20115662
1560764739882	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84703064	-0.68800354	10.577515
1560764739902	TYPE_ACCELEROMETER	-0.849411	-0.52578735	9.947235
1560764739902	TYPE_MAGNETIC_FIELD	10.664368	19.841003	-20.674133
1560764739902	TYPE_GYROSCOPE	0.3223877	-0.23918152	0.16435242
1560764739902	TYPE_ROTATION_VECTOR	-0.029081456	0.028644944	0.24581753
1560764739902	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.48694	-81.39801	-354.50592
1560764739902	TYPE_GYROSCOPE_UNCALIBRATED	0.317276	-0.2597351	0.1873169
1560764739902	TYPE_ACCELEROMETER_UNCALIBRATED	-0.88412476	-0.5628967	10.182465
1560764739922	TYPE_ACCELEROMETER	-0.72550964	-0.51441956	9.410934
1560764739922	TYPE_MAGNETIC_FIELD	11.376953	19.132996	-22.062683
1560764739922	TYPE_GYROSCOPE	0.20999146	-0.14224243	0.12705994
1560764739922	TYPE_ROTATION_VECTOR	-0.027786933	0.028239515	0.24683914
1560764739922	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-82.10602	-355.89447
1560764739922	TYPE_GYROSCOPE_UNCALIBRATED	0.28585815	-0.20539856	0.14311218
1560764739922	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7488556	-0.51501465	9.600082
1560764739942	TYPE_ACCELEROMETER	-0.94937134	-0.07209778	10.470367
1560764739942	TYPE_MAGNETIC_FIELD	10.664368	19.132996	-22.755432
1560764739942	TYPE_GYROSCOPE	-0.047805786	0.018081665	0.11534119
1560764739942	TYPE_ROTATION_VECTOR	-0.028242918	0.029441802	0.24652265
1560764739942	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.48694	-82.10602	-356.58722
1560764739942	TYPE_GYROSCOPE_UNCALIBRATED	0.0823822	-0.053604126	0.11647034
1560764739942	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8452301	-0.35401917	9.678482
1560764739962	TYPE_ACCELEROMETER	-0.28318787	-0.6760254	10.412903
1560764739962	TYPE_MAGNETIC_FIELD	11.376953	19.132996	-22.755432
1560764739962	TYPE_GYROSCOPE	0.0022735596	-0.13105774	0.47966003
1560764739962	TYPE_ROTATION_VECTOR	-0.027357006	0.026815578	0.25256982
1560764739962	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-82.10602	-356.58722
1560764739962	TYPE_GYROSCOPE_UNCALIBRATED	-0.10884094	-0.012588501	0.21980286
1560764739962	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4567566	-0.4180603	10.83429
1560764739982	TYPE_ACCELEROMETER	-1.4503632	-0.008056641	9.585114
1560764739982	TYPE_MAGNETIC_FIELD	11.376953	17.71698	-22.062683
1560764739982	TYPE_GYROSCOPE	0.22491455	0.002105713	0.4248047
1560764739982	TYPE_ROTATION_VECTOR	-0.024593515	0.029823115	0.25434583
1560764739982	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-83.52203	-355.89447
1560764739982	TYPE_GYROSCOPE_UNCALIBRATED	0.18838501	-0.12071228	0.5873108
1560764739982	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0912323	-0.13853455	9.910721
1560764740002	TYPE_ACCELEROMETER	-0.75006104	-0.5341797	9.5522
1560764740002	TYPE_MAGNETIC_FIELD	12.800598	19.132996	-22.062683
1560764740002	TYPE_GYROSCOPE	-0.049926758	0.11288452	0.31614685
1560764740002	TYPE_ROTATION_VECTOR	-0.025913768	0.032361183	0.25631705
1560764740002	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-82.10602	-355.89447
1560764740002	TYPE_GYROSCOPE_UNCALIBRATED	0.08665466	0.060913086	0.31195068
1560764740002	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0583191	-0.3779602	9.501923
1560764740022	TYPE_ACCELEROMETER	-0.8595886	-0.23908997	9.753311
1560764740022	TYPE_MAGNETIC_FIELD	11.376953	19.132996	-22.062683
1560764740022	TYPE_GYROSCOPE	-0.13409424	0.23060608	0.31295776
1560764740022	TYPE_ROTATION_VECTOR	-0.027873864	0.034278885	0.25915155
1560764740022	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-82.10602	-355.89447
1560764740022	TYPE_GYROSCOPE_UNCALIBRATED	-0.115753174	0.19088745	0.32792664
1560764740022	TYPE_ACCELEROMETER_UNCALIBRATED	-0.778183	-0.39111328	9.660538
1560764740043	TYPE_ACCELEROMETER	-0.8913269	-0.2815857	10.178879
1560764740043	TYPE_MAGNETIC_FIELD	11.376953	19.132996	-22.062683
1560764740043	TYPE_GYROSCOPE	-0.1777649	0.16882324	0.28152466
1560764740043	TYPE_ROTATION_VECTOR	-0.029411081	0.035881307	0.2610662
1560764740043	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-82.10602	-355.89447
1560764740043	TYPE_GYROSCOPE_UNCALIBRATED	-0.15837097	0.20898438	0.29597473
1560764740043	TYPE_ACCELEROMETER_UNCALIBRATED	-0.88653564	-0.23728943	9.900543
1560764740063	TYPE_ACCELEROMETER	-0.8667755	-0.36238098	10.242325
1560764740063	TYPE_MAGNETIC_FIELD	12.800598	18.424988	-22.755432
1560764740063	TYPE_GYROSCOPE	-0.13142395	0.07507324	0.26234436
1560764740063	TYPE_ROTATION_VECTOR	-0.030420285	0.036391623	0.2636766
1560764740063	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-82.814026	-356.58722
1560764740063	TYPE_GYROSCOPE_UNCALIBRATED	-0.1759491	0.12590027	0.27360535
1560764740063	TYPE_ACCELEROMETER_UNCALIBRATED	-0.88053894	-0.30970764	10.326126
1560764740083	TYPE_ACCELEROMETER	-0.7584381	-0.48867798	9.938858
1560764740083	TYPE_MAGNETIC_FIELD	13.513184	17.71698	-22.755432
1560764740083	TYPE_GYROSCOPE	0.007598877	0.040985107	0.23997498
1560764740083	TYPE_ROTATION_VECTOR	-0.030466514	0.036637772	0.26673245
1560764740083	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.638123	-83.52203	-356.58722
1560764740083	TYPE_GYROSCOPE_UNCALIBRATED	-0.06782532	0.04121399	0.25175476
1560764740083	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8248749	-0.433609	10.10704
1560764740103	TYPE_ACCELEROMETER	-0.6680603	-0.39649963	9.603668
1560764740103	TYPE_MAGNETIC_FIELD	12.800598	18.424988	-22.062683
1560764740103	TYPE_GYROSCOPE	0.11251831	0.039382935	0.2021637
1560764740103	TYPE_ROTATION_VECTOR	-0.029647278	0.036814768	0.26934785
1560764740103	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-82.814026	-355.89447
1560764740103	TYPE_GYROSCOPE_UNCALIBRATED	0.06959534	0.047607422	0.2272644
1560764740103	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7051697	-0.473114	9.761688
1560764740123	TYPE_ACCELEROMETER	-0.69200134	-0.28457642	9.339706
1560764740123	TYPE_MAGNETIC_FIELD	11.376953	17.71698	-21.368408
1560764740123	TYPE_GYROSCOPE	0.12477112	-0.014953613	0.13931274
1560764740123	TYPE_ROTATION_VECTOR	-0.028220385	0.036633596	0.27079254
1560764740123	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-83.52203	-355.2002
1560764740123	TYPE_GYROSCOPE_UNCALIBRATED	0.12553406	0.011917114	0.17132568
1560764740123	TYPE_ACCELEROMETER_UNCALIBRATED	-0.67045593	-0.3210907	9.451035
1560764740143	TYPE_ACCELEROMETER	-0.6082001	-0.20855713	9.39418
1560764740143	TYPE_MAGNETIC_FIELD	12.089539	16.300964	-22.062683
1560764740143	TYPE_GYROSCOPE	0.07470703	0.0052948	0.10469055
1560764740143	TYPE_ROTATION_VECTOR	-0.027271327	0.036534686	0.2722973
1560764740143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-84.93805	-355.89447
1560764740143	TYPE_GYROSCOPE_UNCALIBRATED	0.102630615	-0.017913818	0.11860657
1560764740143	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6512909	-0.2642212	9.324142
1560764740163	TYPE_ACCELEROMETER	-0.74346924	-0.12536621	9.959213
1560764740163	TYPE_MAGNETIC_FIELD	13.513184	17.71698	-22.062683
1560764740163	TYPE_GYROSCOPE	0.01878357	0.07081604	0.080718994
1560764740163	TYPE_ROTATION_VECTOR	-0.026760211	0.03691687	0.27362838
1560764740163	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.638123	-83.52203	-355.89447
1560764740163	TYPE_GYROSCOPE_UNCALIBRATED	0.04084778	0.037475586	0.09516907
1560764740163	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6405182	-0.15289307	9.547409
1560764740183	TYPE_ACCELEROMETER	-0.89012146	-0.20317078	10.575119
1560764740183	TYPE_MAGNETIC_FIELD	12.800598	16.300964	-22.062683
1560764740183	TYPE_GYROSCOPE	0.019317627	0.06549072	0.056228638
1560764740183	TYPE_ROTATION_VECTOR	-0.026258877	0.037632596	0.27435404
1560764740183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-84.93805	-355.89447
1560764740183	TYPE_GYROSCOPE_UNCALIBRATED	0.0056915283	0.089157104	0.067474365
1560764740183	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8637848	-0.13075256	10.427277
1560764740203	TYPE_ACCELEROMETER	-0.8135071	-0.33425903	10.391357
1560764740203	TYPE_MAGNETIC_FIELD	12.800598	17.71698	-21.368408
1560764740203	TYPE_GYROSCOPE	0.108795166	-0.0032348633	0.03437805
1560764740203	TYPE_ROTATION_VECTOR	-0.025141431	0.037779856	0.2748399
1560764740203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-83.52203	-355.2002
1560764740203	TYPE_GYROSCOPE_UNCALIBRATED	0.053085327	0.020446777	0.04989624
1560764740203	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85839844	-0.28398132	10.533813
1560764740223	TYPE_ACCELEROMETER	-0.6064148	-0.29356384	9.861649
1560764740223	TYPE_MAGNETIC_FIELD	13.513184	18.424988	-23.449707
1560764740223	TYPE_GYROSCOPE	0.20147705	-0.043167114	-0.005569458
