#	startTime:1560765559994
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560765559995	TYPE_WAYPOINT	232.52551	56.365356
1560765560116	TYPE_ACCELEROMETER	0.88638306	0.94844055	9.327133
1560765560116	TYPE_MAGNETIC_FIELD	-31.030273	-0.19226074	-36.073303
1560765560116	TYPE_GYROSCOPE	-0.1538086	-0.04371643	-0.20690918
1560765560116	TYPE_ROTATION_VECTOR	0.019825067	-0.06706459	-0.6221407
1560765560116	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-101.21765	-363.5254
1560765560116	TYPE_GYROSCOPE_UNCALIBRATED	-0.15625	-0.044021606	-0.20578003
1560765560116	TYPE_ACCELEROMETER_UNCALIBRATED	0.96240234	0.9610138	9.409149
1560765560136	TYPE_ACCELEROMETER	0.53863525	0.96580505	9.150558
1560765560136	TYPE_MAGNETIC_FIELD	-31.030273	1.9317627	-38.154602
1560765560136	TYPE_GYROSCOPE	-0.1346283	-0.03199768	-0.2606964
1560765560136	TYPE_ROTATION_VECTOR	0.016377661	-0.066895775	-0.6256194
1560765560136	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-99.09363	-365.6067
1560765560136	TYPE_GYROSCOPE_UNCALIBRATED	-0.1370697	-0.032302856	-0.25956726
1560765560136	TYPE_ACCELEROMETER_UNCALIBRATED	0.73794556	0.98854065	9.249924
1560765560156	TYPE_ACCELEROMETER	0.38838196	1.1818848	8.789032
1560765560156	TYPE_MAGNETIC_FIELD	-30.317688	0.5157471	-36.073303
1560765560156	TYPE_GYROSCOPE	-0.19641113	-0.17739868	-0.19198608
1560765560156	TYPE_ROTATION_VECTOR	0.016211638	-0.0644601	-0.6285017
1560765560156	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-100.50964	-363.5254
1560765560156	TYPE_GYROSCOPE_UNCALIBRATED	-0.19885254	-0.17770386	-0.19085693
1560765560156	TYPE_ACCELEROMETER_UNCALIBRATED	0.38061523	0.922699	8.962021
1560765560176	TYPE_ACCELEROMETER	0.68766785	1.4308777	8.7908325
1560765560176	TYPE_MAGNETIC_FIELD	-31.030273	0.5157471	-33.992004
1560765560176	TYPE_GYROSCOPE	-0.2922821	-0.21308899	-0.1653595
1560765560176	TYPE_ROTATION_VECTOR	0.017109344	-0.0636998	-0.6286067
1560765560176	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-100.50964	-361.4441
1560765560176	TYPE_GYROSCOPE_UNCALIBRATED	-0.2947235	-0.21339417	-0.16423035
1560765560176	TYPE_ACCELEROMETER_UNCALIBRATED	0.56256104	1.4350739	8.774078
1560765560196	TYPE_ACCELEROMETER	0.83909607	1.4404602	8.713623
1560765560196	TYPE_MAGNETIC_FIELD	-31.030273	-0.19226074	-36.073303
1560765560196	TYPE_GYROSCOPE	-0.31678772	-3.0517578E-5	-0.16482544
1560765560196	TYPE_ROTATION_VECTOR	0.017603396	-0.065186575	-0.6264666
1560765560196	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-101.21765	-363.5254
1560765560196	TYPE_GYROSCOPE_UNCALIBRATED	-0.31922913	-3.3569336E-4	-0.16369629
1560765560196	TYPE_ACCELEROMETER_UNCALIBRATED	0.7511139	1.427887	8.751938
1560765560216	TYPE_ACCELEROMETER	0.7583008	1.3291168	8.724396
1560765560216	TYPE_MAGNETIC_FIELD	-29.605103	-0.19226074	-35.37903
1560765560216	TYPE_GYROSCOPE	-0.32157898	0.17840576	-0.1733551
1560765560216	TYPE_ROTATION_VECTOR	0.018405238	-0.065308094	-0.62455153
