#	startTime:1560766426504
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560766426505	TYPE_WAYPOINT	275.76273	107.3296
1560766426781	TYPE_ACCELEROMETER	-0.5986328	0.2846527	9.70842
1560766426781	TYPE_MAGNETIC_FIELD	-30.317688	1.2237549	-48.561096
1560766426781	TYPE_GYROSCOPE	-0.27844238	-0.06448364	0.2575531
1560766426781	TYPE_ROTATION_VECTOR	0.019125152	0.012349364	-0.68357015
1560766426781	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-99.801636	-376.01318
1560766426781	TYPE_GYROSCOPE_UNCALIBRATED	-0.25584412	-0.056259155	0.26028442
1560766426781	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6141968	0.24453735	9.656342
1560766426801	TYPE_ACCELEROMETER	-0.56152344	0.29483032	9.929886
1560766426801	TYPE_MAGNETIC_FIELD	-30.317688	1.2237549	-48.561096
1560766426801	TYPE_GYROSCOPE	-0.26779175	-0.051696777	0.23892212
1560766426801	TYPE_ROTATION_VECTOR	0.018011626	0.01322149	-0.68043274
1560766426801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.961975	-99.801636	-376.70593
1560766426801	TYPE_GYROSCOPE_UNCALIBRATED	-0.28727722	-0.06851196	0.25282288
1560766426801	TYPE_ACCELEROMETER_UNCALIBRATED	-0.592041	0.30560303	9.833511
1560766426821	TYPE_ACCELEROMETER	-0.46154785	0.29122925	10.101669
1560766426821	TYPE_MAGNETIC_FIELD	-30.317688	3.3477783	-48.561096
1560766426821	TYPE_GYROSCOPE	-0.19215393	-0.031463623	0.19683838
1560766426821	TYPE_ROTATION_VECTOR	0.018011626	0.01322149	-0.68043274
1560766426821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-97.67761	-376.01318
1560766426821	TYPE_GYROSCOPE_UNCALIBRATED	-0.23561096	-0.034957886	0.22140503
1560766426821	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50465393	0.28823853	10.035233
1560766426841	TYPE_ACCELEROMETER	-0.41007996	0.2164154	10.12262
1560766426841	TYPE_MAGNETIC_FIELD	-29.605103	1.2237549	-48.561096
1560766426841	TYPE_GYROSCOPE	-0.13195801	-0.03253174	0.14356995
1560766426841	TYPE_ROTATION_VECTOR	0.017196266	0.013511759	-0.6774154
1560766426841	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-99.801636	-376.01318
1560766426841	TYPE_GYROSCOPE_UNCALIBRATED	-0.15997314	-0.031234741	0.17134094
1560766426841	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43222046	0.27568054	10.117828
1560766426861	TYPE_ACCELEROMETER	-0.3981018	0.14039612	10.122604
1560766426861	TYPE_MAGNETIC_FIELD	-29.605103	4.055786	-49.253845
1560766426861	TYPE_GYROSCOPE	-0.10266113	-0.045303345	0.1084137
1560766426861	TYPE_ROTATION_VECTOR	0.016281037	0.013728254	-0.6759962
1560766426861	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-96.969604	-376.70593
1560766426861	TYPE_GYROSCOPE_UNCALIBRATED	-0.11682129	-0.03869629	0.12339783
1560766426861	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40168762	0.15235901	10.123215
1560766426881	TYPE_ACCELEROMETER	-0.2903595	0.10926819	10.138779
1560766426881	TYPE_MAGNETIC_FIELD	-31.742859	2.6397705	-48.561096
1560766426881	TYPE_GYROSCOPE	-0.08456421	-0.052230835	0.09083557
1560766426881	TYPE_ROTATION_VECTOR	0.015369149	0.013637289	-0.6743815
1560766426881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-98.38562	-376.01318
1560766426881	TYPE_GYROSCOPE_UNCALIBRATED	-0.09498596	-0.051467896	0.100494385
