#	startTime:1560766568487
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560766568487	TYPE_WAYPOINT	229.84927	70.94687
1560766568621	TYPE_ACCELEROMETER	-0.6860199	1.5392151	9.938858
1560766568621	TYPE_MAGNETIC_FIELD	15.994263	18.919373	-33.992004
1560766568621	TYPE_GYROSCOPE	-0.07017517	-0.15823364	0.03225708
1560766568621	TYPE_ROTATION_VECTOR	0.06632385	0.05633638	0.26769233
1560766568621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.500366	-82.10602	-361.4441
1560766568621	TYPE_GYROSCOPE_UNCALIBRATED	-0.07688904	-0.16705322	0.020599365
1560766568621	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7374878	1.5589752	9.916107
1560766568641	TYPE_ACCELEROMETER	-0.5806732	1.6331787	9.837097
1560766568641	TYPE_MAGNETIC_FIELD	15.281677	18.919373	-32.603455
1560766568641	TYPE_GYROSCOPE	-0.023834229	-0.12147522	0.059417725
1560766568641	TYPE_ROTATION_VECTOR	0.06646054	0.05441519	0.26865828
1560766568641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.212952	-82.10602	-360.05554
1560766568641	TYPE_GYROSCOPE_UNCALIBRATED	-0.052383423	-0.1452179	0.04989624
1560766568641	TYPE_ACCELEROMETER_UNCALIBRATED	-0.63752747	1.562561	9.900558
1560766568661	TYPE_ACCELEROMETER	-0.4848938	1.6690979	9.724579
1560766568661	TYPE_MAGNETIC_FIELD	17.419434	17.503357	-33.29773
1560766568661	TYPE_GYROSCOPE	0.0043945312	-0.106552124	0.061553955
1560766568661	TYPE_ROTATION_VECTOR	0.06804182	0.052391704	0.26957193
1560766568661	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.075195	-83.52203	-360.74982
1560766568661	TYPE_GYROSCOPE_UNCALIBRATED	-0.005493164	-0.10473633	0.06480408
1560766568661	TYPE_ACCELEROMETER_UNCALIBRATED	-0.505249	1.6685028	9.779037
1560766568681	TYPE_ACCELEROMETER	-0.5357666	1.6834564	9.6449585
1560766568681	TYPE_MAGNETIC_FIELD	15.281677	21.04187	-33.29773
1560766568681	TYPE_GYROSCOPE	0.0043945312	-0.1438446	0.04397583
1560766568681	TYPE_ROTATION_VECTOR	0.06936543	0.050577864	0.27055997
1560766568681	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.212952	-79.98352	-360.74982
1560766568681	TYPE_GYROSCOPE_UNCALIBRATED	8.8500977E-4	-0.12496948	0.0546875
1560766568681	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5034485	1.6679077	9.6922455
1560766568701	TYPE_ACCELEROMETER	-0.5016632	1.7259674	9.543823
1560766568701	TYPE_MAGNETIC_FIELD	14.569092	17.503357	-33.29773
1560766568701	TYPE_GYROSCOPE	0.0038604736	-0.16940308	0.03225708
1560766568701	TYPE_ROTATION_VECTOR	0.07079435	0.04913273	0.26952794
1560766568701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.925537	-83.52203	-360.74982
1560766568701	TYPE_GYROSCOPE_UNCALIBRATED	0.0051574707	-0.15745544	0.037643433
1560766568701	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5519409	1.7032166	9.565964
1560766568721	TYPE_ACCELEROMETER	-0.3771515	1.6960297	9.726364
1560766568721	TYPE_MAGNETIC_FIELD	15.281677	18.211365	-31.910706
1560766568721	TYPE_GYROSCOPE	-0.031295776	-0.1465149	0.031188965
1560766568721	TYPE_ROTATION_VECTOR	0.071832694	0.047282543	0.269565
1560766568721	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.212952	-82.814026	-359.3628
1560766568721	TYPE_GYROSCOPE_UNCALIBRATED	-0.014022827	-0.17344666	0.031784058
1560766568721	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41905212	1.7199707	9.603073
1560766568741	TYPE_ACCELEROMETER	-0.37297058	1.7355347	9.9687805
1560766568741	TYPE_MAGNETIC_FIELD	14.569092	21.04187	-33.992004
1560766568741	TYPE_GYROSCOPE	-0.053131104	-0.05116272	0.027450562
1560766568741	TYPE_ROTATION_VECTOR	0.07207953	0.04616909	0.2700435
1560766568741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.925537	-79.98352	-361.4441
1560766568741	TYPE_GYROSCOPE_UNCALIBRATED	-0.049179077	-0.09675598	0.030715942
1560766568741	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38613892	1.71698	9.859848
1560766568761	TYPE_ACCELEROMETER	-0.29515076	1.712204	9.971771
1560766568761	TYPE_MAGNETIC_FIELD	15.994263	18.211365	-34.684753
1560766568761	TYPE_GYROSCOPE	-0.03236389	-0.02027893	0.024261475
1560766568761	TYPE_ROTATION_VECTOR	0.072368756	0.045188975	0.27008465
1560766568761	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-28.500366	-82.814026	-362.13684
1560766568761	TYPE_GYROSCOPE_UNCALIBRATED	-0.05078125	-0.025909424	0.028579712
1560766568761	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3292694	1.7241669	10.018463
1560766568781	TYPE_ACCELEROMETER	-0.34303284	1.6996307	9.752716
1560766568781	TYPE_MAGNETIC_FIELD	15.281677	18.211365	-32.603455
1560766568781	TYPE_GYROSCOPE	0.01399231	-0.029327393	0.0040130615
1560766568781	TYPE_ROTATION_VECTOR	0.073050305	0.044360004	0.27061334
1560766568781	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-29.212952	-82.814026	-360.05554
1560766568781	TYPE_GYROSCOPE_UNCALIBRATED	-0.010818481	-0.024307251	0.01687622
1560766568781	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2969513	1.7098083	9.868225
