#	startTime:1560767306959
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560767306959	TYPE_WAYPOINT	183.15898	28.152115
1560767307375	TYPE_ACCELEROMETER	-0.40049744	-0.16966248	9.263687
1560767307375	TYPE_MAGNETIC_FIELD	26.208496	-4.664612	-20.779419
1560767307375	TYPE_GYROSCOPE	0.1508789	0.09211731	0.053024292
1560767307375	TYPE_ROTATION_VECTOR	-0.030073632	-0.0066615557	0.7850996
1560767307375	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.537598	-106.17218	-350.34332
1560767307375	TYPE_GYROSCOPE_UNCALIBRATED	0.17240906	0.1003418	0.095703125
1560767307375	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19818115	-0.20077515	9.288834
1560767307395	TYPE_ACCELEROMETER	-0.82847595	-0.18281555	9.25531
1560767307395	TYPE_MAGNETIC_FIELD	27.633667	-6.0806274	-20.779419
1560767307395	TYPE_GYROSCOPE	0.09761047	0.050567627	-0.024215698
1560767307395	TYPE_ROTATION_VECTOR	-0.030035157	-0.0040860604	0.7846906
1560767307395	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.112427	-107.588196	-350.34332
1560767307395	TYPE_GYROSCOPE_UNCALIBRATED	0.119140625	0.07369995	0.009414673
1560767307395	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6303406	-0.16127014	9.246933
1560767307415	TYPE_ACCELEROMETER	-1.0996094	-0.30133057	9.474976
1560767307415	TYPE_MAGNETIC_FIELD	27.633667	-4.664612	-20.779419
1560767307415	TYPE_GYROSCOPE	0.05393982	0.0084991455	-0.03112793
1560767307415	TYPE_ROTATION_VECTOR	-0.031144904	-0.0017614487	0.78432417
1560767307415	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.112427	-106.17218	-350.34332
1560767307415	TYPE_GYROSCOPE_UNCALIBRATED	0.074920654	0.027359009	-0.035339355
1560767307415	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98709106	-0.23968506	9.323547
1560767307436	TYPE_ACCELEROMETER	-1.0888367	-0.36538696	9.776657
1560767307436	TYPE_MAGNETIC_FIELD	25.49591	-3.956604	-20.08667
1560767307436	TYPE_GYROSCOPE	0.0027923584	-0.039978027	0.014144897
1560767307436	TYPE_ROTATION_VECTOR	-0.03260392	-3.0158876E-4	0.7844149
1560767307436	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.250183	-105.46417	-349.65057
1560767307436	TYPE_GYROSCOPE_UNCALIBRATED	0.025390625	-0.013656616	-0.011367798
1560767307436	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1421051	-0.3390503	9.63121
1560767307456	TYPE_ACCELEROMETER	-0.8470154	-0.40727234	10.074738
1560767307456	TYPE_MAGNETIC_FIELD	29.771423	-5.3726196	-20.779419
1560767307456	TYPE_GYROSCOPE	-0.034484863	-0.063949585	0.06687927
1560767307456	TYPE_ROTATION_VECTOR	-0.033539273	7.8856894E-5	0.784903
1560767307456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-9.97467	-106.88019	-350.34332
1560767307456	TYPE_GYROSCOPE_UNCALIBRATED	-0.020950317	-0.0594635	0.043502808
1560767307456	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9828949	-0.39770508	9.937668
1560767307476	TYPE_ACCELEROMETER	-0.61180115	-0.45396423	10.32193
1560767307476	TYPE_MAGNETIC_FIELD	26.208496	-6.0806274	-20.779419
1560767307476	TYPE_GYROSCOPE	-0.05419922	-0.07034302	0.08232117
1560767307476	TYPE_ROTATION_VECTOR	-0.033741437	-3.6404605E-4	0.7856437
1560767307476	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.537598	-107.588196	-350.34332
1560767307476	TYPE_GYROSCOPE_UNCALIBRATED	-0.047576904	-0.0637207	0.0818634
1560767307476	TYPE_ACCELEROMETER_UNCALIBRATED	-0.71414185	-0.41326904	10.179474
1560767307496	TYPE_ACCELEROMETER	-0.4052887	-0.5120239	10.681656
1560767307496	TYPE_MAGNETIC_FIELD	26.208496	-6.0806274	-20.779419
1560767307496	TYPE_GYROSCOPE	-0.05899048	-0.09590149	0.066345215
1560767307496	TYPE_ROTATION_VECTOR	-0.033346325	-0.0015262783	0.7862749
1560767307496	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.537598	-107.588196	-350.34332
1560767307496	TYPE_GYROSCOPE_UNCALIBRATED	-0.06303406	-0.08343506	0.078125
1560767307496	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50883484	-0.4874878	10.517654
1560767307516	TYPE_ACCELEROMETER	-0.24786377	-0.54016113	10.779816
1560767307516	TYPE_MAGNETIC_FIELD	27.633667	-5.3726196	-20.779419
1560767307516	TYPE_GYROSCOPE	-0.004119873	-0.08578491	0.039718628
1560767307516	TYPE_ROTATION_VECTOR	-0.032347523	-0.0025733453	0.7865305
1560767307516	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.112427	-106.88019	-350.34332
1560767307516	TYPE_GYROSCOPE_UNCALIBRATED	-0.044387817	-0.10153198	0.054153442
1560767307516	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31370544	-0.5353699	10.767853
1560767307536	TYPE_ACCELEROMETER	-0.21134949	-0.5347748	10.564941
1560767307536	TYPE_MAGNETIC_FIELD	24.783325	-5.3726196	-20.779419
1560767307536	TYPE_GYROSCOPE	0.10719299	-0.035186768	0.02267456
1560767307536	TYPE_ROTATION_VECTOR	-0.030985806	-0.0025912188	0.7867951
1560767307536	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.962769	-106.88019	-350.34332
1560767307536	TYPE_GYROSCOPE_UNCALIBRATED	0.047225952	-0.056259155	0.029663086
1560767307536	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21974182	-0.5461426	10.714584
1560767307556	TYPE_ACCELEROMETER	-0.08984375	-0.44319153	10.130981
1560767307556	TYPE_MAGNETIC_FIELD	27.633667	-4.664612	-20.779419
1560767307556	TYPE_GYROSCOPE	0.19987488	-0.046905518	0.018936157
1560767307556	TYPE_ROTATION_VECTOR	-0.028962893	-0.001887578	0.78678435
1560767307556	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.112427	-106.17218	-350.34332
1560767307556	TYPE_GYROSCOPE_UNCALIBRATED	0.15588379	-0.034957886	0.020599365
1560767307556	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17723083	-0.48568726	10.355438
1560767307576	TYPE_ACCELEROMETER	0.078948975	-0.40190125	9.679077
1560767307576	TYPE_MAGNETIC_FIELD	26.921082	-6.0806274	-21.473694
1560767307576	TYPE_GYROSCOPE	0.24621582	-0.07034302	0.021072388
1560767307576	TYPE_ROTATION_VECTOR	-0.026232883	-0.0011387274	0.7870057
1560767307576	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.825012	-107.588196	-351.0376
1560767307576	TYPE_GYROSCOPE_UNCALIBRATED	0.2272644	-0.0594635	0.022735596
1560767307576	TYPE_ACCELEROMETER_UNCALIBRATED	0.0077209473	-0.4222412	9.90892
1560767307596	TYPE_ACCELEROMETER	0.17590332	-0.41386414	9.427704
1560767307596	TYPE_MAGNETIC_FIELD	27.633667	-6.0806274	-20.779419
1560767307596	TYPE_GYROSCOPE	0.22970581	-0.10549927	0.0013580322
1560767307596	TYPE_ROTATION_VECTOR	-0.023252795	-8.797433E-4	0.7870657
1560767307596	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.112427	-107.588196	-350.34332
1560767307596	TYPE_GYROSCOPE_UNCALIBRATED	0.24377441	-0.08609009	0.015274048
1560767307596	TYPE_ACCELEROMETER_UNCALIBRATED	0.14717102	-0.39950562	9.51329
1560767307616	TYPE_ACCELEROMETER	0.19087219	-0.40249634	9.383408
1560767307616	TYPE_MAGNETIC_FIELD	26.921082	-4.664612	-20.08667
1560767307616	TYPE_GYROSCOPE	0.16685486	-0.14598083	-0.022613525
1560767307616	TYPE_ROTATION_VECTOR	-0.020458726	-0.0013711252	0.78681177
1560767307616	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.825012	-106.17218	-349.65057
1560767307616	TYPE_GYROSCOPE_UNCALIBRATED	0.1995697	-0.12710571	-0.012435913
1560767307616	TYPE_ACCELEROMETER_UNCALIBRATED	0.17889404	-0.41027832	9.3828125
1560767307637	TYPE_ACCELEROMETER	0.1507721	-0.34683228	9.423508
1560767307637	TYPE_MAGNETIC_FIELD	26.921082	-5.3726196	-20.779419
1560767307637	TYPE_GYROSCOPE	0.113586426	-0.15663147	-0.031677246
1560767307637	TYPE_ROTATION_VECTOR	-0.017995948	-0.002223496	0.786601
1560767307637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.825012	-106.88019	-350.34332
1560767307637	TYPE_GYROSCOPE_UNCALIBRATED	0.13192749	-0.1574707	-0.025741577
1560767307637	TYPE_ACCELEROMETER_UNCALIBRATED	0.17411804	-0.37734985	9.410934
1560767307657	TYPE_ACCELEROMETER	0.13400269	-0.26542664	9.328934
1560767307657	TYPE_MAGNETIC_FIELD	25.49591	-5.3726196	-20.08667
1560767307657	TYPE_GYROSCOPE	0.1109314	-0.13052368	-0.034332275
1560767307657	TYPE_ROTATION_VECTOR	-0.015839279	-0.0027482952	0.78638613
1560767307657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.250183	-106.88019	-349.65057
1560767307657	TYPE_GYROSCOPE_UNCALIBRATED	0.10421753	-0.14575195	-0.033203125
1560767307657	TYPE_ACCELEROMETER_UNCALIBRATED	0.14178467	-0.31750488	9.397171
1560767307677	TYPE_ACCELEROMETER	0.11425781	-0.1546936	9.142181
1560767307677	TYPE_MAGNETIC_FIELD	26.208496	-5.3726196	-20.08667
1560767307677	TYPE_GYROSCOPE	0.12690735	-0.106033325	-0.03326416
1560767307677	TYPE_ROTATION_VECTOR	-0.013772582	-0.0027896424	0.7860789
1560767307677	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.537598	-106.88019	-349.65057
1560767307677	TYPE_GYROSCOPE_UNCALIBRATED	0.11647034	-0.11752319	-0.033203125
1560767307677	TYPE_ACCELEROMETER_UNCALIBRATED	0.12683105	-0.2127533	9.226578
1560767307697	TYPE_ACCELEROMETER	0.12742615	-0.025405884	8.980576
1560767307697	TYPE_MAGNETIC_FIELD	26.208496	-3.956604	-22.167969
1560767307697	TYPE_GYROSCOPE	0.12956238	-0.13372803	-0.034332275
1560767307697	TYPE_ROTATION_VECTOR	-0.011470272	-0.0027376548	0.7854804
1560767307697	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-13.537598	-105.46417	-351.73187
1560767307697	TYPE_GYROSCOPE_UNCALIBRATED	0.12979126	-0.10952759	-0.031600952
1560767307697	TYPE_ACCELEROMETER_UNCALIBRATED	0.09689331	-0.082855225	9.056595
1560767307717	TYPE_ACCELEROMETER	0.33093262	-0.009246826	9.048218
1560767307717	TYPE_MAGNETIC_FIELD	26.921082	-5.3726196	-20.779419
1560767307717	TYPE_GYROSCOPE	0.08377075	-0.18539429	-0.03593445
