#	startTime:1560767275959
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560767275960	TYPE_WAYPOINT	173.10658	22.701204
1560767276137	TYPE_ACCELEROMETER	1.0408173	1.1699066	9.181686
1560767276137	TYPE_MAGNETIC_FIELD	-35.066223	3.829956	-22.167969
1560767276137	TYPE_GYROSCOPE	0.036880493	-0.13745117	-0.30171204
1560767276137	TYPE_ROTATION_VECTOR	-6.5604167E-4	-0.0748497	-0.6391713
1560767276137	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-97.67761	-351.73187
1560767276137	TYPE_GYROSCOPE_UNCALIBRATED	0.037643433	-0.09034729	-0.29151917
1560767276137	TYPE_ACCELEROMETER_UNCALIBRATED	1.0611572	1.048996	9.445648
1560767276157	TYPE_ACCELEROMETER	0.83670044	1.0448151	8.716614
1560767276157	TYPE_MAGNETIC_FIELD	-35.066223	4.537964	-24.249268
1560767276157	TYPE_GYROSCOPE	-0.036087036	-0.12519836	-0.3075714
1560767276157	TYPE_ROTATION_VECTOR	-6.5604167E-4	-0.0748497	-0.6391713
1560767276157	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-96.969604	-353.81317
1560767276157	TYPE_GYROSCOPE_UNCALIBRATED	8.8500977E-4	-0.15480042	-0.30430603
1560767276157	TYPE_ACCELEROMETER_UNCALIBRATED	0.9713745	1.1705017	8.895584
1560767276177	TYPE_ACCELEROMETER	0.5960846	1.0950928	8.732178
1560767276177	TYPE_MAGNETIC_FIELD	-35.77881	3.829956	-22.860718
1560767276177	TYPE_GYROSCOPE	-0.09840393	-0.08578491	-0.29478455
1560767276177	TYPE_ROTATION_VECTOR	0.0011207403	-0.07544079	-0.640535
1560767276177	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-97.67761	-352.42462
1560767276177	TYPE_GYROSCOPE_UNCALIBRATED	-0.07368469	-0.09727478	-0.30644226
1560767276177	TYPE_ACCELEROMETER_UNCALIBRATED	0.660141	1.056778	8.694473
1560767276197	TYPE_ACCELEROMETER	0.7427368	1.033432	8.733978
1560767276197	TYPE_MAGNETIC_FIELD	-35.77881	3.1219482	-21.473694
1560767276197	TYPE_GYROSCOPE	-0.12184143	-0.038375854	-0.24685669
1560767276197	TYPE_ROTATION_VECTOR	0.003535817	-0.07420609	-0.6422798
1560767276197	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-98.38562	-351.0376
1560767276197	TYPE_GYROSCOPE_UNCALIBRATED	-0.115234375	-0.06851196	-0.26916504
1560767276197	TYPE_ACCELEROMETER_UNCALIBRATED	0.6864624	1.0388184	8.770493
1560767276217	TYPE_ACCELEROMETER	0.71580505	1.0196686	8.7986145
1560767276217	TYPE_MAGNETIC_FIELD	-34.353638	3.829956	-22.860718
1560767276217	TYPE_GYROSCOPE	-0.15060425	0.03778076	-0.23033142
1560767276217	TYPE_ROTATION_VECTOR	0.0043418943	-0.07328245	-0.64393973
1560767276217	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-97.67761	-352.42462
1560767276217	TYPE_GYROSCOPE_UNCALIBRATED	-0.13546753	0.0055236816	-0.23240662
1560767276217	TYPE_ACCELEROMETER_UNCALIBRATED	0.7427368	1.0537872	8.7196045
1560767276237	TYPE_ACCELEROMETER	0.6140442	0.94784546	8.8411255
1560767276237	TYPE_MAGNETIC_FIELD	-35.77881	2.4139404	-22.860718
1560767276237	TYPE_GYROSCOPE	-0.19267273	0.027145386	-0.22607422
1560767276237	TYPE_ROTATION_VECTOR	0.005145425	-0.07158378	-0.6453399
1560767276237	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-99.09363	-352.42462
1560767276237	TYPE_GYROSCOPE_UNCALIBRATED	-0.17327881	0.03907776	-0.22761536
1560767276237	TYPE_ACCELEROMETER_UNCALIBRATED	0.6625366	0.96699524	8.850693
1560767276257	TYPE_ACCELEROMETER	0.34649658	0.79042053	8.844101
1560767276257	TYPE_MAGNETIC_FIELD	-34.353638	4.537964	-22.860718
1560767276257	TYPE_GYROSCOPE	-0.25872803	-0.0074920654	-0.19198608
1560767276257	TYPE_ROTATION_VECTOR	0.0053660586	-0.069223285	-0.6473083
1560767276257	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-96.969604	-352.42462
1560767276257	TYPE_GYROSCOPE_UNCALIBRATED	-0.22494507	0.00819397	-0.21696472
1560767276257	TYPE_ACCELEROMETER_UNCALIBRATED	0.45542908	0.87542725	8.830338
1560767276277	TYPE_ACCELEROMETER	0.20045471	0.68807983	9.446243
1560767276277	TYPE_MAGNETIC_FIELD	-35.066223	3.829956	-22.860718
1560767276277	TYPE_GYROSCOPE	-0.3114624	0.037261963	-0.1184845
1560767276277	TYPE_ROTATION_VECTOR	0.005015322	-0.06550726	-0.6491317
1560767276277	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-97.67761	-352.42462
1560767276277	TYPE_GYROSCOPE_UNCALIBRATED	-0.29632568	0.0028686523	-0.15516663
1560767276277	TYPE_ACCELEROMETER_UNCALIBRATED	0.3399048	0.79341125	9.067368
1560767276298	TYPE_ACCELEROMETER	-0.32029724	0.35108948	10.022659
1560767276298	TYPE_MAGNETIC_FIELD	-32.21588	3.829956	-22.860718
1560767276298	TYPE_GYROSCOPE	-0.24861145	0.1890564	0.03918457
1560767276298	TYPE_ROTATION_VECTOR	0.004439745	-0.060508713	-0.6508512
1560767276298	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.961975	-97.67761	-352.42462
1560767276298	TYPE_GYROSCOPE_UNCALIBRATED	-0.2947235	0.09553528	-0.058776855
1560767276298	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08924866	0.4109497	9.789215
1560767276318	TYPE_ACCELEROMETER	-0.03479004	0.68208313	10.031036
1560767276318	TYPE_MAGNETIC_FIELD	-34.353638	3.829956	-22.860718
1560767276318	TYPE_GYROSCOPE	-0.22357178	0.29664612	0.22825623
1560767276318	TYPE_ROTATION_VECTOR	0.0053265058	-0.05264687	-0.65218437
1560767276318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-97.67761	-352.42462
1560767276318	TYPE_GYROSCOPE_UNCALIBRATED	-0.22229004	0.26438904	0.15162659
1560767276318	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30352783	0.56895447	10.048996
1560767276338	TYPE_ACCELEROMETER	0.42370605	0.85806274	10.196823
1560767276338	TYPE_MAGNETIC_FIELD	-34.353638	5.244446	-22.167969
1560767276338	TYPE_GYROSCOPE	-0.2715149	0.3270111	0.26501465
1560767276338	TYPE_ROTATION_VECTOR	0.0070838616	-0.04678278	-0.65085346
1560767276338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-96.26312	-351.73187
1560767276338	TYPE_GYROSCOPE_UNCALIBRATED	-0.24784851	0.3123169	0.26400757
1560767276338	TYPE_ACCELEROMETER_UNCALIBRATED	0.26808167	0.7371521	10.092087
1560767276358	TYPE_ACCELEROMETER	0.61524963	0.99394226	10.719971
1560767276358	TYPE_MAGNETIC_FIELD	-35.066223	3.829956	-22.167969
1560767276358	TYPE_GYROSCOPE	-0.3002777	0.32273865	0.21760559
1560767276358	TYPE_ROTATION_VECTOR	0.008283878	-0.039109178	-0.64609736
1560767276358	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-97.67761	-351.73187
1560767276358	TYPE_GYROSCOPE_UNCALIBRATED	-0.29579163	0.33415222	0.2507019
1560767276358	TYPE_ACCELEROMETER_UNCALIBRATED	0.51828	0.9526367	10.408722
1560767276378	TYPE_ACCELEROMETER	0.6433716	1.017868	11.19342
1560767276378	TYPE_MAGNETIC_FIELD	-34.353638	5.244446	-23.554993
1560767276378	TYPE_GYROSCOPE	-0.25447083	0.26895142	0.1313324
1560767276378	TYPE_ROTATION_VECTOR	0.008283878	-0.039109178	-0.64609736
1560767276378	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-96.26312	-353.1189
1560767276378	TYPE_GYROSCOPE_UNCALIBRATED	-0.28993225	0.29473877	0.17559814
1560767276378	TYPE_ACCELEROMETER_UNCALIBRATED	0.66552734	1.009491	10.989914
1560767276398	TYPE_ACCELEROMETER	0.5045166	1.0394287	11.418472
