#	startTime:1560767491467
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560767491468	TYPE_WAYPOINT	190.4791	49.656425
1560767491694	TYPE_ACCELEROMETER	-1.2935333	0.23136902	9.761093
1560767491694	TYPE_MAGNETIC_FIELD	21.932983	-18.112183	-22.860718
1560767491694	TYPE_GYROSCOPE	0.11997986	-0.23439026	0.3774109
1560767491694	TYPE_ROTATION_VECTOR	-0.05143342	0.032284908	0.9236711
1560767491694	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-119.61975	-352.42462
1560767491694	TYPE_GYROSCOPE_UNCALIBRATED	0.09996033	-0.24801636	0.3833313
1560767491694	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2594147	0.27148438	9.667709
1560767491714	TYPE_ACCELEROMETER	-1.173233	0.35647583	9.515686
1560767491714	TYPE_MAGNETIC_FIELD	21.932983	-19.528198	-23.554993
1560767491714	TYPE_GYROSCOPE	0.1343689	-0.29031372	0.3635559
1560767491714	TYPE_ROTATION_VECTOR	-0.05143342	0.032284908	0.9236711
1560767491714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-121.03577	-353.1189
1560767491714	TYPE_GYROSCOPE_UNCALIBRATED	0.12979126	-0.2517395	0.3721466
1560767491714	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0966187	0.48695374	9.287628
1560767491734	TYPE_ACCELEROMETER	-1.0439453	0.60606384	9.025467
1560767491734	TYPE_MAGNETIC_FIELD	21.932983	-20.236206	-20.779419
1560767491734	TYPE_GYROSCOPE	0.106674194	-0.3664856	0.3470459
1560767491734	TYPE_ROTATION_VECTOR	-0.041680418	0.03753427	0.92518663
1560767491734	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-121.743774	-350.34332
1560767491734	TYPE_GYROSCOPE_UNCALIBRATED	0.123931885	-0.33163452	0.35775757
1560767491734	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9727173	0.7090149	8.774673
1560767491754	TYPE_ACCELEROMETER	-0.8464203	0.82214355	8.571167
1560767491754	TYPE_MAGNETIC_FIELD	21.220398	-21.652222	-22.167969
1560767491754	TYPE_GYROSCOPE	0.03742981	-0.37020874	0.28738403
1560767491754	TYPE_ROTATION_VECTOR	-0.034323215	0.039192874	0.9251651
1560767491754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-123.15979	-351.73187
1560767491754	TYPE_GYROSCOPE_UNCALIBRATED	0.07279968	-0.38330078	0.32792664
1560767491754	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61598206	0.94425964	8.433502
1560767491774	TYPE_ACCELEROMETER	-0.3657837	1.0304413	8.374847
1560767491774	TYPE_MAGNETIC_FIELD	21.220398	-20.944214	-22.167969
1560767491774	TYPE_GYROSCOPE	-0.015853882	-0.2338562	0.16435242
1560767491774	TYPE_ROTATION_VECTOR	-0.034323215	0.039192874	0.9251651
1560767491774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-122.45178	-351.73187
1560767491774	TYPE_GYROSCOPE_UNCALIBRATED	0.001953125	-0.31724548	0.2315216
1560767491774	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1933899	1.0777283	8.434708
1560767491794	TYPE_ACCELEROMETER	-0.16107178	1.0819244	8.529266
1560767491794	TYPE_MAGNETIC_FIELD	20.509338	-21.652222	-22.860718
1560767491794	TYPE_GYROSCOPE	-0.043014526	-0.12414551	0.045043945
1560767491794	TYPE_ROTATION_VECTOR	-0.028163284	0.0402708	0.92450386
1560767491794	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.236755	-123.15979	-352.42462
1560767491794	TYPE_GYROSCOPE_UNCALIBRATED	-0.031066895	-0.16546631	0.09890747
1560767491794	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33047485	1.0873108	8.522079
1560767491814	TYPE_ACCELEROMETER	-0.6171875	1.1345978	8.446075
1560767491814	TYPE_MAGNETIC_FIELD	20.509338	-20.236206	-22.860718
1560767491814	TYPE_GYROSCOPE	-0.10054016	-0.12147522	0.019470215
1560767491814	TYPE_ROTATION_VECTOR	-0.025588546	0.04415226	0.9237884
1560767491814	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.236755	-121.743774	-352.42462
1560767491814	TYPE_GYROSCOPE_UNCALIBRATED	-0.06782532	-0.10952759	0.01953125
1560767491814	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8955078	1.1705017	8.395798
1560767491834	TYPE_ACCELEROMETER	-1.1229553	1.1794891	8.40358
1560767491834	TYPE_MAGNETIC_FIELD	21.932983	-20.944214	-22.167969
1560767491834	TYPE_GYROSCOPE	-0.19960022	-0.18486023	0.06048584
1560767491834	TYPE_ROTATION_VECTOR	-0.025290258	0.044965614	0.9237399
1560767491834	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-122.45178	-351.73187
1560767491834	TYPE_GYROSCOPE_UNCALIBRATED	-0.14932251	-0.15214539	0.039245605
1560767491834	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2426605	1.2010345	8.489166
1560767491855	TYPE_ACCELEROMETER	-1.1899872	1.2022247	8.677719
1560767491855	TYPE_MAGNETIC_FIELD	23.358154	-21.652222	-21.473694
1560767491855	TYPE_GYROSCOPE	-0.30825806	-0.19871521	0.069000244
1560767491855	TYPE_ROTATION_VECTOR	-0.025290258	0.044965614	0.9237399
1560767491855	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-123.15979	-351.0376
1560767491855	TYPE_GYROSCOPE_UNCALIBRATED	-0.25849915	-0.20381165	0.0738678
1560767491855	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0439453	1.1699066	8.927307
1560767491875	TYPE_ACCELEROMETER	-0.93022156	1.1399841	9.21402
1560767491875	TYPE_MAGNETIC_FIELD	21.220398	-21.652222	-24.942017
1560767491875	TYPE_GYROSCOPE	-0.36471558	-0.1672821	0.031188965
1560767491875	TYPE_ROTATION_VECTOR	-0.025023272	0.04295284	0.9236902
1560767491875	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-123.15979	-354.50592
1560767491875	TYPE_GYROSCOPE_UNCALIBRATED	-0.3474579	-0.17823792	0.055221558
1560767491875	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8661804	1.072937	9.562378
1560767491895	TYPE_ACCELEROMETER	-0.82069397	0.97299194	9.915512
1560767491895	TYPE_MAGNETIC_FIELD	21.220398	-19.528198	-24.249268
1560767491895	TYPE_GYROSCOPE	-0.37271118	-0.19337463	-0.031661987
1560767491895	TYPE_ROTATION_VECTOR	-0.025023272	0.04295284	0.9236902
1560767491895	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-121.03577	-353.81317
1560767491895	TYPE_GYROSCOPE_UNCALIBRATED	-0.37568665	-0.17877197	0.0030212402
