#	startTime:1560770012845
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770012846	TYPE_WAYPOINT	183.15898	28.152115
1560770012969	TYPE_ACCELEROMETER	-1.3994904	-0.3905182	10.515869
1560770012969	TYPE_MAGNETIC_FIELD	31.991577	7.423401	-19.120789
1560770012969	TYPE_GYROSCOPE	1.373291E-4	-0.05809021	0.33319092
1560770012969	TYPE_ROTATION_VECTOR	-0.04545868	0.04963241	0.61005163
1560770012969	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-93.43109	-346.875
1560770012969	TYPE_GYROSCOPE_UNCALIBRATED	-0.17062378	0.030029297	0.36787415
1560770012969	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3994904	-0.3905182	10.515869
1560770012989	TYPE_ACCELEROMETER	-1.1947784	-0.08227539	9.929871
1560770012989	TYPE_MAGNETIC_FIELD	32.704163	7.423401	-18.426514
1560770012989	TYPE_GYROSCOPE	0.27711487	-0.1353302	0.2698059
1560770012989	TYPE_ROTATION_VECTOR	-0.043664426	0.047187157	0.61679035
1560770012989	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-93.43109	-346.18073
1560770012989	TYPE_GYROSCOPE_UNCALIBRATED	0.15748596	-0.11380005	0.30023193
1560770012989	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3994904	-0.3905182	10.515869
1560770013009	TYPE_ACCELEROMETER	-1.1660461	-0.066711426	9.455826
1560770013009	TYPE_MAGNETIC_FIELD	34.129333	6.715393	-20.507812
1560770013009	TYPE_GYROSCOPE	0.3900299	-0.21308899	0.20855713
1560770013009	TYPE_ROTATION_VECTOR	-0.043664426	0.047187157	0.61679035
1560770013009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.250183	-94.1391	-348.26202
1560770013009	TYPE_GYROSCOPE_UNCALIBRATED	0.35083008	-0.16491699	0.24324036
1560770013009	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1947784	-0.08227539	9.929871
1560770013029	TYPE_ACCELEROMETER	-1.3168945	0.03804016	8.865662
1560770013029	TYPE_MAGNETIC_FIELD	31.991577	8.131409	-19.120789
1560770013029	TYPE_GYROSCOPE	0.3319702	-0.23492432	0.14463806
1560770013029	TYPE_ROTATION_VECTOR	-0.039438505	0.04767352	0.6188103
1560770013029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-92.72308	-346.875
1560770013029	TYPE_GYROSCOPE_UNCALIBRATED	0.38172913	-0.24588013	0.17292786
1560770013029	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3168945	0.03804016	8.865662
1560770013049	TYPE_ACCELEROMETER	-1.4766998	-0.17204285	8.592728
1560770013049	TYPE_MAGNETIC_FIELD	33.416748	6.0073853	-20.507812
1560770013049	TYPE_GYROSCOPE	0.13542175	-0.08578491	0.10787964
1560770013049	TYPE_ROTATION_VECTOR	-0.03637939	0.0493843	0.6193137
1560770013049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.962769	-94.84711	-348.26202
1560770013049	TYPE_GYROSCOPE_UNCALIBRATED	0.23684692	-0.17770386	0.12872314
1560770013049	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3168945	0.03804016	8.865662
1560770013069	TYPE_ACCELEROMETER	-1.7203064	0.08352661	9.641983
1560770013069	TYPE_MAGNETIC_FIELD	32.704163	7.423401	-18.426514
1560770013069	TYPE_GYROSCOPE	-0.062179565	-0.07141113	0.10043335
1560770013069	TYPE_ROTATION_VECTOR	-0.03910094	0.05228135	0.62076634
1560770013069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-93.43109	-346.18073
1560770013069	TYPE_GYROSCOPE_UNCALIBRATED	0.031784058	-0.042419434	0.09249878
1560770013069	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4766998	-0.17204285	8.592728
1560770013089	TYPE_ACCELEROMETER	-1.7191162	0.04222107	10.266266
1560770013089	TYPE_MAGNETIC_FIELD	31.991577	5.2993774	-18.426514
1560770013089	TYPE_GYROSCOPE	-0.18734741	-0.12680054	0.1787262
1560770013089	TYPE_ROTATION_VECTOR	-0.03910094	0.05228135	0.62076634
1560770013089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-95.555115	-346.18073
1560770013089	TYPE_GYROSCOPE_UNCALIBRATED	-0.14079285	-0.1063385	0.13671875
1560770013089	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7203064	0.08352661	9.641983
1560770013109	TYPE_ACCELEROMETER	-1.5186005	0.10089111	10.507477
1560770013109	TYPE_MAGNETIC_FIELD	33.416748	5.2993774	-20.507812
1560770013109	TYPE_GYROSCOPE	-0.18043518	-0.120407104	0.27833557
1560770013109	TYPE_ROTATION_VECTOR	-0.040771723	0.051854536	0.6221672
1560770013109	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-14.962769	-95.555115	-348.26202
1560770013109	TYPE_GYROSCOPE_UNCALIBRATED	-0.20471191	-0.13296509	0.22673035
1560770013109	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7191162	0.04222107	10.266266
1560770013129	TYPE_ACCELEROMETER	-1.2265015	0.003326416	10.568527
1560770013129	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-21.202087
1560770013129	TYPE_GYROSCOPE	-0.06803894	-0.13798523	0.3747406
1560770013129	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013129	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.9563
1560770013129	TYPE_GYROSCOPE_UNCALIBRATED	0.018463135	-0.112197876	0.39717102
1560770013129	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013149	TYPE_ACCELEROMETER	-1.1989746	0.034454346	10.30278
1560770013149	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-21.202087
1560770013149	TYPE_GYROSCOPE	0.057128906	-0.18539429	0.40455627
1560770013149	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013149	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.9563
1560770013149	TYPE_GYROSCOPE_UNCALIBRATED	0.018463135	-0.112197876	0.39717102
1560770013149	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013170	TYPE_ACCELEROMETER	-1.2366791	0.034454346	9.861053
1560770013170	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-21.202087
1560770013170	TYPE_GYROSCOPE	0.09068298	-0.17633057	0.4056244
1560770013170	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.9563
1560770013170	TYPE_GYROSCOPE_UNCALIBRATED	0.018463135	-0.112197876	0.39717102
1560770013170	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013190	TYPE_ACCELEROMETER	-1.1516876	0.04043579	9.779037
1560770013190	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-21.202087
1560770013190	TYPE_GYROSCOPE	0.041152954	-0.124679565	0.40029907
1560770013190	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013190	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.9563
1560770013190	TYPE_GYROSCOPE_UNCALIBRATED	0.018463135	-0.112197876	0.39717102
1560770013190	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013210	TYPE_ACCELEROMETER	-1.0613098	0.08592224	9.757492
1560770013210	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-21.202087
1560770013210	TYPE_GYROSCOPE	0.012924194	-0.10496521	0.38858032
1560770013210	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.9563
1560770013210	TYPE_GYROSCOPE_UNCALIBRATED	0.018463135	-0.112197876	0.39717102
1560770013210	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013230	TYPE_ACCELEROMETER	-1.0409546	0.11166382	9.732361
1560770013230	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-20.507812
1560770013230	TYPE_GYROSCOPE	0.009719849	-0.10922241	0.36941528
1560770013230	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.26202
1560770013230	TYPE_GYROSCOPE_UNCALIBRATED	-0.0076293945	-0.09727478	0.3630829
1560770013230	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013250	TYPE_ACCELEROMETER	-1.0361633	0.13380432	9.700043
1560770013250	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-20.507812
1560770013250	TYPE_GYROSCOPE	0.0113220215	-0.099105835	0.3544922
1560770013250	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.26202
1560770013250	TYPE_GYROSCOPE_UNCALIBRATED	-0.0076293945	-0.09727478	0.3630829
1560770013250	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013270	TYPE_ACCELEROMETER	-1.0619049	0.15655518	9.858658
1560770013270	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-20.507812
1560770013270	TYPE_GYROSCOPE	0.0065307617	-0.082595825	0.350235
1560770013270	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013270	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.26202
1560770013270	TYPE_GYROSCOPE_UNCALIBRATED	-0.0076293945	-0.09727478	0.3630829
1560770013270	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013290	TYPE_ACCELEROMETER	-1.0223999	0.18647766	9.996323
1560770013290	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-20.507812
1560770013290	TYPE_GYROSCOPE	-9.1552734E-4	-0.092178345	0.35662842
1560770013290	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013290	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.26202
1560770013290	TYPE_GYROSCOPE_UNCALIBRATED	-0.0076293945	-0.09727478	0.3630829
1560770013290	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013310	TYPE_ACCELEROMETER	-1.0002441	0.17990112	9.98494
1560770013310	TYPE_MAGNETIC_FIELD	32.704163	4.5913696	-20.507812
1560770013310	TYPE_GYROSCOPE	-0.008377075	-0.09857178	0.366745
1560770013310	TYPE_ROTATION_VECTOR	-0.033969134	0.046168536	0.63928705
1560770013310	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.26312	-348.26202
1560770013310	TYPE_GYROSCOPE_UNCALIBRATED	-0.0076293945	-0.09727478	0.3630829
1560770013310	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0613098	0.08592224	9.757492
1560770013330	TYPE_ACCELEROMETER	-0.88113403	0.16253662	10.0867
1560770013330	TYPE_MAGNETIC_FIELD	32.704163	6.0073853	-20.507812
1560770013330	TYPE_GYROSCOPE	0.010787964	-0.11401367	0.36994934
1560770013330	TYPE_ROTATION_VECTOR	-0.029044122	0.043274485	0.6526895
1560770013330	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-94.84711	-348.26202
1560770013330	TYPE_GYROSCOPE_UNCALIBRATED	0.06427002	-0.107925415	0.36468506
1560770013330	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0002441	0.17990112	9.98494
1560770013350	TYPE_ACCELEROMETER	-0.84762573	0.16014099	9.989731
1560770013350	TYPE_MAGNETIC_FIELD	32.704163	6.0073853	-20.507812
1560770013350	TYPE_GYROSCOPE	0.048080444	-0.12147522	0.366745
1560770013350	TYPE_ROTATION_VECTOR	-0.029044122	0.043274485	0.6526895
1560770013350	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-94.84711	-348.26202
1560770013350	TYPE_GYROSCOPE_UNCALIBRATED	0.06427002	-0.107925415	0.36468506
1560770013350	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0002441	0.17990112	9.98494
1560770013371	TYPE_ACCELEROMETER	-0.7877655	0.17391968	9.979553
1560770013371	TYPE_MAGNETIC_FIELD	31.991577	4.5913696	-21.202087
1560770013371	TYPE_GYROSCOPE	0.08642578	-0.092178345	0.3592987
1560770013371	TYPE_ROTATION_VECTOR	-0.026262116	0.04168284	0.6580408
1560770013371	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-96.26312	-348.9563
1560770013371	TYPE_GYROSCOPE_UNCALIBRATED	0.06427002	-0.107925415	0.36468506
1560770013371	TYPE_ACCELEROMETER_UNCALIBRATED	-0.84762573	0.16014099	9.989731
1560770013391	TYPE_ACCELEROMETER	-0.68481445	0.19725037	9.86763
1560770013391	TYPE_MAGNETIC_FIELD	32.704163	3.8848877	-21.202087
1560770013391	TYPE_GYROSCOPE	0.11732483	-0.07673645	0.3513031
1560770013391	TYPE_ROTATION_VECTOR	-0.021103065	0.041422408	0.6659038
1560770013391	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.969604	-348.9563
1560770013391	TYPE_GYROSCOPE_UNCALIBRATED	0.12286377	-0.05253601	0.35882568
1560770013391	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55851746	0.11047363	9.926285
1560770013411	TYPE_ACCELEROMETER	-0.55851746	0.11047363	9.926285
1560770013411	TYPE_MAGNETIC_FIELD	32.704163	3.8848877	-21.202087
1560770013411	TYPE_GYROSCOPE	0.14128113	-0.033065796	0.3513031
1560770013411	TYPE_ROTATION_VECTOR	-0.021103065	0.041422408	0.6659038
1560770013411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-15.675354	-96.969604	-348.9563
1560770013411	TYPE_GYROSCOPE_UNCALIBRATED	0.12286377	-0.05253601	0.35882568
1560770013411	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55851746	0.11047363	9.926285
1560770013431	TYPE_ACCELEROMETER	-0.4747162	0.31277466	9.737747
1560770013431	TYPE_MAGNETIC_FIELD	31.278992	3.8848877	-21.202087
1560770013431	TYPE_GYROSCOPE	0.20466614	-0.12786865	0.28312683
1560770013431	TYPE_ROTATION_VECTOR	-0.015373031	0.041254014	0.66972166
1560770013431	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.100525	-96.969604	-348.9563
1560770013431	TYPE_GYROSCOPE_UNCALIBRATED	0.13298035	-0.105270386	0.2773285
1560770013431	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55851746	0.11047363	9.926285
1560770013451	TYPE_ACCELEROMETER	-0.30891418	0.30081177	9.371429
1560770013451	TYPE_MAGNETIC_FIELD	31.278992	3.8848877	-21.202087
1560770013451	TYPE_GYROSCOPE	0.17643738	-0.103897095	0.27726746
